id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_coinsinrush1_02_s_1,40088,event_coinsinrush1_02_s,Monologue,milk,Locale_MainScenario:event_coinsinrush1_02_s_1,False,City_d,S_10,S_10,1.0,bgm_inark,,,,,milk,1,idle,,,
event_coinsinrush1_02_s_2,40088,event_coinsinrush1_02_s,Speech,milk,Locale_MainScenario:event_coinsinrush1_02_s_2,True,,S_10,S_10,1.0,,milk,,,,,1,idle,,,
event_coinsinrush1_02_s_3,40088,event_coinsinrush1_02_s,Speech,milk,Locale_MainScenario:event_coinsinrush1_02_s_3,True,,S_10,S_10,1.0,,milk,,,,,1,idle,,,
event_coinsinrush1_02_s_4,40088,event_coinsinrush1_02_s,Self,milk,Locale_MainScenario:event_coinsinrush1_02_s_4,False,,S_10,S_10,1.0,,,,,,,1,idle,,,
event_coinsinrush1_02_s_5,40088,event_coinsinrush1_02_s,Speech,milk,Locale_MainScenario:event_coinsinrush1_02_s_5,True,,S_10,S_10,1.0,,milk,,,,,1,good,,,
event_coinsinrush1_02_s_6,40088,event_coinsinrush1_02_s,Speech,milk,Locale_MainScenario:event_coinsinrush1_02_s_6,True,,S_10,S_10,1.0,,milk,,,,,1,good,,,
event_coinsinrush1_02_s_7,40088,event_coinsinrush1_02_s,Self,milk,Locale_MainScenario:event_coinsinrush1_02_s_7,False,,S_10,S_10,1.0,,,,,,,1,good,,,
event_coinsinrush1_02_s_8,40088,event_coinsinrush1_02_s,Monologue,milk,Locale_MainScenario:event_coinsinrush1_02_s_8,False,,S_10,S_10,1.0,,,,,,,1,good,,,
event_coinsinrush1_02_s_9,40088,event_coinsinrush1_02_s,Monologue,milk,Locale_MainScenario:event_coinsinrush1_02_s_9,False,,S_10,S_10,1.0,,,,,,,1,good,,,
event_coinsinrush1_02_s_10,40088,event_coinsinrush1_02_s,Monologue,milk,Locale_MainScenario:event_coinsinrush1_02_s_10,False,,S_10,S_10,1.0,,,,,,,1,good,,,
event_coinsinrush1_02_s_11,40088,event_coinsinrush1_02_s,Self,milk,Locale_MainScenario:event_coinsinrush1_02_s_11,False,,S_10,S_10,1.0,,,,,,,1,good,,,
event_coinsinrush1_02_s_12,40088,event_coinsinrush1_02_s,Speech,milk,Locale_MainScenario:event_coinsinrush1_02_s_12,True,,S_10,S_10,1.0,,milk,,,,,1,surprise,,,
event_coinsinrush1_02_s_13,40088,event_coinsinrush1_02_s,Self,milk,Locale_MainScenario:event_coinsinrush1_02_s_13,False,,S_10,S_10,1.0,,,,,,,1,surprise,,,
