id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_onemoretime_04_s_1,40044,event_onemoretime_04_s,Narration,clay,Locale_SubScenario:event_onemoretime_04_s_1,False,SchoolCorridor,black,black,1.0,none,,,bay,1,idle,,clay,3,idle,,poli_c,5,idle,
event_onemoretime_04_s_2,40044,event_onemoretime_04_s,Monologue,clay,Locale_SubScenario:event_onemoretime_04_s_2,False,,black,black,1.0,bgm_frostpillar,,,,1,idle,,,3,idle,,,5,idle,
event_onemoretime_04_s_3,40044,event_onemoretime_04_s,Narration,clay,Locale_SubScenario:event_onemoretime_04_s_3,False,,17,170,0.5,,,,,1,idle,,,3,idle,,,5,idle,
event_onemoretime_04_s_4,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_4,False,,3,30,0.5,,clay,,,1,idle,,,3,worry,,,5,idle,
event_onemoretime_04_s_5,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_5,True,,30,30,1.0,,clay,,,1,idle,,,3,shy,,,5,idle,
event_onemoretime_04_s_6,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_6,True,,30,2,1.0,,bay,,,1,idle,,,3,shy,,,5,idle,
event_onemoretime_04_s_7,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_7,True,,2,2,1.0,,clay,,,1,idle,,,3,shy,,,5,idle,
event_onemoretime_04_s_8,40044,event_onemoretime_04_s,Narration,clay,Locale_SubScenario:event_onemoretime_04_s_8,False,,17,170,0.5,,,,,1,idle,,,3,shy,,,5,idle,
event_onemoretime_04_s_9,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_9,True,,2,2,1.0,,bay,,,1,sad,,,3,shy,,,5,idle,
event_onemoretime_04_s_10,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_10,True,,2,2,1.0,,clay,,,1,idle,,,3,sad,,,5,idle,
event_onemoretime_04_s_11,40044,event_onemoretime_04_s,Narration,clay,Locale_SubScenario:event_onemoretime_04_s_11,False,,17,170,0.5,,,,,1,idle,,,3,sad,,,5,idle,
event_onemoretime_04_s_12,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_12,True,,2,2,1.0,,bay,,,1,angry,,,3,sad,,,5,idle,
event_onemoretime_04_s_13,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_13,True,,2,2,1.0,,clay,,,1,idle,,,3,sad,,,5,idle,
event_onemoretime_04_s_14,40044,event_onemoretime_04_s,Narration,clay,Locale_SubScenario:event_onemoretime_04_s_14,False,,black,black,1.0,,,,,1,idle,,,3,sad,,,5,idle,
event_onemoretime_04_s_15,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_15,False,,10,10,1.0,,bay,,,1,idle,,,3,sad,,,5,sad,
event_onemoretime_04_s_16,40044,event_onemoretime_04_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_04_s_16,False,,XS_50,XS_50,1.0,,poli_c,,,1,idle,,,3,idle,,,5,sad,
event_onemoretime_04_s_17,40044,event_onemoretime_04_s,Self,poli_c,Locale_SubScenario:event_onemoretime_04_s_17,False,,XS_50,XS_50,1.0,,,,,1,idle,,,3,idle,,,5,sad,
event_onemoretime_04_s_18,40044,event_onemoretime_04_s,Monologue,poli_c,Locale_SubScenario:event_onemoretime_04_s_18,False,,black,black,1.0,,,,,1,idle,,,3,idle,,,5,sad,
event_onemoretime_04_s_19,40044,event_onemoretime_04_s,Monologue,poli_c,Locale_SubScenario:event_onemoretime_04_s_19,False,,black,black,1.0,,,,,1,idle,,,3,idle,,,5,sad,
event_onemoretime_04_s_20,40044,event_onemoretime_04_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_04_s_20,True,,XS_50,XS_50,1.0,,poli_c,,,1,idle,,,3,idle,,,5,sad,
event_onemoretime_04_s_21,40044,event_onemoretime_04_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_04_s_21,True,,XS_50,XS_50,1.0,,poli_c,,,1,idle,,,3,idle,,,5,sad,
event_onemoretime_04_s_22,40044,event_onemoretime_04_s,Self,poli_c,Locale_SubScenario:event_onemoretime_04_s_22,False,,XS_50,XS_50,1.0,,,,,1,idle,,,3,sad,,,5,sad,
event_onemoretime_04_s_23,40044,event_onemoretime_04_s,Self,poli_c,Locale_SubScenario:event_onemoretime_04_s_23,False,,XS_50,2,1.0,,,,,1,idle,,,3,sad,,,5,sad,
event_onemoretime_04_s_24,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_24,True,,2,2,1.0,,bay,,,1,idle,,,3,sad,,,5,idle,
event_onemoretime_04_s_25,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_25,True,,2,2,1.0,,bay,,,1,angry,,,3,sad,,,5,idle,
event_onemoretime_04_s_26,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_26,True,,2,2,1.0,,clay,,,1,angry,,,3,shy,,,5,idle,
event_onemoretime_04_s_27,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_27,True,,2,2,1.0,,bay,,,1,angry,,,3,shy,,,5,idle,
event_onemoretime_04_s_28,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_28,True,,2,2,1.0,,bay,,,1,angry,,,3,shy,,,5,idle,
event_onemoretime_04_s_29,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_29,False,,2,2,1.0,,clay,,,1,angry,,,3,sad,,,5,idle,
event_onemoretime_04_s_30,40044,event_onemoretime_04_s,Self,clay,Locale_SubScenario:event_onemoretime_04_s_30,False,,2,2,1.0,,,,,1,angry,,,3,sad,,,5,idle,
event_onemoretime_04_s_31,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_31,True,,2,2,1.0,,bay,,,1,sad,,,3,sad,,,5,idle,
event_onemoretime_04_s_32,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_32,True,,2,2,1.0,,clay,,,1,sad,,,3,shy,,,5,idle,
event_onemoretime_04_s_33,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_33,True,,2,2,1.0,,clay,,,1,sad,,,3,shy,,,5,idle,
event_onemoretime_04_s_34,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_34,True,,2,10,1.0,,bay,,,1,angry,,,3,shy,,,5,idle,
event_onemoretime_04_s_35,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_35,True,,10,10,1.0,,bay,,,1,sad,,,3,shy,,,5,idle,
event_onemoretime_04_s_36,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_36,True,,10,10,1.0,,bay,,,1,sad,,,3,shy,,,5,idle,
event_onemoretime_04_s_37,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_37,True,,10,10,1.0,,bay,,,1,angry,,,3,shy,,,5,idle,
event_onemoretime_04_s_38,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_38,True,,10,100,1.0,,bay,,,1,angry,,,3,shy,,,5,idle,
event_onemoretime_04_s_39,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_39,True,,100,100,1.0,,bay,,,1,angry,,,3,shy,,,5,idle,
event_onemoretime_04_s_40,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_40,True,,100,2,1.0,,bay,,,1,worry,,,3,shy,,,5,idle,
event_onemoretime_04_s_41,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_41,False,,2,2,1.0,,clay,,,1,worry,,,3,sad,,,5,idle,
event_onemoretime_04_s_42,40044,event_onemoretime_04_s,Monologue,clay,Locale_SubScenario:event_onemoretime_04_s_42,False,,2,2,1.0,,,,,1,worry,,,3,sad,,,5,idle,
event_onemoretime_04_s_43,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_43,True,,2,2,1.0,,bay,,,1,sad,,,3,sad,,,5,idle,
event_onemoretime_04_s_44,40044,event_onemoretime_04_s,Speech,bay,Locale_SubScenario:event_onemoretime_04_s_44,True,,2,2,1.0,,bay,,,1,sad,,,3,sad,,,5,idle,
event_onemoretime_04_s_45,40044,event_onemoretime_04_s,Monologue,bay,Locale_SubScenario:event_onemoretime_04_s_45,False,,2,2,1.0,,,,,1,sad,bay,,3,sad,,,5,idle,
event_onemoretime_04_s_46,40044,event_onemoretime_04_s,Speech,clay,Locale_SubScenario:event_onemoretime_04_s_46,False,,2,4,1.0,,clay,,,,,,,3,sad,,,5,idle,
