id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_redash2_05_s_1,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_1,True,Desert_04,1,10,1.0,event_bgm_redash_ashsmoke,,,dorothy,1,think,rapunzel_o,3,think,snowwhite_o,5,sad,hongryeon_o,13,angry
event_redash2_05_s_2,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_2,True,,10,10,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_3,40032,event_redash2_05_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash2_05_s_3,False,,L_30,L_30,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_4,40032,event_redash2_05_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_05_s_4,True,,130,130,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_5,40032,event_redash2_05_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_05_s_5,True,,S_50,S_50,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_6,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_6,True,,10,10,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_7,40032,event_redash2_05_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_05_s_7,True,,S_50,S_50,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_8,40032,event_redash2_05_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_05_s_8,True,,130,130,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_9,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_9,True,,10,10,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_10,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_10,True,,10,10,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_11,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_11,True,,10,10,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_12,40032,event_redash2_05_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_05_s_12,True,,130,130,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_13,40032,event_redash2_05_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash2_05_s_13,True,,L_30,L_30,1.0,,,,,1,think,,3,angry,,5,sad,,13,angry
event_redash2_05_s_14,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_14,True,,10,10,1.0,,,,,1,think,,3,angry,,5,sad,,13,angry
event_redash2_05_s_15,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_15,True,,10,10,1.0,,,,,1,think,,3,angry,,5,sad,,13,angry
event_redash2_05_s_16,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_16,True,,10,10,1.0,,,,,1,think,,3,angry,,5,sad,,13,angry
event_redash2_05_s_17,40032,event_redash2_05_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash2_05_s_17,True,,10,31,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_18,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_18,True,,31,31,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_19,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_19,True,,31,31,1.0,,,,,1,think,,3,think,,5,sad,,13,angry
event_redash2_05_s_20,40032,event_redash2_05_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_05_s_20,True,,31,113,1.0,,,,,1,think,,3,think,,5,sad,,13,idle
event_redash2_05_s_21,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_21,False,,113,113,1.0,,,,,1,think,,3,think,,5,sad,,13,idle
event_redash2_05_s_22,40032,event_redash2_05_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_05_s_22,True,,113,113,1.0,,,,,1,think,,3,think,,5,sad,,13,idle
event_redash2_05_s_23,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_23,True,,113,113,1.0,,,,,1,think,,3,think,,5,sad,,13,idle
event_redash2_05_s_24,40032,event_redash2_05_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_05_s_24,True,,113,113,1.0,,,,,1,think,,3,think,,5,sad,,13,idle
event_redash2_05_s_25,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_25,True,,113,113,1.0,,,,,1,think,,3,think,,5,sad,,13,idle
event_redash2_05_s_26,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_26,True,,113,113,1.0,,,,,1,think,,3,think,,5,sad,,13,idle
event_redash2_05_s_27,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_27,True,,113,113,1.0,,,,,1,think,,3,think,,5,sad,,13,idle
event_redash2_05_s_28,40032,event_redash2_05_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_05_s_28,True,,113,113,1.0,,,,,1,think,,3,think,,5,sad,,13,idle
event_redash2_05_s_29,40032,event_redash2_05_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash2_05_s_29,True,,113,31,1.0,,,,,1,think,,3,idle,,5,sad,,13,idle
event_redash2_05_s_30,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_30,True,,31,31,1.0,,,,,1,think,,3,idle,,5,sad,,13,idle
event_redash2_05_s_31,40032,event_redash2_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_s_31,True,,31,31,1.0,,,,,1,think,,3,idle,,5,sad,,13,idle
