id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_nyanyaparadise_02_e_1,40022,event_nyanyaparadise_02_e,Monologue,Locale_SubScenario:event_nyanyaparadise_02_e_1,False,City_d,black,black,1.0,bgm_story_orangepop,,,,,,ruru,1,sad,,,
event_nyanyaparadise_02_e_2,40022,event_nyanyaparadise_02_e,Speech,Locale_SubScenario:event_nyanyaparadise_02_e_2,True,,1,XS_10,1.0,,neighborhoodkid,neighborhoodkid,,,,,1,sad,,,
event_nyanyaparadise_02_e_3,40022,event_nyanyaparadise_02_e,Speech,Locale_SubScenario:event_nyanyaparadise_02_e_3,True,,XS_10,XS_10,1.0,,neighborhoodkid,neighborhoodkid,,,,,1,sad,,,
event_nyanyaparadise_02_e_4,40022,event_nyanyaparadise_02_e,Speech,Locale_SubScenario:event_nyanyaparadise_02_e_4,True,,XS_10,XS_10,1.0,,maam,maam,,,,,1,sad,,,
event_nyanyaparadise_02_e_5,40022,event_nyanyaparadise_02_e,Speech,Locale_SubScenario:event_nyanyaparadise_02_e_5,True,,XS_10,XS_10,1.0,,maam,maam,,,,,1,sad,,,
event_nyanyaparadise_02_e_6,40022,event_nyanyaparadise_02_e,Speech,Locale_SubScenario:event_nyanyaparadise_02_e_6,True,,XS_10,XS_10,1.0,,neighborhoodkid,neighborhoodkid,,,,,1,sad,,,
event_nyanyaparadise_02_e_7,40022,event_nyanyaparadise_02_e,Speech,Locale_SubScenario:event_nyanyaparadise_02_e_7,True,,XS_10,XS_100,2.0,,ruru,ruru,,,,,1,special,,,
event_nyanyaparadise_02_e_8,40022,event_nyanyaparadise_02_e,Speech,Locale_SubScenario:event_nyanyaparadise_02_e_8,True,,XS_100,XS_100,1.0,,neighborhoodkid,neighborhoodkid,,,,,1,special,,,
event_nyanyaparadise_02_e_9,40022,event_nyanyaparadise_02_e,Speech,Locale_SubScenario:event_nyanyaparadise_02_e_9,True,,XS_100,XS_100,1.0,,maam,maam,,,,,1,sad,,,
event_nyanyaparadise_02_e_10,40022,event_nyanyaparadise_02_e,Speech,Locale_SubScenario:event_nyanyaparadise_02_e_10,True,,XS_100,XS_100,1.0,,maam,maam,,,,,1,sad,,,
