id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/0/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_ce02_1_04_s_1,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_1,True,rapi,1,idle,anis,3,worry,neon,5,idle,c1002_02,13,idle,Factory_n,30,30,1.0,event_bgm_ce002_story_2,,,,,,,,,
event_ce02_1_04_s_2,40026,event_ce02_1_04_s,Narration,,,Locale_SubScenario:event_ce02_1_04_s_2,True,,1,idle,,3,worry,,5,idle,,13,idle,,30,30,1.0,,sfx_scn_distantshots,Low_2,,,,,,,
event_ce02_1_04_s_3,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_3,False,,1,idle,,3,worry,,5,idle,,13,idle,,1,10,1.0,,,,,,,,,,
event_ce02_1_04_s_4,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_4,False,,1,idle,,3,angry,,5,idle,,13,idle,,3,30,1.0,,,,,,,,,,
event_ce02_1_04_s_5,40026,event_ce02_1_04_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_04_s_5,True,,1,idle,,3,angry,,5,idle,,13,idle,,S_50,S_50,1.0,,,,,,,,,,
event_ce02_1_04_s_6,40026,event_ce02_1_04_s,Monologue,,,Locale_SubScenario:event_ce02_1_04_s_6,True,,1,idle,,3,idle,,5,idle,,13,idle,,S_50,S_70,1.0,,,,,,,,,,
event_ce02_1_04_s_7,40026,event_ce02_1_04_s,Monologue,,,Locale_SubScenario:event_ce02_1_04_s_7,True,,1,idle,,3,idle,,5,idle,,13,idle,,S_70,S_70,1.0,,,,,,,,,,
event_ce02_1_04_s_8,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_8,True,,1,idle,,3,void,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_9,40026,event_ce02_1_04_s,Narration,,,Locale_SubScenario:event_ce02_1_04_s_9,True,,1,idle,,3,void,,5,idle,,13,idle,,30,30,1.0,,sfx_scn_distantshots,,,,,,,,
event_ce02_1_04_s_10,40026,event_ce02_1_04_s,Self,,,Locale_SubScenario:event_ce02_1_04_s_10,False,,1,idle,,3,void,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_11,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_11,True,,1,idle,,3,void,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_12,40026,event_ce02_1_04_s,Self,,,Locale_SubScenario:event_ce02_1_04_s_12,False,,1,idle,,3,void,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_13,40026,event_ce02_1_04_s,Narration,,,Locale_SubScenario:event_ce02_1_04_s_13,True,,1,idle,,3,void,,5,idle,,13,idle,,10,10,1.0,,sfx_scn_distantshots,,,,,,,,
event_ce02_1_04_s_14,40026,event_ce02_1_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_04_s_14,True,,1,idle,,3,void,,5,idle,,13,idle,,30,30,1.0,,,,,,,,,,
event_ce02_1_04_s_15,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_15,True,,1,idle,,3,void,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_16,40026,event_ce02_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_04_s_16,True,,1,idle,,3,void,,5,idle,,13,idle,,10,10,1.0,,,,,,,,,,
event_ce02_1_04_s_17,40026,event_ce02_1_04_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_04_s_17,True,,1,idle,,3,idle,,5,idle,,13,idle,,10,130,1.0,,,,,,,,,,
event_ce02_1_04_s_18,40026,event_ce02_1_04_s,Narration,,,Locale_SubScenario:event_ce02_1_04_s_18,True,,1,idle,,3,idle,,5,idle,,13,idle,,130,130,1.0,,sfx_scn_distantshots,,,,,,,,
event_ce02_1_04_s_19,40026,event_ce02_1_04_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_04_s_19,True,,1,idle,,3,idle,,5,idle,,13,idle,,130,130,1.0,,,,,,,,,,
