id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_liarsend_11_1,130004,event_liarsend_11,Monologue,Locale_SubScenario:event_liarsend_11_1,False,CityForest_03_d,15,15,1.0,bgm_story_kneeldownfools,,,,,,,syuen,1,angry,,,,,,,,
event_liarsend_11_2,130004,event_liarsend_11,Monologue,Locale_SubScenario:event_liarsend_11_2,False,,15,15,1.0,,,,,,,,,1,angry,,,,,,,,
event_liarsend_11_3,130004,event_liarsend_11,Monologue,Locale_SubScenario:event_liarsend_11_3,False,,15,S_150,1.0,,,,,,,,,1,angry,,,,,,,,
event_liarsend_11_4,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_4,True,,S_150,S_10,1.0,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_5,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_5,True,,S_10,S_10,1.0,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_6,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_6,False,,S_10,S_10,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_7,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_7,True,,S_10,S_100,1.0,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_8,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_8,False,,S_100,S_100,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_9,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_9,False,,S_100,S_100,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_10,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_10,False,,S_100,S_100,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_11,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_11,True,,S_100,S_10,0.5,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_12,130004,event_liarsend_11,Monologue,Locale_SubScenario:event_liarsend_11_12,False,,S_10,S_10,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_13,130004,event_liarsend_11,Monologue,Locale_SubScenario:event_liarsend_11_13,False,,S_10,S_10,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_14,130004,event_liarsend_11,Narration,Locale_SubScenario:event_liarsend_11_14,False,,S_10,S_10,1.0,none,syuen,,sfx_scn_lasershot,Low_2,,,,1,angry,,,,,,,,
event_liarsend_11_15,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_15,False,,S_10,S_30,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_16,130004,event_liarsend_11,Narration,Locale_SubScenario:event_liarsend_11_16,False,,S_30,S_300,1.0,,syuen,,sfx_scn_explosions,Low_2,,,,1,angry,,,,,,,,
event_liarsend_11_17,130004,event_liarsend_11,Monologue,Locale_SubScenario:event_liarsend_11_17,False,,S_300,S_300,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_18,130004,event_liarsend_11,Monologue,Locale_SubScenario:event_liarsend_11_18,False,,S_300,S_300,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_19,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_19,False,,S_300,S_30,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_20,130004,event_liarsend_11,Monologue,Locale_SubScenario:event_liarsend_11_20,False,,black,black,1.0,bgm_story_tomboyprincess,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_21,130004,event_liarsend_11,Monologue,Locale_SubScenario:event_liarsend_11_21,False,,black,black,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_22,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_22,False,,3,S_30,1.0,,syuen,,,,,,,1,angry,shifty_s,3,delight,,,,,
event_liarsend_11_23,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_23,True,,S_30,S_30,1.0,,shifty_s,shifty_s,sfx_scn_rapturefin,,,,,1,angry,,3,delight,,,,,
event_liarsend_11_24,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_24,False,,S_30,S_30,1.0,,,,,,,,,1,angry,,3,delight,,,,,
event_liarsend_11_25,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_25,True,,S_30,S_30,1.0,,shifty_s,shifty_s,,,,,,1,angry,,3,surprise,,,,,
event_liarsend_11_26,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_26,True,,S_30,S_30,1.0,,shifty_s,shifty_s,,,,,,1,angry,,3,surprise,,,,,
event_liarsend_11_27,130004,event_liarsend_11,Narration,Locale_SubScenario:event_liarsend_11_27,False,,S_30,S_300,1.0,,shifty_s,,sfx_scn_walk,,,,,1,angry,,3,surprise,,,,,
event_liarsend_11_28,130004,event_liarsend_11,Narration,Locale_SubScenario:event_liarsend_11_28,False,,S_300,S_300,1.0,,shifty_s,,sfx_scn_lasershot,,,,,1,angry,,3,surprise,,,,,
event_liarsend_11_29,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_29,True,,S_300,31,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,worry,,,,,
event_liarsend_11_30,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_30,False,,31,31,1.0,,syuen,syuen,,,,,,1,think,,3,worry,,,,,
event_liarsend_11_31,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_31,False,,31,31,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,worry,,,,,
event_liarsend_11_32,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_32,True,,31,31,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,surprise,,,,,
event_liarsend_11_33,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_33,True,,31,31,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,surprise,,,,,
event_liarsend_11_34,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_34,True,,31,31,1.0,,syuen,syuen,,,,,,1,think,,3,surprise,,,,,
event_liarsend_11_35,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_35,True,,31,31,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,surprise,,,,,
event_liarsend_11_36,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_36,True,,31,31,1.0,,syuen,syuen,,,,,,1,angry,,3,surprise,,,,,
event_liarsend_11_37,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_37,True,,31,31,1.0,,shifty_s,shifty_s,,,,,,1,angry,,3,surprise,,,,,
event_liarsend_11_38,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_38,True,,31,31,1.0,,syuen,syuen,,,,,,1,think,,3,surprise,,,,,
event_liarsend_11_39,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_39,True,,31,31,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,idle,,,,,
event_liarsend_11_40,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_40,True,Office,black,black,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,idle,,andersen,7,idle,
event_liarsend_11_41,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_41,True,,L_700,L_700,1.0,,andersen,andersen,,,Grey,black,,1,think,,3,idle,,,7,idle,
event_liarsend_11_42,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_42,True,,L_700,L_70,1.0,,andersen,andersen,,,Grey,,,1,think,,3,idle,,,7,idle,
event_liarsend_11_43,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_43,True,CityForest_03_d,black,black,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,delight,,,7,idle,andersen
event_liarsend_11_44,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_44,False,,S_300,S_300,1.0,,shifty_s,,,,,,,1,think,,3,delight,,,,,
event_liarsend_11_45,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_45,True,,S_300,S_300,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,delight,,,,,
event_liarsend_11_46,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_46,True,,S_300,S_30,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,delight,,,,,
event_liarsend_11_47,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_47,True,,S_30,S_30,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,delight,,,,,
event_liarsend_11_48,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_48,False,,S_30,S_30,1.0,,shifty_s,,,,,,,1,think,,3,delight,,,,,
event_liarsend_11_49,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_49,True,,S_30,S_30,1.0,,shifty_s,shifty_s,,,,,,1,think,,3,idle,,,,,
event_liarsend_11_50,130004,event_liarsend_11,Narration,Locale_SubScenario:event_liarsend_11_50,False,,S_30,3,1.0,none,shifty_s,,sfx_scn_fireblindly,,,,,1,think,,3,idle,shifty_s,,,,
event_liarsend_11_51,130004,event_liarsend_11,Narration,Locale_SubScenario:event_liarsend_11_51,False,,black,black,1.0,,shifty_s,,sfx_scn_explosions,,,,,1,think,,,,,,,,
event_liarsend_11_52,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_52,True,,1,1,1.0,bgm_story_kneeldownfools,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_53,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_53,True,,1,1,1.0,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_54,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_54,True,,1,S_10,0.7,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_55,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_55,True,,S_10,S_10,1.0,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_56,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_56,True,,S_10,S_10,1.0,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_57,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_57,False,,S_10,S_10,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_58,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_58,True,,S_10,S_10,1.0,,syuen,syuen,,Low_2,,,,1,angry,,,,,,,,
event_liarsend_11_59,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_59,True,,S_10,S_10,1.0,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_60,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_60,True,,S_10,S_10,1.0,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_61,130004,event_liarsend_11,Self,Locale_SubScenario:event_liarsend_11_61,False,,S_10,S_10,1.0,,syuen,,,,,,,1,angry,,,,,,,,
event_liarsend_11_62,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_62,True,,S_10,S_100,0.7,,syuen,syuen,,,,,,1,angry,,,,,,,,
event_liarsend_11_63,130004,event_liarsend_11,Speech,Locale_SubScenario:event_liarsend_11_63,True,,S_100,S_100,1.0,,syuen,syuen,,,,,,1,angry,,,,,,,,
