id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_beautyfullshot2_intermission_1,40052,event_beautyfullshot2_intermission,Monologue,Locale_MainScenario:event_beautyfullshot2_intermission_1,False,BeachCave_d,5,5,1.0,bgm_story_milkyway,,,,,sakura_s,1,shy,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_2,40052,event_beautyfullshot2_intermission,Monologue,Locale_MainScenario:event_beautyfullshot2_intermission_2,False,,5,5,1.0,,,,,,,1,shy,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_3,40052,event_beautyfullshot2_intermission,Monologue,Locale_MainScenario:event_beautyfullshot2_intermission_3,False,,5,5,1.0,,,,,,,1,shy,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_4,40052,event_beautyfullshot2_intermission,Self,Locale_MainScenario:event_beautyfullshot2_intermission_4,False,,5,5,1.0,,,,,,,1,shy,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_5,40052,event_beautyfullshot2_intermission,Speech,Locale_MainScenario:event_beautyfullshot2_intermission_5,True,,5,1,1.5,,sakura_s,sakura_s,,,,1,shy,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_6,40052,event_beautyfullshot2_intermission,Speech,Locale_MainScenario:event_beautyfullshot2_intermission_6,True,,1,10,1.0,,sakura_s,sakura_s,,,,1,shy,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_7,40052,event_beautyfullshot2_intermission,Self,Locale_MainScenario:event_beautyfullshot2_intermission_7,False,,10,10,1.0,,sakura_s,,,,,1,shy,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_8,40052,event_beautyfullshot2_intermission,Speech,Locale_MainScenario:event_beautyfullshot2_intermission_8,True,,10,10,1.0,,sakura_s,sakura_s,,,,1,smile,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_9,40052,event_beautyfullshot2_intermission,Speech,Locale_MainScenario:event_beautyfullshot2_intermission_9,True,,10,10,1.0,,sakura_s,sakura_s,,,,1,smile,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_10,40052,event_beautyfullshot2_intermission,Speech,Locale_MainScenario:event_beautyfullshot2_intermission_10,True,,10,10,1.0,,sakura_s,sakura_s,,,,1,smile,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_11,40052,event_beautyfullshot2_intermission,Self,Locale_MainScenario:event_beautyfullshot2_intermission_11,False,,10,10,1.0,,sakura_s,,,,,1,smile,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_12,40052,event_beautyfullshot2_intermission,Speech,Locale_MainScenario:event_beautyfullshot2_intermission_12,True,,10,10,1.0,,sakura_s,sakura_s,,,,1,smile,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_13,40052,event_beautyfullshot2_intermission,Monologue,Locale_MainScenario:event_beautyfullshot2_intermission_13,False,,10,100,1.0,,sakura_s,,,,,1,shy,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_14,40052,event_beautyfullshot2_intermission,Speech,Locale_MainScenario:event_beautyfullshot2_intermission_14,True,,100,100,1.0,,sakura_s,sakura_s,,,,1,shy,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_15,40052,event_beautyfullshot2_intermission,Self,Locale_MainScenario:event_beautyfullshot2_intermission_15,False,,100,100,1.0,,sakura_s,,,,,1,shy,,,,,,,,,,,,,,,,,
event_beautyfullshot2_intermission_16,40052,event_beautyfullshot2_intermission,Speech,Locale_MainScenario:event_beautyfullshot2_intermission_16,True,CoralIslandInside_d,130,130,1.0,none,rapi_s,rapi_s,black,,,1,idle,,rapi_s,13,idle,,neon_s,15,idle,,anis_s,17,idle,,mary_s,3,idle,
