id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_cherryblossom_06_s_1,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_1,False,CherryBlossom_n,7,1,1.0,ambient_scn_wind,,,,sakura,1,idle
event_cherryblossom_06_s_2,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_2,False,,1,1,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_3,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_3,False,,1,1,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_4,40011,event_cherryblossom_06_s,Narration,Locale_SubScenario:event_cherryblossom_06_s_4,False,,black,black,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_5,40011,event_cherryblossom_06_s,Narration,Locale_SubScenario:event_cherryblossom_06_s_5,False,,black,black,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_6,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_6,False,,1,10,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_7,40011,event_cherryblossom_06_s,Self,Locale_SubScenario:event_cherryblossom_06_s_7,False,,10,10,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_8,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_8,False,,10,10,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_9,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_9,False,,10,170,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_10,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_10,False,,170,170,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_11,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_11,False,,170,10,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_12,40011,event_cherryblossom_06_s,Self,Locale_SubScenario:event_cherryblossom_06_s_12,False,,10,10,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_13,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_13,True,,10,10,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_14,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_14,True,,10,1,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_15,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_15,True,,1,1,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_16,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_16,True,,1,1,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_17,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_17,False,,1,1,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_18,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_18,True,,1,1,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_19,40011,event_cherryblossom_06_s,Self,Locale_SubScenario:event_cherryblossom_06_s_19,False,,1,1,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_20,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_20,False,,1,1,1.0,bgm_story_weare,,,,sakura,1,idle
event_cherryblossom_06_s_21,40011,event_cherryblossom_06_s,Monologue,Locale_SubScenario:event_cherryblossom_06_s_21,False,,1,10,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_22,40011,event_cherryblossom_06_s,Self,Locale_SubScenario:event_cherryblossom_06_s_22,False,,10,10,1.0,,,,,sakura,1,idle
event_cherryblossom_06_s_23,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_23,True,,10,10,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_24,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_24,True,,10,10,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_25,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_25,True,,10,10,1.0,,sakura,sakura,,sakura,1,idle
event_cherryblossom_06_s_26,40011,event_cherryblossom_06_s,Choice,Locale_SubScenario:event_cherryblossom_06_s_26,False,,10,10,1.0,,,,event_cherryblossom_06_s_28,sakura,1,idle
event_cherryblossom_06_s_27,40011,event_cherryblossom_06_s,Choice,Locale_SubScenario:event_cherryblossom_06_s_27,False,,10,10,1.0,,,,event_cherryblossom_06_s_30,sakura,1,idle
event_cherryblossom_06_s_28,40011,event_cherryblossom_06_s,Speech,Locale_SubScenario:event_cherryblossom_06_s_28,True,,10,10,1.0,,sakura,sakura,,sakura,1,surprise
