id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,speaker,characters/3/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id,characters/2/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_ce006_1_06_s_1,40079,event_ce006_1_06_s,Narration,rapi,Locale_MainScenario:event_ce006_1_06_s_1,False,artcity_s,1,100,1.5,sfx_scn_heavywaterfall,collab_bgm_sb_field_floodedcs_inst,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_2,40079,event_ce006_1_06_s,Monologue,rapi,Locale_MainScenario:event_ce006_1_06_s_2,False,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_3,40079,event_ce006_1_06_s,Monologue,rapi,Locale_MainScenario:event_ce006_1_06_s_3,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_4,40079,event_ce006_1_06_s,Monologue,rapi,Locale_MainScenario:event_ce006_1_06_s_4,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_5,40079,event_ce006_1_06_s,Monologue,rapi,Locale_MainScenario:event_ce006_1_06_s_5,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_6,40079,event_ce006_1_06_s,Monologue,rapi,Locale_MainScenario:event_ce006_1_06_s_6,False,,black,black,1.0,,,,neon,6,idle,anis,4,void,privaty,2,idle,rapi,12,think,roam,14,idle,com,16,idle,,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_7,40079,event_ce006_1_06_s,Speech,rapi,Locale_MainScenario:event_ce006_1_06_s_7,True,,120,120,1.0,,,,,6,idle,,4,void,,2,idle,,12,think,,14,idle,,16,idle,rapi,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_8,40079,event_ce006_1_06_s,Speech,rapi,Locale_MainScenario:event_ce006_1_06_s_8,True,,120,120,1.0,,,,,6,idle,,4,void,,2,idle,,12,think,,14,idle,,16,idle,rapi,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_9,40079,event_ce006_1_06_s,Speech,anis,Locale_MainScenario:event_ce006_1_06_s_9,False,,5,5,1.0,,,,,6,worry,,4,sad,,2,idle,,12,think,,14,idle,,16,idle,anis,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_10,40079,event_ce006_1_06_s,Speech,neon,Locale_MainScenario:event_ce006_1_06_s_10,False,,5,5,1.0,,,,,6,worry,,4,sad,,2,idle,,12,think,,14,idle,,16,idle,neon,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_11,40079,event_ce006_1_06_s,Speech,privaty,Locale_MainScenario:event_ce006_1_06_s_11,True,,2,S_20,1.3,,,,,6,worry,,4,sad,,2,idle,,12,think,,14,idle,,16,idle,privaty,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_12,40079,event_ce006_1_06_s,Monologue,privaty,Locale_MainScenario:event_ce006_1_06_s_12,False,,black,black,1.0,,,,,6,worry,,4,sad,,2,idle,,12,think,,14,idle,,16,idle,,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_13,40079,event_ce006_1_06_s,Speech,privaty,Locale_MainScenario:event_ce006_1_06_s_13,True,,S_20,S_20,1.0,,,,,6,worry,,4,void,,2,idle,,12,think,,14,idle,,16,idle,privaty,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_14,40079,event_ce006_1_06_s,Speech,privaty,Locale_MainScenario:event_ce006_1_06_s_14,True,,S_20,S_20,1.0,,,,,6,idle,,4,void,,2,idle,,12,think,,14,idle,,16,idle,privaty,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_15,40079,event_ce006_1_06_s,Speech,privaty,Locale_MainScenario:event_ce006_1_06_s_15,True,,S_20,S_20,1.0,,,,,6,idle,,4,void,,2,idle,,12,think,,14,idle,,16,idle,privaty,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_16,40079,event_ce006_1_06_s,Self,privaty,Locale_MainScenario:event_ce006_1_06_s_16,False,,S_20,S_20,1.0,,,,,6,idle,,4,void,,2,idle,,12,think,,14,idle,,16,idle,,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_17,40079,event_ce006_1_06_s,Speech,privaty,Locale_MainScenario:event_ce006_1_06_s_17,True,,S_20,1,1.3,,,,,6,idle,,4,void,,2,idle,,12,idle,,14,idle,,16,idle,privaty,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_18,40079,event_ce006_1_06_s,Speech,privaty,Locale_MainScenario:event_ce006_1_06_s_18,True,,1,1,1.0,,,,,6,idle,,4,void,,2,idle,,12,idle,,14,idle,,16,idle,privaty,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_19,40079,event_ce006_1_06_s,Speech,rapi,Locale_MainScenario:event_ce006_1_06_s_19,True,,1,1,1.0,,,,,6,idle,,4,void,,2,idle,,12,idle,,14,idle,,16,idle,rapi,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_20,40079,event_ce006_1_06_s,Speech,roam,Locale_MainScenario:event_ce006_1_06_s_20,True,,15,15,1.0,,,,,6,idle,,4,void,,2,idle,,12,idle,,14,idle,,16,idle,roam,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_21,40079,event_ce006_1_06_s,Speech,com,Locale_MainScenario:event_ce006_1_06_s_21,False,,15,15,1.0,,,,,6,idle,,4,void,,2,idle,,12,idle,,14,idle,,16,idle,com,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_22,40079,event_ce006_1_06_s,Speech,privaty,Locale_MainScenario:event_ce006_1_06_s_22,True,,1,1,1.0,,,,,6,idle,,4,void,,2,idle,,12,idle,,14,idle,,16,idle,privaty,,,,,,,,,,,,,,,,,
event_ce006_1_06_s_23,40079,event_ce006_1_06_s,Monologue,privaty,Locale_MainScenario:event_ce006_1_06_s_23,False,,black,black,1.0,,,,,19,idle,,17,void,,3,idle,,19,idle,,13,idle,,15,idle,,rapi,ce006_npc_01,9,idle,ce006_03,7,no,ce006_01,5,no,elegg,1,idle,,,,
event_ce006_1_06_s_24,40079,event_ce006_1_06_s,Speech,ce006_03,Locale_MainScenario:event_ce006_1_06_s_24,True,,8,8,1.0,,,,,19,idle,,17,void,,3,idle,,,,,13,idle,,15,idle,ce006_03,,,9,idle,,7,no,,5,no,,1,idle,,,,
event_ce006_1_06_s_25,40079,event_ce006_1_06_s,Speech,ce006_03,Locale_MainScenario:event_ce006_1_06_s_25,True,,8,8,1.0,,,,,19,idle,,17,void,,3,idle,,,,,13,idle,,15,idle,ce006_03,,,9,idle,,7,no,,5,no,,1,idle,,,,
event_ce006_1_06_s_26,40079,event_ce006_1_06_s,Speech,ce006_03,Locale_MainScenario:event_ce006_1_06_s_26,True,,8,8,1.0,,,,,19,idle,,17,void,,3,idle,,,,,13,idle,,15,idle,ce006_03,,,9,idle,,7,no,,5,no,,1,idle,,,,
event_ce006_1_06_s_27,40079,event_ce006_1_06_s,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_1_06_s_27,True,,8,8,1.0,,,,,19,idle,,17,void,,3,idle,,,,,13,idle,,15,idle,ce006_npc_01,,,9,think,,7,no,,5,no,,1,idle,,,,
event_ce006_1_06_s_28,40079,event_ce006_1_06_s,Speech,ce006_03,Locale_MainScenario:event_ce006_1_06_s_28,True,,8,8,1.0,,,,,19,idle,,17,void,,3,idle,,,,,13,idle,,15,idle,ce006_03,,,9,think,,7,sad,,5,no,,1,idle,,,,
event_ce006_1_06_s_29,40079,event_ce006_1_06_s,Speech,ce006_01,Locale_MainScenario:event_ce006_1_06_s_29,True,,8,6,1.3,,,,,19,idle,,17,void,,3,idle,,,,,13,idle,,15,idle,ce006_01,,,9,think,,7,sad,,5,no,,1,idle,,,,
event_ce006_1_06_s_30,40079,event_ce006_1_06_s,Speech,ce006_03,Locale_MainScenario:event_ce006_1_06_s_30,True,,6,6,1.0,,,,,19,idle,,17,void,,3,idle,,,,,13,idle,,15,idle,ce006_03,,,9,idle,,7,no,,5,no,,1,idle,,,,
event_ce006_1_06_s_31,40079,event_ce006_1_06_s,Speech,ce006_03,Locale_MainScenario:event_ce006_1_06_s_31,True,,6,6,1.0,,,,,19,idle,,17,void,,3,idle,,,,,13,idle,,15,idle,ce006_03,,,9,idle,,7,no,,5,no,,1,idle,,,,
