id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,play_sound
event_queensorder_04_s_1,40015,event_queensorder_04_s,Speech,fatman,fatman,Locale_SubScenario:event_queensorder_04_s_1,True,fatman,3,idle,swiftgang,1,idle,Backstreet,L_30,L_30,1.0,bgm_story_fairytalesend_if,,,,,,,,,
event_queensorder_04_s_2,40015,event_queensorder_04_s,Speech,fatman,fatman,Locale_SubScenario:event_queensorder_04_s_2,True,,3,idle,,1,idle,,L_30,L_30,1.0,,,,,,,,,,
event_queensorder_04_s_3,40015,event_queensorder_04_s,Choice,fatman,,Locale_SubScenario:event_queensorder_04_s_3,False,,3,idle,,1,idle,,L_30,L_30,1.0,,event_queensorder_04_s_5,,,,,,,,
event_queensorder_04_s_4,40015,event_queensorder_04_s,Choice,fatman,,Locale_SubScenario:event_queensorder_04_s_4,False,,3,idle,,1,idle,,L_30,L_30,1.0,,event_queensorder_04_s_70,,,,,,,,
event_queensorder_04_s_5,40015,event_queensorder_04_s,Speech,fatman,fatman,Locale_SubScenario:event_queensorder_04_s_5,True,,3,idle,,1,idle,,L_30,L_30,1.0,,,,,,,,,,
event_queensorder_04_s_6,40015,event_queensorder_04_s,Speech,swiftgang,swiftgang,Locale_SubScenario:event_queensorder_04_s_6,True,,3,idle,,1,idle,,L_30,2,1.0,,,,,,,,,,
event_queensorder_04_s_7,40015,event_queensorder_04_s,Speech,swiftgang,swiftgang,Locale_SubScenario:event_queensorder_04_s_7,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,
event_queensorder_04_s_8,40015,event_queensorder_04_s,Speech,swiftgang,swiftgang,Locale_SubScenario:event_queensorder_04_s_8,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,
event_queensorder_04_s_9,40015,event_queensorder_04_s,Speech,swiftgang,swiftgang,Locale_SubScenario:event_queensorder_04_s_9,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,
event_queensorder_04_s_10,40015,event_queensorder_04_s,Choice,swiftgang,,Locale_SubScenario:event_queensorder_04_s_10,False,,3,idle,,1,idle,,2,2,1.0,,event_queensorder_04_s_12,,,,,,,,
event_queensorder_04_s_11,40015,event_queensorder_04_s,Choice,swiftgang,,Locale_SubScenario:event_queensorder_04_s_11,False,,3,idle,,1,idle,,2,2,1.0,,event_queensorder_04_s_44,,,,,,,,
event_queensorder_04_s_12,40015,event_queensorder_04_s,Speech,swiftgang,swiftgang,Locale_SubScenario:event_queensorder_04_s_12,True,,3,idle,,1,idle,,2,10,0.5,,,,,,,,,,
event_queensorder_04_s_13,40015,event_queensorder_04_s,Monologue,swiftgang,,Locale_SubScenario:event_queensorder_04_s_13,False,,3,idle,,1,idle,,10,10,1.0,,,Low_2,,,,,,,
event_queensorder_04_s_14,40015,event_queensorder_04_s,Speech,swiftgang,swiftgang,Locale_SubScenario:event_queensorder_04_s_14,True,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,
event_queensorder_04_s_15,40015,event_queensorder_04_s,Self,swiftgang,,Locale_SubScenario:event_queensorder_04_s_15,False,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,
event_queensorder_04_s_16,40015,event_queensorder_04_s,Monologue,swiftgang,,Locale_SubScenario:event_queensorder_04_s_16,False,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,
event_queensorder_04_s_17,40015,event_queensorder_04_s,Speech,swiftgang,swiftgang,Locale_SubScenario:event_queensorder_04_s_17,True,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,
event_queensorder_04_s_18,40015,event_queensorder_04_s,Monologue,swiftgang,,Locale_SubScenario:event_queensorder_04_s_18,False,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,
event_queensorder_04_s_19,40015,event_queensorder_04_s,Self,swiftgang,,Locale_SubScenario:event_queensorder_04_s_19,False,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,
event_queensorder_04_s_20,40015,event_queensorder_04_s,Monologue,swiftgang,,Locale_SubScenario:event_queensorder_04_s_20,False,,3,idle,,1,idle,,black,black,1.0,,,,,,,,,,
event_queensorder_04_s_21,40015,event_queensorder_04_s,Self,swiftgang,,Locale_SubScenario:event_queensorder_04_s_21,False,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,
event_queensorder_04_s_22,40015,event_queensorder_04_s,Monologue,swiftgang,,Locale_SubScenario:event_queensorder_04_s_22,False,,3,idle,,1,idle,,10,2,2.0,,,,,,,,,,
event_queensorder_04_s_23,40015,event_queensorder_04_s,Speech,swiftgang,swiftgang,Locale_SubScenario:event_queensorder_04_s_23,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,
event_queensorder_04_s_24,40015,event_queensorder_04_s,Speech,fatman,fatman,Locale_SubScenario:event_queensorder_04_s_24,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,
event_queensorder_04_s_25,40015,event_queensorder_04_s,Speech,fatman,fatman,Locale_SubScenario:event_queensorder_04_s_25,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,
event_queensorder_04_s_26,40015,event_queensorder_04_s,Speech,swiftgang,swiftgang,Locale_SubScenario:event_queensorder_04_s_26,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,
event_queensorder_04_s_27,40015,event_queensorder_04_s,Speech,swiftgang,swiftgang,Locale_SubScenario:event_queensorder_04_s_27,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,
