id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_seayouagain1_02_s_1,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_1,True,Corridor,3,3,1.0,bgm_story_orangepop,,,helm,3,delight,,mast,1,idle2,,anchor,13,idle,,,,
event_seayouagain1_02_s_2,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_2,True,,3,12,1.0,,,,,3,delight,,,1,idle2,,,13,idle,,,,
event_seayouagain1_02_s_3,40024,event_seayouagain1_02_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain1_02_s_3,True,,12,12,1.0,,,,,3,delight,,,1,idle2,,,13,idle,,,,
event_seayouagain1_02_s_4,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_4,True,,12,2,1.0,,,,,3,delight,,,1,idle2,,,13,idle,,,,
event_seayouagain1_02_s_5,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_5,True,,2,2,1.0,,,,,3,delight,,,1,idle2,,,13,idle,,,,
event_seayouagain1_02_s_6,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_6,True,,2,2,1.0,,,,,3,delight,,,1,idle2,,,13,idle,,,,
event_seayouagain1_02_s_7,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_7,True,,2,30,1.0,,,,,3,delight,,,1,idle2,,,13,idle,,,,
event_seayouagain1_02_s_8,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_8,True,,10,10,1.0,,,,,3,delight,,,1,angry,,,13,idle,,,,
event_seayouagain1_02_s_9,40024,event_seayouagain1_02_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain1_02_s_9,True,,S_130,S_130,1.0,,,,,3,delight,,,1,angry,,,13,surprise,,,,
event_seayouagain1_02_s_10,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_10,True,,30,30,1.0,,,,,3,delight,,,1,angry,,,13,surprise,,,,
event_seayouagain1_02_s_11,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_11,True,,30,30,1.0,,,,,3,delight,,,1,angry,,,13,surprise,,,,
event_seayouagain1_02_s_12,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_12,False,,30,1,1.0,,,,,3,delight,,,1,angry,,,13,surprise,,,,
event_seayouagain1_02_s_13,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_13,True,,1,12,1.0,,,,,3,delight,,,1,angry,,,13,surprise,,,,
event_seayouagain1_02_s_14,40024,event_seayouagain1_02_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain1_02_s_14,True,,12,12,1.0,,,,,3,delight,,,1,angry,,,13,idle,,,,
event_seayouagain1_02_s_15,40024,event_seayouagain1_02_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain1_02_s_15,True,,12,12,1.0,,,,,3,delight,,,1,angry,,,13,idle,,,,
event_seayouagain1_02_s_16,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_16,True,,12,12,1.0,,,,,3,delight,,,1,angry,,,13,idle,,,,
event_seayouagain1_02_s_17,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_17,False,,30,30,1.0,,,,,3,no,,,1,angry,,,13,idle,,,,
event_seayouagain1_02_s_18,40024,event_seayouagain1_02_s,Narration,,,Locale_MainScenario:event_seayouagain1_02_s_18,False,,30,3,1.0,,sfx_scn_swordhitfloor,,,3,no,,,1,angry,,,13,idle,,,,
event_seayouagain1_02_s_19,40024,event_seayouagain1_02_s,Monologue,,,Locale_MainScenario:event_seayouagain1_02_s_19,False,,3,3,1.0,,,,,3,no,,,1,surprise,,,13,idle,,,,
event_seayouagain1_02_s_20,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_20,True,,3,3,1.0,,,,,3,idle,,,1,surprise,,,13,idle,,,,
event_seayouagain1_02_s_21,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_21,True,,3,3,1.0,,,,,3,idle,,,1,surprise,,,13,idle,,,,
event_seayouagain1_02_s_22,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_22,True,,3,2,1.0,,,,,3,idle,,,1,surprise,,,13,idle,,,,
event_seayouagain1_02_s_23,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_23,True,,2,2,1.0,,,,,3,idle,,,1,idle2,,,13,idle,,,,
event_seayouagain1_02_s_24,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_24,True,,2,2,1.0,,,,,3,idle,,,1,idle2,,,13,idle,,,,
event_seayouagain1_02_s_25,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_25,True,,2,2,1.0,,,,,3,idle,,,1,idle2,,,13,idle,,,,
event_seayouagain1_02_s_26,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_26,True,,2,2,1.0,,,,,3,idle,helm,,1,surprise,,,13,idle,,,,
event_seayouagain1_02_s_27,40024,event_seayouagain1_02_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_s_27,True,,2,12,1.0,,,,,,,,,1,surprise,,,13,idle,,,,
event_seayouagain1_02_s_28,40024,event_seayouagain1_02_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain1_02_s_28,True,,12,12,1.0,,,,,,,,,1,surprise,,,13,idle,,,,
event_seayouagain1_02_s_29,40024,event_seayouagain1_02_s,Narration,,,Locale_MainScenario:event_seayouagain1_02_s_29,False,,black,black,1.0,,,black,,,,,,1,surprise,mast,,13,idle,anchor,,,
event_seayouagain1_02_s_30,40024,event_seayouagain1_02_s,Narration,,,Locale_MainScenario:event_seayouagain1_02_s_30,False,GoodOffice,black,black,1.0,,,,,,,,,,,,,,,,burningum,5,delight
event_seayouagain1_02_s_31,40024,event_seayouagain1_02_s,Speech,burningum,burningum,Locale_MainScenario:event_seayouagain1_02_s_31,True,,50,50,1.0,,,,,,,,,,,,,,,,,5,delight
event_seayouagain1_02_s_32,40024,event_seayouagain1_02_s,Narration,,,Locale_MainScenario:event_seayouagain1_02_s_32,False,,50,50,1.0,,sfx_scn_knock,,,,,,,,,,,,,,,5,delight
event_seayouagain1_02_s_33,40024,event_seayouagain1_02_s,Speech,burningum,burningum,Locale_MainScenario:event_seayouagain1_02_s_33,True,,50,5,1.0,,,,,,,,,,,,,,,,,5,surprise
event_seayouagain1_02_s_34,40024,event_seayouagain1_02_s,Speech,burningum,burningum,Locale_MainScenario:event_seayouagain1_02_s_34,True,,5,5,1.0,,,,,,,,,,,,,,,,,5,angry
event_seayouagain1_02_s_35,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_35,True,,5,5,1.0,,,,,,,,,,,,,,,,,5,angry
event_seayouagain1_02_s_36,40024,event_seayouagain1_02_s,Speech,burningum,burningum,Locale_MainScenario:event_seayouagain1_02_s_36,True,,5,5,1.0,,,,,,,,,,,,,,,,,5,idle
event_seayouagain1_02_s_37,40024,event_seayouagain1_02_s,Speech,burningum,burningum,Locale_MainScenario:event_seayouagain1_02_s_37,True,,5,5,1.0,,,,,,,,,,,,,,,,,5,idle
event_seayouagain1_02_s_38,40024,event_seayouagain1_02_s,Narration,,,Locale_MainScenario:event_seayouagain1_02_s_38,False,,5,4,1.0,,,,,,,,,,,,,,,,,5,idle
event_seayouagain1_02_s_39,40024,event_seayouagain1_02_s,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_s_39,True,,4,4,1.0,,,,helm,3,idle,,mast,1,idle2,,anchor,13,idle,,,5,idle
event_seayouagain1_02_s_40,40024,event_seayouagain1_02_s,Speech,burningum,burningum,Locale_MainScenario:event_seayouagain1_02_s_40,True,,4,4,1.0,,,,,3,idle,,,1,idle2,,,13,idle,,,5,idle
