id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,play_sound
event_schooloflock_04_e_1,40028,event_schooloflock_04_e,Monologue,Locale_SubScenario:event_schooloflock_04_e_1,False,TrainingField,5,1,1.0,bgm_story_fairytalesend_if,,,,,,
event_schooloflock_04_e_2,40028,event_schooloflock_04_e,Monologue,Locale_SubScenario:event_schooloflock_04_e_2,False,,1,1,1.0,,,,,,,
event_schooloflock_04_e_3,40028,event_schooloflock_04_e,Monologue,Locale_SubScenario:event_schooloflock_04_e_3,False,,1,1,1.0,,,,,,,
event_schooloflock_04_e_4,40028,event_schooloflock_04_e,Monologue,Locale_SubScenario:event_schooloflock_04_e_4,False,,1,1,1.0,,marciana,1,think,,,
event_schooloflock_04_e_5,40028,event_schooloflock_04_e,Self,Locale_SubScenario:event_schooloflock_04_e_5,False,,1,1,1.0,,,1,think,,,
event_schooloflock_04_e_6,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_6,True,,1,10,1.0,,,1,surprise,marciana,marciana,
event_schooloflock_04_e_7,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_7,True,,10,10,1.0,,,1,surprise,marciana,marciana,
event_schooloflock_04_e_8,40028,event_schooloflock_04_e,Self,Locale_SubScenario:event_schooloflock_04_e_8,False,,10,10,1.0,,,1,surprise,marciana,,
event_schooloflock_04_e_9,40028,event_schooloflock_04_e,Self,Locale_SubScenario:event_schooloflock_04_e_9,False,,10,10,1.0,,,1,surprise,marciana,,
event_schooloflock_04_e_10,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_10,False,,10,10,1.0,,,1,think,marciana,marciana,
event_schooloflock_04_e_11,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_11,True,,10,10,1.0,,,1,think,marciana,marciana,
event_schooloflock_04_e_12,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_12,False,,10,10,1.0,,,1,special,marciana,marciana,
event_schooloflock_04_e_13,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_13,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_14,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_14,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_15,40028,event_schooloflock_04_e,Self,Locale_SubScenario:event_schooloflock_04_e_15,False,,10,10,1.0,,,1,idle,marciana,,
event_schooloflock_04_e_16,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_16,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_17,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_17,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_18,40028,event_schooloflock_04_e,Self,Locale_SubScenario:event_schooloflock_04_e_18,False,,10,10,1.0,,,1,idle,marciana,,
event_schooloflock_04_e_19,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_19,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_20,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_20,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_21,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_21,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_22,40028,event_schooloflock_04_e,Self,Locale_SubScenario:event_schooloflock_04_e_22,False,,10,10,1.0,,,1,idle,marciana,,
event_schooloflock_04_e_23,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_23,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_24,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_24,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_25,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_25,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_26,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_26,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_27,40028,event_schooloflock_04_e,Self,Locale_SubScenario:event_schooloflock_04_e_27,False,,10,10,1.0,,,1,idle,marciana,,
event_schooloflock_04_e_28,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_28,True,,10,1,1.0,,,1,think,marciana,marciana,
event_schooloflock_04_e_29,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_29,True,,1,1,1.0,,,1,think,marciana,marciana,
event_schooloflock_04_e_30,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_30,True,,1,1,1.0,,,1,think,marciana,marciana,
event_schooloflock_04_e_31,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_31,True,,1,1,1.0,,,1,think,marciana,marciana,
event_schooloflock_04_e_32,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_32,True,,1,1,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_33,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_33,True,,1,1,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_34,40028,event_schooloflock_04_e,Self,Locale_SubScenario:event_schooloflock_04_e_34,False,,1,1,1.0,,,1,idle,marciana,,
event_schooloflock_04_e_35,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_35,True,,1,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_36,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_36,True,,10,10,1.0,,,1,idle,marciana,marciana,
event_schooloflock_04_e_37,40028,event_schooloflock_04_e,Self,Locale_SubScenario:event_schooloflock_04_e_37,False,,10,10,1.0,,,1,idle,marciana,,
event_schooloflock_04_e_38,40028,event_schooloflock_04_e,Narration,Locale_SubScenario:event_schooloflock_04_e_38,False,,10,10,1.0,,,1,idle,marciana,,sfx_scn_remotesignal
event_schooloflock_04_e_39,40028,event_schooloflock_04_e,Monologue,Locale_SubScenario:event_schooloflock_04_e_39,False,,10,10,1.0,,,1,idle,marciana,,
event_schooloflock_04_e_40,40028,event_schooloflock_04_e,Speech,Locale_SubScenario:event_schooloflock_04_e_40,True,,10,10,1.0,,,1,think,marciana,marciana,
