id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
event_ce006_2_04_s_1,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_1,True,bunkerofartist,2,2,1.0,collab_bgm_sb_hallofrecords,,,anis,5,idle,neon,3,idle,elegg,1,idle,,ce006_03,13,no,,privaty,15,idle,,,,,,,,,,,
event_ce006_2_04_s_2,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_2,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_3,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_3,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_4,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_4,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_5,40080,event_ce006_2_04_s,Speech,neon,neon,Locale_MainScenario:event_ce006_2_04_s_5,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_6,40080,event_ce006_2_04_s,Speech,neon,neon,Locale_MainScenario:event_ce006_2_04_s_6,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_7,40080,event_ce006_2_04_s,Speech,neon,neon,Locale_MainScenario:event_ce006_2_04_s_7,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_8,40080,event_ce006_2_04_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_04_s_8,True,,2,12,1.3,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_9,40080,event_ce006_2_04_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_04_s_9,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_10,40080,event_ce006_2_04_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_04_s_10,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_11,40080,event_ce006_2_04_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_04_s_11,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_12,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_12,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_13,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_13,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_14,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_14,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_15,40080,event_ce006_2_04_s,Monologue,elegg,,Locale_MainScenario:event_ce006_2_04_s_15,False,,12,12,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_16,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_16,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_17,40080,event_ce006_2_04_s,Speech,neon,neon,Locale_MainScenario:event_ce006_2_04_s_17,True,,12,2,1.3,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_18,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_18,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,delight,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_19,40080,event_ce006_2_04_s,Speech,anis,anis,Locale_MainScenario:event_ce006_2_04_s_19,True,,50,50,1.0,,,,,5,idle,,3,idle,,1,delight,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_20,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_20,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_21,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_21,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_22,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_22,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_23,40080,event_ce006_2_04_s,Speech,privaty,privaty,Locale_MainScenario:event_ce006_2_04_s_23,True,,S_150,S_150,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_24,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_24,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_25,40080,event_ce006_2_04_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_04_s_25,True,,2,2,1.0,,,,,5,idle,,3,idle,,1,idle,,,13,no,,,15,idle,,,,,,,,,,,
event_ce006_2_04_s_26,40080,event_ce006_2_04_s,Self,anis,,Locale_MainScenario:event_ce006_2_04_s_26,False,CityForest_01,4,4,1.0,,black,,,5,void,,3,idle,,7,idle,elegg,,13,no,ce006_03,,15,idle,privaty,ce006_01,13,idle,roam,15,idle,,rapi,1,idle
event_ce006_2_04_s_27,40080,event_ce006_2_04_s,Speech,anis,anis,Locale_MainScenario:event_ce006_2_04_s_27,True,,4,4,1.0,,,,,5,void,,3,idle,,,,,,,,,,,,,,13,idle,,15,idle,,,1,idle
