id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_redash1_03_s_1,40031,event_redash1_03_s,Narration,Locale_MainScenario:event_redash1_03_s_1,False,BattleShipBridge,black,black,1.0,none,,,,,,redhood,1,idle,,liliweiss,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_2,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_2,True,,113,113,1.0,event_bgm_redash_alldownhill,liliweiss,liliweiss,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_3,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_3,True,,113,113,1.0,,redhood,redhood,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_4,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_4,True,,113,113,1.0,,liliweiss,liliweiss,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_5,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_5,True,,113,113,1.0,,redhood,redhood,,,,,1,think,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_6,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_6,True,,113,113,1.0,none,liliweiss,liliweiss,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_7,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_7,True,,113,113,1.0,,liliweiss,liliweiss,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_8,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_8,True,,113,113,1.0,,redhood,redhood,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_9,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_9,True,,113,1,1.0,,redhood,redhood,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_10,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_10,True,,1,10,1.0,,redhood,redhood,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_11,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_11,True,,10,10,1.0,,redhood,redhood,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_12,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_12,True,,10,10,1.0,,redhood,redhood,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_13,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_13,True,,10,113,1.0,,liliweiss,liliweiss,,,,,1,think,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_14,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_14,True,,113,113,1.0,,redhood,redhood,,,,,1,think,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_15,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_15,True,,113,113,1.0,,liliweiss,liliweiss,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_16,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_16,True,,113,113,1.0,,redhood,redhood,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_17,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_17,False,,113,113,1.0,,liliweiss,liliweiss,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_18,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_18,True,,113,113,1.0,,liliweiss,liliweiss,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_19,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_19,True,,113,10,1.0,,redhood,redhood,,,,,1,idle,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_20,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_20,True,,10,10,1.0,,redhood,redhood,,,,,1,idle,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_21,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_21,True,,10,10,1.0,,redhood,redhood,,,,,1,idle,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_22,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_22,True,,10,10,1.0,,redhood,redhood,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_23,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_23,True,,10,100,1.0,,redhood,redhood,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_24,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_24,True,,100,100,1.0,,redhood,redhood,,,,,1,think,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_25,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_25,True,,100,10,1.0,,redhood,redhood,,,,,1,idle,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_26,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_26,True,,10,10,1.0,,redhood,redhood,,,,,1,idle,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_27,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_27,True,,10,10,1.0,,redhood,redhood,,,,,1,idle,,,13,think,,,,,,,,,,,,,,,,,
event_redash1_03_s_28,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_28,True,,10,113,1.0,,liliweiss,liliweiss,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_29,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_29,True,,113,113,1.0,,redhood,redhood,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_30,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_30,True,,113,13,1.0,,liliweiss,liliweiss,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_31,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_31,True,,13,130,1.0,,liliweiss,liliweiss,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_32,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_32,True,,130,130,1.0,,liliweiss,liliweiss,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_33,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_33,True,,130,130,1.0,,liliweiss,liliweiss,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_34,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_34,True,,130,130,1.0,,liliweiss,liliweiss,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_35,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_35,True,,130,130,1.0,,liliweiss,liliweiss,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_redash1_03_s_36,40031,event_redash1_03_s,Speech,Locale_MainScenario:event_redash1_03_s_36,True,,130,113,1.0,,redhood,redhood,,,,,1,think,,,13,idle,,,,,,,,,,,,,,,,,
