id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_ce003_2_01_e_1,40042,event_ce003_2_01_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_01_e_1,True,soda,7,idle,cocoa,5,idle,ade,3,idle,ce_003_02,1,surprise,ce_003_01,13,surprise,ce_003_03,15,idle,BuildingLobby,10,10,1.0,event_bgm_ce003_story_1,,,,
event_ce003_2_01_e_2,40042,event_ce003_2_01_e,Speech,cocoa,cocoa,Locale_SubScenario:event_ce003_2_01_e_2,True,,7,idle,,5,sad,,3,idle,,1,surprise,,13,surprise,,15,idle,,XS_50,XS_50,1.0,,,,,
event_ce003_2_01_e_3,40042,event_ce003_2_01_e,Speech,cocoa,cocoa,Locale_SubScenario:event_ce003_2_01_e_3,True,,7,idle,,5,sad,,3,idle,,1,surprise,,13,surprise,,15,idle,,XS_50,XS_50,1.0,,,,,
event_ce003_2_01_e_4,40042,event_ce003_2_01_e,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_01_e_4,True,,7,idle,,5,sad,,3,idle,,1,surprise,,13,surprise,,15,idle,,10,10,1.0,,,,,
event_ce003_2_01_e_5,40042,event_ce003_2_01_e,Speech,ade,ade,Locale_SubScenario:event_ce003_2_01_e_5,True,,7,idle,,5,idle,,3,delight,,1,surprise,,13,surprise,,15,idle,,10,30,1.0,,,,,
event_ce003_2_01_e_6,40042,event_ce003_2_01_e,Speech,ade,ade,Locale_SubScenario:event_ce003_2_01_e_6,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,,,
event_ce003_2_01_e_7,40042,event_ce003_2_01_e,Speech,ade,ade,Locale_SubScenario:event_ce003_2_01_e_7,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,,,
event_ce003_2_01_e_8,40042,event_ce003_2_01_e,Speech,ade,ade,Locale_SubScenario:event_ce003_2_01_e_8,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,30,300,1.0,,,,,
event_ce003_2_01_e_9,40042,event_ce003_2_01_e,Self,ade,,Locale_SubScenario:event_ce003_2_01_e_9,False,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,300,300,1.0,,,,,
event_ce003_2_01_e_10,40042,event_ce003_2_01_e,Self,ade,,Locale_SubScenario:event_ce003_2_01_e_10,False,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,300,300,1.0,,,,,
event_ce003_2_01_e_11,40042,event_ce003_2_01_e,Speech,ade,ade,Locale_SubScenario:event_ce003_2_01_e_11,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,300,30,1.0,,,,,
event_ce003_2_01_e_12,40042,event_ce003_2_01_e,Self,ade,,Locale_SubScenario:event_ce003_2_01_e_12,False,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,,,
event_ce003_2_01_e_13,40042,event_ce003_2_01_e,Speech,ade,ade,Locale_SubScenario:event_ce003_2_01_e_13,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,,,
event_ce003_2_01_e_14,40042,event_ce003_2_01_e,Speech,ade,ade,Locale_SubScenario:event_ce003_2_01_e_14,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,,,
event_ce003_2_01_e_15,40042,event_ce003_2_01_e,Speech,ade,ade,Locale_SubScenario:event_ce003_2_01_e_15,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,,,
event_ce003_2_01_e_16,40042,event_ce003_2_01_e,Self,ade,,Locale_SubScenario:event_ce003_2_01_e_16,False,,7,idle,,5,idle,,3,idle,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,,,
event_ce003_2_01_e_17,40042,event_ce003_2_01_e,Speech,ade,ade,Locale_SubScenario:event_ce003_2_01_e_17,True,,7,idle,,5,idle,,3,delight,,1,surprise,,13,surprise,,15,idle,,30,30,1.0,,,,,
