id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,conversation_id,jump_target
event_schooloflock_06_s_1,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_1,True,rei,1,surprise,zwei,5,idle,ein,3,idle,tercera,13,idle,marciana,15,think,SimulationRoom,13,2,1.0,bgm_story_orangepop,,,,,,,,
event_schooloflock_06_s_2,40028,event_schooloflock_06_s,Speech,ein,ein,Locale_SubScenario:event_schooloflock_06_s_2,True,,1,surprise,,5,idle,,3,idle,,13,idle,,15,think,,2,2,1.0,,,,,,,,,
event_schooloflock_06_s_3,40028,event_schooloflock_06_s,Speech,ein,ein,Locale_SubScenario:event_schooloflock_06_s_3,True,,1,surprise,,5,idle,,3,delight,,13,idle,,15,think,,2,2,1.0,,,,,,,,,
event_schooloflock_06_s_4,40028,event_schooloflock_06_s,Speech,ein,ein,Locale_SubScenario:event_schooloflock_06_s_4,True,,1,surprise,,5,idle,,3,delight,,13,idle,,15,think,,2,2,1.0,,,,,,,,,
event_schooloflock_06_s_5,40028,event_schooloflock_06_s,Speech,tercera,tercera,Locale_SubScenario:event_schooloflock_06_s_5,True,,1,surprise,,5,idle,,3,delight,,13,idle,,15,think,,2,12,1.0,,,,,,,,,
event_schooloflock_06_s_6,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_6,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,think,,12,12,1.0,,,,,,,,,
event_schooloflock_06_s_7,40028,event_schooloflock_06_s,Speech,tercera,tercera,Locale_SubScenario:event_schooloflock_06_s_7,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,think,,12,12,1.0,,,,,,,,,
event_schooloflock_06_s_8,40028,event_schooloflock_06_s,Self,,,Locale_SubScenario:event_schooloflock_06_s_8,False,,1,idle,,5,idle,,3,delight,,13,idle,,15,think,,12,12,1.0,,,,,,,,,
event_schooloflock_06_s_9,40028,event_schooloflock_06_s,Speech,zwei,zwei,Locale_SubScenario:event_schooloflock_06_s_9,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,think,,50,50,1.0,,,,,,,,,
event_schooloflock_06_s_10,40028,event_schooloflock_06_s,Speech,zwei,zwei,Locale_SubScenario:event_schooloflock_06_s_10,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,think,,50,50,1.0,,,,,,,,,
event_schooloflock_06_s_11,40028,event_schooloflock_06_s,Speech,zwei,zwei,Locale_SubScenario:event_schooloflock_06_s_11,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,think,,50,50,1.0,,,,,,,,,
event_schooloflock_06_s_12,40028,event_schooloflock_06_s,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_06_s_12,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,think,,150,150,1.0,,,,,,,,,
event_schooloflock_06_s_13,40028,event_schooloflock_06_s,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_06_s_13,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,delight,,150,150,1.0,,,,,,,,,
event_schooloflock_06_s_14,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_14,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,delight,,2,2,1.0,,,,,,,,,
event_schooloflock_06_s_15,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_15,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,delight,,2,2,1.0,,,,,,,,,
event_schooloflock_06_s_16,40028,event_schooloflock_06_s,Speech,ein,ein,Locale_SubScenario:event_schooloflock_06_s_16,True,,1,idle,,5,idle,,3,surprise,,13,idle,,15,delight,,2,2,1.0,,,,,,,,,
event_schooloflock_06_s_17,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_17,True,,1,angry,,5,idle,,3,surprise,,13,idle,,15,delight,,2,2,1.0,,,,,,,,,
event_schooloflock_06_s_18,40028,event_schooloflock_06_s,Self,rei,,Locale_SubScenario:event_schooloflock_06_s_18,False,,1,angry,,5,idle,,3,surprise,,13,idle,,15,delight,,2,2,1.0,none,,,,,,,,
event_schooloflock_06_s_19,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_19,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,delight,,2,XS_10,1.0,,,,,,,,,
event_schooloflock_06_s_20,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_20,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,delight,,XS_10,XS_10,1.0,bgm_story_impression,,,,,,,,
event_schooloflock_06_s_21,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_21,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,delight,,XS_10,XS_10,1.0,,,,,,,,,
event_schooloflock_06_s_22,40028,event_schooloflock_06_s,Speech,tercera,tercera,Locale_SubScenario:event_schooloflock_06_s_22,False,,1,idle,,5,idle,,3,delight,,13,idle,,15,delight,,XS_10,12,1.0,,,,,,,,,
event_schooloflock_06_s_23,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_23,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,idle,,12,12,1.0,,,,,,,,,
event_schooloflock_06_s_24,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_24,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,idle,,12,12,1.0,,,,,,,,,
event_schooloflock_06_s_25,40028,event_schooloflock_06_s,Speech,tercera,tercera,Locale_SubScenario:event_schooloflock_06_s_25,True,,1,idle,,5,idle,,3,delight,,13,idle,,15,idle,,12,12,1.0,,,,,,,,,
event_schooloflock_06_s_26,40028,event_schooloflock_06_s,Speech,rei,rei,Locale_SubScenario:event_schooloflock_06_s_26,True,,1,delight,,5,idle,,3,delight,,13,idle,,15,idle,,12,12,1.0,,,,,,,,,
event_schooloflock_06_s_27,40028,event_schooloflock_06_s,Speech,tercera,tercera,Locale_SubScenario:event_schooloflock_06_s_27,True,,1,delight,,5,idle,,3,delight,,13,idle,,15,idle,,12,130,1.0,,,,,,,,,
event_schooloflock_06_s_28,40028,event_schooloflock_06_s,Speech,tercera,tercera,Locale_SubScenario:event_schooloflock_06_s_28,True,,1,delight,,5,idle,,3,delight,,13,idle,,15,idle,,130,130,1.0,,,,,,,,,
