id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/6/hide_char_id
event_exnii1_05_s_1,40070,event_exnii1_05_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_05_s_1,True,rapi,3,delight,anis,1,idle,neon,13,idle,ce005_02,15,idle,ce005_03,17,idle,helm,5,idle,mast,7,idle,anchor,9,idle,EzsUp,3,3,1.0,event_bgm_ce005_laststand,,,,,
event_exnii1_05_s_2,40070,event_exnii1_05_s,Speech,neon,neon,Locale_SubScenario:event_exnii1_05_s_2,True,,3,idle,,1,idle,,13,angry,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,3,event_exnii_talk_02,1.0,,,,,,
event_exnii1_05_s_3,40070,event_exnii1_05_s,Speech,neon,neon,Locale_SubScenario:event_exnii1_05_s_3,True,,3,idle,,1,idle,,13,angry,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,
event_exnii1_05_s_4,40070,event_exnii1_05_s,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_s_4,True,,3,idle,,1,no,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,event_exnii_talk_02,1,1.0,,,,,,
event_exnii1_05_s_5,40070,event_exnii1_05_s,Speech,anchor,anchor,Locale_SubScenario:event_exnii1_05_s_5,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,angry,,event_exnii_talk_03,event_exnii_talk_03,1.0,,rapi,ce005_01,3,idle,
event_exnii1_05_s_6,40070,event_exnii1_05_s,Speech,mast,mast,Locale_SubScenario:event_exnii1_05_s_6,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,event_exnii_talk_03,event_exnii_talk_03,1.0,,,,3,idle,
event_exnii1_05_s_7,40070,event_exnii1_05_s,Speech,mast,mast,Locale_SubScenario:event_exnii1_05_s_7,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,delight2,,9,idle,,event_exnii_talk_03,event_exnii_talk_03,1.0,,,,3,idle,
event_exnii1_05_s_8,40070,event_exnii1_05_s,Self,mast,,Locale_SubScenario:event_exnii1_05_s_8,False,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,event_exnii_talk_03,event_exnii_talk_03,1.0,,,,3,idle,
event_exnii1_05_s_9,40070,event_exnii1_05_s,Speech,neon,neon,Locale_SubScenario:event_exnii1_05_s_9,True,,,,,1,idle,,13,delight,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,13,13,1.0,,,,3,idle,
event_exnii1_05_s_10,40070,event_exnii1_05_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_05_s_10,True,,,,,1,idle,,13,idle,,15,idle,,17,think,,5,idle,,7,idle,,9,idle,,16,16,1.0,,,,3,idle,
event_exnii1_05_s_11,40070,event_exnii1_05_s,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_05_s_11,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,16,16,1.0,,,,3,idle,
event_exnii1_05_s_12,40070,event_exnii1_05_s,Speech,neon,neon,Locale_SubScenario:event_exnii1_05_s_12,True,,,,,1,idle,,13,no,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,16,event_exnii_talk_08,1.0,,,,3,idle,
event_exnii1_05_s_13,40070,event_exnii1_05_s,Self,ce005_02,,Locale_SubScenario:event_exnii1_05_s_13,False,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,event_exnii_talk_08,15,1.0,,,,3,idle,
event_exnii1_05_s_14,40070,event_exnii1_05_s,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_05_s_14,True,,,,,1,idle,,13,idle,,15,think,,17,idle,,5,idle,,7,idle,,9,idle,,15,15,1.0,,,,3,idle,
event_exnii1_05_s_15,40070,event_exnii1_05_s,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_05_s_15,True,,,,,1,idle,,13,idle,,15,think,,17,idle,,5,idle,,7,idle,,9,idle,,15,15,1.0,,,,3,idle,
event_exnii1_05_s_16,40070,event_exnii1_05_s,Self,ce005_02,,Locale_SubScenario:event_exnii1_05_s_16,False,,,,,1,idle,,13,idle,,15,think,,17,idle,,5,idle,,7,idle,,9,idle,,15,15,1.0,,,,3,idle,
event_exnii1_05_s_17,40070,event_exnii1_05_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_05_s_17,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,15,170,0.7,,,,3,idle,
event_exnii1_05_s_18,40070,event_exnii1_05_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_05_s_18,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,170,170,1.0,,,,3,idle,
event_exnii1_05_s_19,40070,event_exnii1_05_s,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_05_s_19,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,170,16,1.0,,,,3,idle,
event_exnii1_05_s_20,40070,event_exnii1_05_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_05_s_20,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,16,16,1.0,,,,3,idle,
event_exnii1_05_s_21,40070,event_exnii1_05_s,Speech,helm,helm,Locale_SubScenario:event_exnii1_05_s_21,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,5,5,1.0,,,,3,idle,
event_exnii1_05_s_22,40070,event_exnii1_05_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_05_s_22,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,17,17,1.0,,,,3,idle,
event_exnii1_05_s_23,40070,event_exnii1_05_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_05_s_23,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,17,17,1.0,,,,3,idle,helm
event_exnii1_05_s_24,40070,event_exnii1_05_s,Self,ce005_03,,Locale_SubScenario:event_exnii1_05_s_24,False,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,17,17,1.0,,,,3,idle,
event_exnii1_05_s_25,40070,event_exnii1_05_s,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_05_s_25,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,17,16,1.0,,,,3,idle,
event_exnii1_05_s_26,40070,event_exnii1_05_s,Self,ce005_02,,Locale_SubScenario:event_exnii1_05_s_26,False,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,16,16,1.0,,,,3,idle,
event_exnii1_05_s_27,40070,event_exnii1_05_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_05_s_27,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,16,16,1.0,,,,3,idle,
event_exnii1_05_s_28,40070,event_exnii1_05_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_05_s_28,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,16,16,1.0,,,,3,idle,
event_exnii1_05_s_29,40070,event_exnii1_05_s,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_s_29,True,,,,,1,delight,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,1,1,1.0,,,,3,idle,
event_exnii1_05_s_30,40070,event_exnii1_05_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_05_s_30,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,16,16,1.0,,,,3,idle,
event_exnii1_05_s_31,40070,event_exnii1_05_s,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_s_31,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,1,1,1.0,,,,3,idle,
event_exnii1_05_s_32,40070,event_exnii1_05_s,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_s_32,True,,,,,1,void,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,1,1,1.0,,,,3,idle,
event_exnii1_05_s_33,40070,event_exnii1_05_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_05_s_33,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,1,event_exnii_talk_04,1.0,,,,3,idle,
event_exnii1_05_s_34,40070,event_exnii1_05_s,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_s_34,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,3,idle,
event_exnii1_05_s_35,40070,event_exnii1_05_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_05_s_35,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,3,idle,
event_exnii1_05_s_36,40070,event_exnii1_05_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_05_s_36,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,3,no,
event_exnii1_05_s_37,40070,event_exnii1_05_s,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_s_37,True,,,,,1,no,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,3,no,
event_exnii1_05_s_38,40070,event_exnii1_05_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_05_s_38,True,,,,,1,no,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,3,no,
event_exnii1_05_s_39,40070,event_exnii1_05_s,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_05_s_39,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,15,15,1.0,,,,3,no,
event_exnii1_05_s_40,40070,event_exnii1_05_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_05_s_40,True,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,3,3,1.0,,,,3,no,
event_exnii1_05_s_41,40070,event_exnii1_05_s,Self,ce005_01,,Locale_SubScenario:event_exnii1_05_s_41,False,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,3,3,1.0,,,,3,idle,
event_exnii1_05_s_42,40070,event_exnii1_05_s,Self,ce005_01,,Locale_SubScenario:event_exnii1_05_s_42,False,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,3,3,1.0,,,,3,idle,
event_exnii1_05_s_43,40070,event_exnii1_05_s,Self,ce005_01,,Locale_SubScenario:event_exnii1_05_s_43,False,,,,,1,idle,,13,idle,,15,idle,,17,idle,,5,idle,,7,idle,,9,idle,,3,3,1.0,,,,3,idle,
