id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,speaker,play_sound
snowfall_speech_mica_19_1,80903,snowfall_speech_mica_19,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_19_1,False,mica_w,1,idle,DiningRoom_n,1,1,1.0,amb_so_restaurant_3,event_bgm_neverland_hugme_night,,,,
snowfall_speech_mica_19_2,80903,snowfall_speech_mica_19,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_19_2,False,,1,idle,,1,1,1.0,,,,,,
snowfall_speech_mica_19_3,80903,snowfall_speech_mica_19,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_19_3,False,,1,idle,,1,1,1.0,,,,,,
snowfall_speech_mica_19_4,80903,snowfall_speech_mica_19,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_19_4,False,,1,idle,,1,1,1.0,,,snowfall_speech_mica_19_7,,,
snowfall_speech_mica_19_5,80903,snowfall_speech_mica_19,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_19_5,False,,1,idle,,1,1,1.0,,,snowfall_speech_mica_19_6,,,
snowfall_speech_mica_19_6,80903,snowfall_speech_mica_19,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_19_6,False,,1,idle,,black,black,1.0,,,,True,,
snowfall_speech_mica_19_7,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_7,True,,1,delight,,1,S_10,1.0,,,,,mica_w,
snowfall_speech_mica_19_8,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_8,True,,1,surprise,,S_10,S_10,1.0,,,,,mica_w,
snowfall_speech_mica_19_9,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_9,True,,1,surprise,,S_10,S_10,1.0,,,,,mica_w,
snowfall_speech_mica_19_10,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_10,True,,1,surprise,,S_10,S_10,1.0,,,,,mica_w,
snowfall_speech_mica_19_11,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_11,True,,1,special,,S_10,S_10,1.0,,,,,mica_w,
snowfall_speech_mica_19_12,80903,snowfall_speech_mica_19,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_19_12,False,,1,special,,S_10,S_10,1.0,,,snowfall_speech_mica_19_14,,,
snowfall_speech_mica_19_13,80903,snowfall_speech_mica_19,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_19_13,False,,1,special,,S_10,S_10,1.0,,,snowfall_speech_mica_19_18,,,
snowfall_speech_mica_19_14,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_14,True,,1,no,,S_10,S_10,1.0,,,,,mica_w,
snowfall_speech_mica_19_15,80903,snowfall_speech_mica_19,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_19_15,False,,1,no,,S_10,S_10,1.0,,,,,,
snowfall_speech_mica_19_16,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_16,True,,1,no,,S_10,S_10,1.0,,,,,mica_w,
snowfall_speech_mica_19_17,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_17,True,,1,no,,S_10,S_10,1.0,,,snowfall_speech_mica_19_23,,mica_w,
snowfall_speech_mica_19_18,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_18,True,,1,surprise,,S_10,S_10,1.0,,,,,mica_w,
snowfall_speech_mica_19_19,80903,snowfall_speech_mica_19,Self,mica_w,Locale_SubScenario:snowfall_speech_mica_19_19,False,,1,surprise,,S_10,S_10,1.0,,,,,,
snowfall_speech_mica_19_20,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_20,True,,1,no,,S_10,S_10,1.0,,,,,mica_w,
snowfall_speech_mica_19_21,80903,snowfall_speech_mica_19,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_19_21,False,,1,no,,S_10,S_10,1.0,,,,,,
snowfall_speech_mica_19_22,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_22,True,,1,no,,S_10,S_10,1.0,,,snowfall_speech_mica_19_23,,mica_w,
snowfall_speech_mica_19_23,80903,snowfall_speech_mica_19,Narration,mica_w,Locale_SubScenario:snowfall_speech_mica_19_23,False,,1,no,,S_10,S_10,1.0,,,,,,sfx_scn_swallow
snowfall_speech_mica_19_24,80903,snowfall_speech_mica_19,Self,mica_w,Locale_SubScenario:snowfall_speech_mica_19_24,False,,1,no,,S_10,S_10,1.0,,,,,,
snowfall_speech_mica_19_25,80903,snowfall_speech_mica_19,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_19_25,True,,1,idle,,S_10,S_10,1.0,,,,,mica_w,
snowfall_speech_mica_19_26,80903,snowfall_speech_mica_19,Narration,mica_w,Locale_SubScenario:snowfall_speech_mica_19_26,False,,1,idle,,black,black,1.0,,,,,,
