id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,play_sound,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
event_miraclesnow1_02_s_1,40003,event_miraclesnow1_02_s,Monologue,Locale_SubScenario:event_miraclesnow1_02_s_1,False,rupee,1,sad,n102,13,delight,Winter_AmusementPark,1,1,1.0,event_bgm_2022winter,,,,,,,,
event_miraclesnow1_02_s_2,40003,event_miraclesnow1_02_s,Self,Locale_SubScenario:event_miraclesnow1_02_s_2,False,,1,sad,,13,delight,,1,1,1.0,,,,,,,,,
event_miraclesnow1_02_s_3,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_3,True,,1,sad,,13,delight,,1,13,1.0,,n102,n102,,,,,,
event_miraclesnow1_02_s_4,40003,event_miraclesnow1_02_s,Monologue,Locale_SubScenario:event_miraclesnow1_02_s_4,False,,1,sad,,13,delight,,13,XS_130,1.0,,,,,,,,,
event_miraclesnow1_02_s_5,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_5,True,,1,surprise,,13,delight,,L_10,L_10,1.0,,rupee,rupee,,,,,,
event_miraclesnow1_02_s_6,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_6,True,,1,surprise,,13,delight,,XS_130,XS_130,1.0,,n102,n102,,,,,,
event_miraclesnow1_02_s_7,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_7,True,,1,surprise,,13,delight,,XS_130,XS_130,1.0,,n102,n102,,,,,,
event_miraclesnow1_02_s_8,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_8,True,,1,sad,,13,delight,,XS_130,113,1.0,,rupee,rupee,,,,,,
event_miraclesnow1_02_s_9,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_9,True,,1,idle,,13,delight,,113,113,1.0,,rupee,rupee,,,,,,
event_miraclesnow1_02_s_10,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_10,True,,1,idle,,13,delight,,113,113,1.0,,rupee,rupee,,,,,,
event_miraclesnow1_02_s_11,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_11,True,,1,idle,,13,delight,,113,113,1.0,,n102,n102,,,,,,
event_miraclesnow1_02_s_12,40003,event_miraclesnow1_02_s,Monologue,Locale_SubScenario:event_miraclesnow1_02_s_12,False,,1,idle,,13,delight,,113,XS_130,1.0,,,,,,,,,
event_miraclesnow1_02_s_13,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_13,True,,1,idle,,13,delight,,L_10,L_10,1.0,,rupee,rupee,,,,,,
event_miraclesnow1_02_s_14,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_14,True,,1,idle,,13,delight,,XS_130,XS_130,1.0,none,n102,n102,,,,,,
event_miraclesnow1_02_s_15,40003,event_miraclesnow1_02_s,Speech,Locale_SubScenario:event_miraclesnow1_02_s_15,False,,1,surprise,,13,delight,,L_10,L_10,1.0,,rupee,rupee,,,,,,
