id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id
snowfall_speech_npc_day6_04_1,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_1,True,lumi_01,3,idle,belorta,1,idle,HotSpringInnIn_s,2,2,1.0,amb_so_inn_in_2,event_bgm_neverland_hugme_sunset,,,
snowfall_speech_npc_day6_04_2,80903,snowfall_speech_npc_day6_04,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_speech_npc_day6_04_2,True,,3,idle,,1,idle,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_3,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_3,True,,3,idle,,1,shy,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_4,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_4,True,,3,idle,,1,delight,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_5,80903,snowfall_speech_npc_day6_04,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_speech_npc_day6_04_5,True,,3,idle,,1,delight,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_6,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_6,True,,3,idle,,1,idle,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_7,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_7,True,,3,idle,,1,idle,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_8,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_8,True,,3,idle,,1,idle,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_9,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_9,True,,3,idle,,1,idle,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_10,80903,snowfall_speech_npc_day6_04,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_speech_npc_day6_04_10,True,,3,idle,,1,idle,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_11,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_11,True,,3,idle,,1,angry,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_12,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_12,True,,3,idle,,1,idle,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_13,80903,snowfall_speech_npc_day6_04,Narration,,,Locale_SubScenario:snowfall_speech_npc_day6_04_13,False,,3,idle,,1,idle,,2,2,1.0,,,sfx_scn_rustyfloor,,
snowfall_speech_npc_day6_04_14,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_14,True,,3,idle,,1,idle,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_15,80903,snowfall_speech_npc_day6_04,Narration,,,Locale_SubScenario:snowfall_speech_npc_day6_04_15,False,,3,idle,,1,angry,,2,2,1.0,,,sfx_scn_rustyfloor,,
snowfall_speech_npc_day6_04_16,80903,snowfall_speech_npc_day6_04,Speech,belorta,belorta,Locale_SubScenario:snowfall_speech_npc_day6_04_16,True,,3,idle,,1,angry,,2,2,1.0,,,,,
snowfall_speech_npc_day6_04_17,80903,snowfall_speech_npc_day6_04,Narration,,,Locale_SubScenario:snowfall_speech_npc_day6_04_17,False,,3,idle,,1,angry,,2,2,1.0,,,,lumi_01,belorta
snowfall_speech_npc_day6_04_18,80903,snowfall_speech_npc_day6_04,Narration,,,Locale_SubScenario:snowfall_speech_npc_day6_04_18,False,,,,,,,,black,black,1.0,,,,,
