id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_arcanearchive_04_e_1,40077,event_arcanearchive_04_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_04_e_1,False,Corridor,black,black,1.0,bgm_theruinedcity,,,,arcana,1,sad
event_arcanearchive_04_e_2,40077,event_arcanearchive_04_e,Narration,arcana,Locale_SubScenario:event_arcanearchive_04_e_2,False,,1,L_10,1.3,,sfx_scn_sit,,,,1,sad
event_arcanearchive_04_e_3,40077,event_arcanearchive_04_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_04_e_3,False,,L_10,L_10,1.0,,,,,,1,sad
event_arcanearchive_04_e_4,40077,event_arcanearchive_04_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_04_e_4,True,,L_10,L_10,1.0,,,arcana,,,1,sad
event_arcanearchive_04_e_5,40077,event_arcanearchive_04_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_04_e_5,True,,L_10,L_10,1.0,,,arcana,,,1,sad
event_arcanearchive_04_e_6,40077,event_arcanearchive_04_e,Self,arcana,Locale_SubScenario:event_arcanearchive_04_e_6,False,,L_10,L_10,1.0,,,,,,1,sad
event_arcanearchive_04_e_7,40077,event_arcanearchive_04_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_04_e_7,True,,L_10,L_10,1.0,,,arcana,,,1,sad
event_arcanearchive_04_e_8,40077,event_arcanearchive_04_e,Self,arcana,Locale_SubScenario:event_arcanearchive_04_e_8,False,,L_10,L_10,1.0,,,,,,1,sad
event_arcanearchive_04_e_9,40077,event_arcanearchive_04_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_04_e_9,True,,L_10,L_10,1.0,,,arcana,,,1,think
event_arcanearchive_04_e_10,40077,event_arcanearchive_04_e,Self,arcana,Locale_SubScenario:event_arcanearchive_04_e_10,False,,L_10,L_10,1.0,,,,,,1,think
