id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,highlight,speaker,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,characters/0/hide_char_id,characters/3/hide_char_id
event_lionheart_01_e_1,40037,event_lionheart_01_e,Monologue,Locale_SubScenario:event_lionheart_01_e_1,False,CommanderRoom,10,1,1.0,bgm_story_languor,,,,,,,,,,,,,,,,,,
event_lionheart_01_e_2,40037,event_lionheart_01_e,Monologue,Locale_SubScenario:event_lionheart_01_e_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
event_lionheart_01_e_3,40037,event_lionheart_01_e,Monologue,Locale_SubScenario:event_lionheart_01_e_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
event_lionheart_01_e_4,40037,event_lionheart_01_e,Self,Locale_SubScenario:event_lionheart_01_e_4,False,SchoolCorridor,5,12,2.0,,leona,1,idle,biscuit,13,sad,nero,15,idle,black,,,,,,,,
event_lionheart_01_e_5,40037,event_lionheart_01_e,Speech,Locale_SubScenario:event_lionheart_01_e_5,True,,12,12,1.0,,,1,idle,,13,sad,,15,idle,,leona,leona,,,,,,
event_lionheart_01_e_6,40037,event_lionheart_01_e,Speech,Locale_SubScenario:event_lionheart_01_e_6,True,,12,12,1.0,,,1,idle,,13,sad,,15,idle,,leona,leona,,,,,,
event_lionheart_01_e_7,40037,event_lionheart_01_e,Speech,Locale_SubScenario:event_lionheart_01_e_7,True,,12,12,1.0,,,1,idle,,13,sad,,15,idle,,biscuit,biscuit,,,,,,
event_lionheart_01_e_8,40037,event_lionheart_01_e,Speech,Locale_SubScenario:event_lionheart_01_e_8,True,,12,12,1.0,,,1,idle,,13,sad,,15,idle,,biscuit,biscuit,,,,,,
event_lionheart_01_e_9,40037,event_lionheart_01_e,Self,Locale_SubScenario:event_lionheart_01_e_9,False,,12,12,1.0,,,1,idle,,13,sad,,15,idle,,biscuit,,,,,,,
event_lionheart_01_e_10,40037,event_lionheart_01_e,Speech,Locale_SubScenario:event_lionheart_01_e_10,True,,12,12,1.0,,,1,idle,,13,idle,,15,idle,,leona,leona,,,,,,
event_lionheart_01_e_11,40037,event_lionheart_01_e,Speech,Locale_SubScenario:event_lionheart_01_e_11,True,,12,12,1.0,,,1,idle,,13,idle,,15,idle,,leona,leona,,,,,,
event_lionheart_01_e_12,40037,event_lionheart_01_e,Speech,Locale_SubScenario:event_lionheart_01_e_12,True,,12,12,1.0,,,1,idle,,13,idle,,15,idle,,leona,leona,,,,,,
