id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_redash1_01_e_1,40031,event_redash1_01_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_01_e_1,True,redhood,13,surprise,BriefingRoom,13,130,1.0,event_bgm_redash_ashsmoke,,,,,,,,,,,,,,,,,,,,
event_redash1_01_e_2,40031,event_redash1_01_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_01_e_2,True,,13,surprise,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_01_e_3,40031,event_redash1_01_e,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_01_e_3,True,,13,surprise,SpaceElevator,130,150,1.0,,redhood,Grey,,,,,,,,,,,,,,,,,,
event_redash1_01_e_4,40031,event_redash1_01_e,Speech,commander,commander,Locale_MainScenario:event_redash1_01_e_4,True,,,,,150,150,1.0,,,Grey,,,,,,,,,,,,,,,,,,
event_redash1_01_e_5,40031,event_redash1_01_e,Speech,commander,commander,Locale_MainScenario:event_redash1_01_e_5,True,,,,,150,150,1.0,,,Grey,,,,,,,,,,,,,,,,,,
event_redash1_01_e_6,40031,event_redash1_01_e,Speech,commander,commander,Locale_MainScenario:event_redash1_01_e_6,True,,,,,150,1500,1.0,,,Grey,,,,,,,,,,,,,,,,,,
event_redash1_01_e_7,40031,event_redash1_01_e,Speech,commander,commander,Locale_MainScenario:event_redash1_01_e_7,True,,,,,1500,1500,1.0,,,Grey,,,,,,,,,,,,,,,,,,
event_redash1_01_e_8,40031,event_redash1_01_e,Speech,commander,commander,Locale_MainScenario:event_redash1_01_e_8,True,,,,,1500,1500,1.0,,,Grey,,,,,,,,,,,,,,,,,,
event_redash1_01_e_9,40031,event_redash1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash1_01_e_9,True,redhood,13,idle,BriefingRoom,500,500,1.0,,,,snowwhite_o,1,idle,commander,15,no,liliweiss,17,idle,rapunzel_o,3,idle,hongryeon_o,7,think,dorothy,5,think
event_redash1_01_e_10,40031,event_redash1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash1_01_e_10,True,,13,idle,,500,500,1.0,,,,,1,idle,,15,no,,17,idle,,3,idle,,7,think,,5,think
