id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight
d_ex_seayouagain_05_1,80600,d_ex_seayouagain_05,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_05_1,False,rapi_s,5,idle,anis_s,3,idle,neon_s,1,idle,Beach_d,17,17,1.0,sfx_scn_bigwavebreak,none,Low_2,
d_ex_seayouagain_05_2,80600,d_ex_seayouagain_05,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_05_2,False,,5,idle,,3,idle,,1,idle,,17,17,1.0,sfx_scn_wavebreak,,,
d_ex_seayouagain_05_3,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_3,True,,5,idle,,3,worry,,1,idle,,3,XS_30,0.5,,bgm_story_profusion,,anis_s
d_ex_seayouagain_05_4,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_4,True,,5,idle,,3,worry,,1,idle,,XS_30,XS_30,1.0,,,Low_2,anis_s
d_ex_seayouagain_05_5,80600,d_ex_seayouagain_05,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_05_5,True,,5,idle,,3,worry,,1,idle,,XS_30,4,1.0,,,,rapi_s
d_ex_seayouagain_05_6,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_6,True,,5,idle,,3,worry,,1,idle,,4,4,1.0,,,,anis_s
d_ex_seayouagain_05_7,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_7,True,,5,idle,,3,worry,,1,idle,,4,4,1.0,,,,anis_s
d_ex_seayouagain_05_8,80600,d_ex_seayouagain_05,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_05_8,True,,5,idle,,3,worry,,1,idle,,4,4,1.0,,,,anis_s
d_ex_seayouagain_05_9,80600,d_ex_seayouagain_05,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_05_9,False,,5,idle,,3,idle,,1,idle,,4,4,1.0,,,,
d_ex_seayouagain_05_10,80600,d_ex_seayouagain_05,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_05_10,False,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,
