id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_contents_bbqmaster_08_1,80603,d_contents_bbqmaster_08,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_08_1,True,anis_s,3,idle,neon_s,1,idle,LogHouseOut_n,2,2,1.0,bgm_story_summermood,
d_contents_bbqmaster_08_2,80603,d_contents_bbqmaster_08,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_08_2,True,,3,idle,,1,idle,,2,2,1.0,,
d_contents_bbqmaster_08_3,80603,d_contents_bbqmaster_08,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_bbqmaster_08_3,True,,3,idle,,1,idle,,2,2,1.0,,
d_contents_bbqmaster_08_4,80603,d_contents_bbqmaster_08,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_08_4,True,,3,idle,,1,idle,,2,2,1.0,,
d_contents_bbqmaster_08_5,80603,d_contents_bbqmaster_08,Self,,,Locale_SubScenario:d_contents_bbqmaster_08_5,False,,3,idle,,1,idle,,2,2,1.0,,
d_contents_bbqmaster_08_6,80603,d_contents_bbqmaster_08,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_08_6,True,,3,angry,,1,idle,,2,XS_30,1.0,,
d_contents_bbqmaster_08_7,80603,d_contents_bbqmaster_08,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_08_7,True,,3,idle,,1,idle,,XS_30,XS_30,1.0,,
d_contents_bbqmaster_08_8,80603,d_contents_bbqmaster_08,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_08_8,True,,3,idle,,1,idle,,XS_30,XS_30,1.0,,
d_contents_bbqmaster_08_9,80603,d_contents_bbqmaster_08,Monologue,,,Locale_SubScenario:d_contents_bbqmaster_08_9,False,,3,idle,,1,idle,,XS_30,3,1.0,,
d_contents_bbqmaster_08_10,80603,d_contents_bbqmaster_08,Self,,,Locale_SubScenario:d_contents_bbqmaster_08_10,False,,3,idle,,1,idle,,3,3,1.0,,
d_contents_bbqmaster_08_11,80603,d_contents_bbqmaster_08,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_08_11,True,,3,delight,,1,idle,,3,3,1.0,,
d_contents_bbqmaster_08_12,80603,d_contents_bbqmaster_08,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_08_12,True,,3,idle,,1,idle,,3,2,1.0,,
d_contents_bbqmaster_08_13,80603,d_contents_bbqmaster_08,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_bbqmaster_08_13,True,,3,idle,,1,delight,,2,2,1.0,,
d_contents_bbqmaster_08_14,80603,d_contents_bbqmaster_08,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_bbqmaster_08_14,True,,3,idle,,1,delight,,2,2,1.0,,
d_contents_bbqmaster_08_15,80603,d_contents_bbqmaster_08,Narration,,,Locale_SubScenario:d_contents_bbqmaster_08_15,False,,3,idle,,1,delight,,black,black,1.0,,sfx_scn_foodonfire
d_contents_bbqmaster_08_16,80603,d_contents_bbqmaster_08,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_08_16,True,,3,shy,,1,surprise,,XS_30,XS_30,1.0,,
d_contents_bbqmaster_08_17,80603,d_contents_bbqmaster_08,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_08_17,True,,3,shy,,1,surprise,,XS_30,XS_30,1.0,,
d_contents_bbqmaster_08_18,80603,d_contents_bbqmaster_08,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_bbqmaster_08_18,True,,3,shy,,1,surprise,,XS_30,XS_10,1.0,,
