id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_exnii2_02_e_1,40071,event_exnii2_02_e,Self,ce005_02,Locale_SubScenario:event_exnii2_02_e_1,False,ce005_02,1,idle,ArkRuinIndoor,1,1,1.0,bgm_inark,,,,,,,,,,,,
event_exnii2_02_e_2,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_2,True,,1,idle,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_3,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_3,True,,1,idle,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_4,40071,event_exnii2_02_e,Self,ce005_02,Locale_SubScenario:event_exnii2_02_e_4,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
event_exnii2_02_e_5,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_5,True,,1,think,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_6,40071,event_exnii2_02_e,Self,ce005_02,Locale_SubScenario:event_exnii2_02_e_6,False,,1,think,,1,1,1.0,,,,,,,,,,,,,
event_exnii2_02_e_7,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_7,True,,1,think,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_8,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_8,True,,1,think,,1,10,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_9,40071,event_exnii2_02_e,Monologue,ce005_02,Locale_SubScenario:event_exnii2_02_e_9,False,,1,no,,10,10,1.0,,,,,,,,,,,,,
event_exnii2_02_e_10,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_10,True,,1,no,,10,10,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_11,40071,event_exnii2_02_e,Self,ce005_02,Locale_SubScenario:event_exnii2_02_e_11,True,,1,no,,10,10,1.0,,,,,,,,,,,,,
event_exnii2_02_e_12,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_12,True,,1,no,,10,10,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_13,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_13,True,,1,no,,10,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_14,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_14,True,,1,no,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_15,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_15,True,,1,no,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_16,40071,event_exnii2_02_e,Self,ce005_02,Locale_SubScenario:event_exnii2_02_e_16,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
event_exnii2_02_e_17,40071,event_exnii2_02_e,Self,ce005_02,Locale_SubScenario:event_exnii2_02_e_17,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
event_exnii2_02_e_18,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_18,True,,1,no,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_19,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_19,True,,1,no,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_20,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_20,True,,1,shy,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_21,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_21,True,,1,shy,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_22,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_22,True,,1,no,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_23,40071,event_exnii2_02_e,Self,ce005_02,Locale_SubScenario:event_exnii2_02_e_23,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
event_exnii2_02_e_24,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_24,True,,1,no,,1,1,1.0,,ce004_01,,,,,,,,,,,
event_exnii2_02_e_25,40071,event_exnii2_02_e,Monologue,,Locale_SubScenario:event_exnii2_02_e_25,False,,1,no,,black,black,1.0,,,ce005_02,,,,,,,,,,
event_exnii2_02_e_26,40071,event_exnii2_02_e,Speech,ce005_02,Locale_SubScenario:event_exnii2_02_e_26,True,ce005_02,1,no,,1,10,1.0,,ce004_01,,black,,,,,,,,,
