id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_forrest_05_s_1,40072,event_forrest_05_s,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_1,True,SecretGarden,10,10,1.0,bgm_story_orangepop,Vignetting,,flora,1,delight,,,,,,,,,
event_forrest_05_s_2,40072,event_forrest_05_s,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_2,True,,10,10,1.0,,Vignetting,,,1,delight,,,,,,,,,
event_forrest_05_s_3,40072,event_forrest_05_s,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_3,True,,10,10,1.0,,Vignetting,,,1,delight,,,,,,,,,
event_forrest_05_s_4,40072,event_forrest_05_s,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_4,True,,10,10,1.0,,Vignetting,,,1,delight,,,,,,,,,
event_forrest_05_s_5,40072,event_forrest_05_s,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_5,True,,10,10,1.0,,Vignetting,,,1,delight,,,,,,,,,
event_forrest_05_s_6,40072,event_forrest_05_s,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_6,True,,10,10,1.0,,Vignetting,,,1,delight,,,,,,,,,
event_forrest_05_s_7,40072,event_forrest_05_s,Monologue,flora,,Locale_SubScenario:event_forrest_05_s_7,False,Park,black,black,1.0,,,,liter_c,1,idle,flora,,,,,trina,13,idle,
event_forrest_05_s_8,40072,event_forrest_05_s,Monologue,flora,,Locale_SubScenario:event_forrest_05_s_8,False,,6,6,1.0,,,,,1,idle,,,,,,,13,idle,
event_forrest_05_s_9,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_9,True,,6,3,1.0,,,,,1,idle,,yan,3,etc,,,13,idle,
event_forrest_05_s_10,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_10,True,,3,3,1.0,,,,,1,idle,,,3,etc,,,13,idle,
event_forrest_05_s_11,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_11,True,,3,3,1.0,,,,,1,idle,,,3,etc,,,13,idle,
event_forrest_05_s_12,40072,event_forrest_05_s,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_12,True,,3,3,1.0,,,,,1,idle,,,3,etc,,,13,idle,
