id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_arcanearchive_04_s_1,40077,event_arcanearchive_04_s,Self,arcana,Locale_SubScenario:event_arcanearchive_04_s_1,False,Corridor,12,12,1.0,bgm_story_stormbreakers,,,arcana,3,delight,d_w,1,special,,k,13,idle
event_arcanearchive_04_s_2,40077,event_arcanearchive_04_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_04_s_2,True,,12,2,1.3,,arcana,,,3,delight,,1,special,,,13,idle
event_arcanearchive_04_s_3,40077,event_arcanearchive_04_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_04_s_3,True,,2,2,1.0,,arcana,,,3,delight,,1,special,,,13,idle
event_arcanearchive_04_s_4,40077,event_arcanearchive_04_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_04_s_4,True,,2,2,1.0,,arcana,,,3,delight,,1,special,,,13,idle
event_arcanearchive_04_s_5,40077,event_arcanearchive_04_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_04_s_5,False,,2,2,1.0,,,,,3,delight,,1,special,,,13,idle
event_arcanearchive_04_s_6,40077,event_arcanearchive_04_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_04_s_6,True,,2,L_30,1.3,,arcana,,,3,delight,,1,special,,,13,idle
event_arcanearchive_04_s_7,40077,event_arcanearchive_04_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_04_s_7,False,,L_30,L_30,1.0,,,,,3,delight,,1,special,,,13,idle
event_arcanearchive_04_s_8,40077,event_arcanearchive_04_s,Self,arcana,Locale_SubScenario:event_arcanearchive_04_s_8,False,,L_30,L_30,1.0,,,,,3,delight,,1,special,,,13,idle
event_arcanearchive_04_s_9,40077,event_arcanearchive_04_s,Self,arcana,Locale_SubScenario:event_arcanearchive_04_s_9,False,,L_30,L_30,1.0,,,,,3,delight,,1,special,,,13,idle
event_arcanearchive_04_s_10,40077,event_arcanearchive_04_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_04_s_10,True,,L_30,L_300,1.0,,arcana,,,3,angry,,1,special,,,13,idle
