id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,set_camera_shake
event_icedragonsaga1_01_e_1,40064,event_icedragonsaga1_01_e,Speech,privaty_m,privaty_m,Locale_MainScenario:event_icedragonsaga1_01_e_1,True,privaty_m,13,angry,poli,1,angry,miranda,3,idle,quiry,5,idle,SnowTown_n,130,130,1.0,event_bgm_icedragonsaga_anotherhero,,,,,,,,,,
event_icedragonsaga1_01_e_2,40064,event_icedragonsaga1_01_e,Speech,privaty_m,privaty_m,Locale_MainScenario:event_icedragonsaga1_01_e_2,True,,13,angry,,1,angry,,3,idle,,5,idle,,130,130,1.0,,,,,,,,,,,
event_icedragonsaga1_01_e_3,40064,event_icedragonsaga1_01_e,Speech,poli,poli,Locale_MainScenario:event_icedragonsaga1_01_e_3,True,,13,angry,,1,angry,,3,idle,,5,idle,,130,12,1.0,,,,,,,,,,,
event_icedragonsaga1_01_e_4,40064,event_icedragonsaga1_01_e,Speech,privaty_m,privaty_m,Locale_MainScenario:event_icedragonsaga1_01_e_4,True,,13,sad2,,1,angry,,3,idle,,5,idle,,12,12,1.0,,,,,,,,,,,
event_icedragonsaga1_01_e_5,40064,event_icedragonsaga1_01_e,Speech,poli,poli,Locale_MainScenario:event_icedragonsaga1_01_e_5,True,,13,sad2,,1,angry,,3,idle,,5,idle,,12,1,1.0,,,,,,,,,,,
event_icedragonsaga1_01_e_6,40064,event_icedragonsaga1_01_e,Speech,poli,poli,Locale_MainScenario:event_icedragonsaga1_01_e_6,True,,13,sad2,,1,angry,,3,idle,,5,idle,,1,1,1.0,,,,,,,,,,,
event_icedragonsaga1_01_e_7,40064,event_icedragonsaga1_01_e,Speech,quiry,quiry,Locale_MainScenario:event_icedragonsaga1_01_e_7,True,,13,sad2,,1,angry,,3,idle,,5,idle,,4,4,1.0,,,,,,,,,,,
event_icedragonsaga1_01_e_8,40064,event_icedragonsaga1_01_e,Narration,quiry,,Locale_MainScenario:event_icedragonsaga1_01_e_8,False,,13,sad2,,1,angry,,3,idle,,5,idle,,4,4,1.0,,sfx_scn_handcuffs,,,,,,,,,
event_icedragonsaga1_01_e_9,40064,event_icedragonsaga1_01_e,Speech,miranda,miranda,Locale_MainScenario:event_icedragonsaga1_01_e_9,True,,13,sad2,,1,angry,,3,think,,5,idle,,4,4,1.0,,,,,,,,,,,
event_icedragonsaga1_01_e_10,40064,event_icedragonsaga1_01_e,Speech,miranda,miranda,Locale_MainScenario:event_icedragonsaga1_01_e_10,True,,13,sad2,,1,angry,,3,think,,5,idle,,4,2,1.0,,,,,,,,,,,
event_icedragonsaga1_01_e_11,40064,event_icedragonsaga1_01_e,Speech,poli,poli,Locale_MainScenario:event_icedragonsaga1_01_e_11,True,,13,sad2,,1,idle,,3,think,,5,idle,,2,2,1.0,,,,,,,,,,,
