id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,jump_target,set_filter_01,set_filter_02,conversation_id
event_cherryblossom_04_e_1,40011,event_cherryblossom_04_e,Monologue,Locale_SubScenario:event_cherryblossom_04_e_1,False,none,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,,,
event_cherryblossom_04_e_2,40011,event_cherryblossom_04_e,Monologue,Locale_SubScenario:event_cherryblossom_04_e_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_cherryblossom_04_e_3,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_3,True,Backstreet,12,12,1.0,,sakura,sakura,sakura,1,idle,fatman,13,idle,,,,,,,,,
event_cherryblossom_04_e_4,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_4,True,,12,12,1.0,,sakura,sakura,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_5,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_5,True,,12,L_130,1.0,,fatman,fatman,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_6,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_6,True,,L_130,L_130,1.0,,fatman,fatman,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_7,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_7,True,,L_130,L_130,1.0,,fatman,fatman,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_8,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_8,True,,1,10,1.0,,sakura,sakura,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_9,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_9,True,,10,10,1.0,,sakura,sakura,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_10,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_10,True,,12,12,1.0,,fatman,fatman,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_11,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_11,True,,12,12,1.0,,fatman,fatman,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_12,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_12,True,,12,12,1.0,,fatman,fatman,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_13,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_13,True,,12,12,1.0,,fatman,fatman,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_14,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_14,True,,12,10,1.0,,sakura,sakura,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_15,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_15,True,,10,10,1.0,,sakura,sakura,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_16,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_16,True,,10,10,1.0,,sakura,sakura,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_17,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_17,True,,10,10,1.0,,sakura,sakura,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_18,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_18,True,,L_130,L_130,1.0,,fatman,fatman,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_19,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_19,True,,L_130,L_130,1.0,,fatman,fatman,,1,idle,,13,idle,,,,,,,,,
event_cherryblossom_04_e_20,40011,event_cherryblossom_04_e,Speech,Locale_SubScenario:event_cherryblossom_04_e_20,True,,L_130,L_130,1.0,,fatman,fatman,,1,idle,,13,idle,,,,,,,,,
