id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,highlight,speaker,play_sound,fade,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_newyearnewsword_01_e_1,40036,event_newyearnewsword_01_e,Monologue,Locale_SubScenario:event_newyearnewsword_01_e_1,False,hongryeon,1,idle,Elevator,15,1,2.0,bgm_story_inwonderland,,,,,,,,,,
event_newyearnewsword_01_e_2,40036,event_newyearnewsword_01_e,Monologue,Locale_SubScenario:event_newyearnewsword_01_e_2,False,,1,idle,,1,10,1.0,,,,,,,,,,,
event_newyearnewsword_01_e_3,40036,event_newyearnewsword_01_e,Narration,Locale_SubScenario:event_newyearnewsword_01_e_3,False,,1,idle,,10,10,1.0,,Low_2,,,,,,,,,
event_newyearnewsword_01_e_4,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_4,True,,1,idle,,10,10,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_5,40036,event_newyearnewsword_01_e,Self,Locale_SubScenario:event_newyearnewsword_01_e_5,False,,1,idle,,10,10,1.0,,,hongryeon,,,,,,,,
event_newyearnewsword_01_e_6,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_6,True,,1,idle,,10,10,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_7,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_7,True,,1,idle,,10,10,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_8,40036,event_newyearnewsword_01_e,Monologue,Locale_SubScenario:event_newyearnewsword_01_e_8,False,,1,idle,,10,100,1.0,,,hongryeon,,,,,,,,
event_newyearnewsword_01_e_9,40036,event_newyearnewsword_01_e,Self,Locale_SubScenario:event_newyearnewsword_01_e_9,False,,1,idle,,100,100,1.0,,,hongryeon,,,,,,,,
event_newyearnewsword_01_e_10,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_10,True,,1,surprise,,100,100,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_11,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_11,True,,1,surprise,,100,100,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_12,40036,event_newyearnewsword_01_e,Self,Locale_SubScenario:event_newyearnewsword_01_e_12,False,,1,surprise,,100,100,1.0,,,hongryeon,,,,,,,,
event_newyearnewsword_01_e_13,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_13,True,,1,idle,,100,100,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_14,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_14,True,,1,idle,,100,100,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_15,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_15,True,,1,idle,,100,100,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_16,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_16,True,,1,idle,,100,100,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_17,40036,event_newyearnewsword_01_e,Self,Locale_SubScenario:event_newyearnewsword_01_e_17,False,,1,idle,,100,100,1.0,,,hongryeon,,,,,,,,
event_newyearnewsword_01_e_18,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_18,True,,1,idle,,100,10,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_19,40036,event_newyearnewsword_01_e,Self,Locale_SubScenario:event_newyearnewsword_01_e_19,False,,1,idle,,10,10,1.0,,,hongryeon,,,,,,,,
event_newyearnewsword_01_e_20,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_20,True,,1,idle,,10,10,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_21,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_21,True,,1,idle,,10,10,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_22,40036,event_newyearnewsword_01_e,Speech,Locale_SubScenario:event_newyearnewsword_01_e_22,True,,1,idle,,10,10,1.0,,,hongryeon,hongryeon,,,,,,,
event_newyearnewsword_01_e_23,40036,event_newyearnewsword_01_e,Self,Locale_SubScenario:event_newyearnewsword_01_e_23,False,,1,idle,,10,10,1.0,,,hongryeon,,,,,,,,
