id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_doutsiders_04_s_1,40006,event_doutsiders_04_s,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_04_s_1,True,OuterRim,16,S_160,1.0,bgm_distress,,,,,,,,viper,14,idle,,jackal,16,shy_02,,,,,,,
event_doutsiders_04_s_2,40006,event_doutsiders_04_s,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_04_s_2,True,,S_160,S_160,1.0,,,,,,,,,,14,idle,,,16,shy_02,,,,,,,
event_doutsiders_04_s_3,40006,event_doutsiders_04_s,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_04_s_3,True,,S_160,S_1600,0.7,,,,,,,,,,14,idle,,,16,crazy,,,,,,,
event_doutsiders_04_s_4,40006,event_doutsiders_04_s,Narration,,Narration,Locale_SubScenario:event_doutsiders_04_s_4,False,,S_1600,1,1.0,,sfx_scn_dooropenfast,Low_2,,,,,,,14,idle,,,16,crazy,,,,,,,
event_doutsiders_04_s_5,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_5,True,,1,1,1.0,,,,,,joseph,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_6,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_6,True,,1,1,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_7,40006,event_doutsiders_04_s,Speech,viper,viper,Locale_SubScenario:event_doutsiders_04_s_7,True,,140,140,1.0,,,,,,,1,idle,,14,good,,,16,idle,,,,,,,
event_doutsiders_04_s_8,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_8,True,,10,10,1.0,,,,,,,1,idle,,14,good,,,16,idle,,,,,,,
event_doutsiders_04_s_9,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_9,True,,10,10,1.0,,,,,,,1,idle,,14,good,,,16,idle,,,,,,,
event_doutsiders_04_s_10,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_10,True,,10,10,1.0,,,,,,,1,idle,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_11,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_11,True,RuinIndoor,1,1,1.0,bgm_story_fairytalesend_if,,,black,,,1,serious,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_12,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_12,True,,1,1,1.0,,,,,,,1,serious,,14,idle,,,16,idle,,,,,,,
event_doutsiders_04_s_13,40006,event_doutsiders_04_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_13,True,,1,10,2.0,,,,,,,1,serious,,14,idle,,,16,idle,,,,,,,
