id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_wisdomspring_03_e_1,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_1,True,TechIndoor,10,10,1.0,bgm_collapse,,,mana,1,idle
event_wisdomspring_03_e_2,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_2,True,,10,10,1.0,,,,,1,idle
event_wisdomspring_03_e_3,40068,event_wisdomspring_03_e,Self,mana,,Locale_SubScenario:event_wisdomspring_03_e_3,False,,10,10,1.0,,,,,1,idle
event_wisdomspring_03_e_4,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_4,True,,10,10,1.0,,,,,1,idle
event_wisdomspring_03_e_5,40068,event_wisdomspring_03_e,Self,mana,,Locale_SubScenario:event_wisdomspring_03_e_5,False,,10,10,1.0,,,,,1,idle
event_wisdomspring_03_e_6,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_6,True,,10,10,1.0,,,,,1,idle
event_wisdomspring_03_e_7,40068,event_wisdomspring_03_e,Monologue,mana,,Locale_SubScenario:event_wisdomspring_03_e_7,False,,10,100,1.5,,,,,1,idle
event_wisdomspring_03_e_8,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_8,True,,100,100,1.0,,,,,1,idle
event_wisdomspring_03_e_9,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_9,True,,100,100,1.0,,,,,1,idle
event_wisdomspring_03_e_10,40068,event_wisdomspring_03_e,Self,mana,,Locale_SubScenario:event_wisdomspring_03_e_10,False,,100,100,1.0,,,,,1,idle
event_wisdomspring_03_e_11,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_11,True,,100,100,1.0,,,,,1,idle
event_wisdomspring_03_e_12,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_12,True,,100,100,1.0,,,,,1,idle
event_wisdomspring_03_e_13,40068,event_wisdomspring_03_e,Self,mana,,Locale_SubScenario:event_wisdomspring_03_e_13,False,,100,100,1.0,,,,,1,idle
event_wisdomspring_03_e_14,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_14,True,,100,100,1.0,,,,,1,idle
event_wisdomspring_03_e_15,40068,event_wisdomspring_03_e,Self,mana,,Locale_SubScenario:event_wisdomspring_03_e_15,False,,100,100,1.0,,,,,1,idle
event_wisdomspring_03_e_16,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_16,True,,100,10,1.5,,,,,1,idle
event_wisdomspring_03_e_17,40068,event_wisdomspring_03_e,Self,mana,,Locale_SubScenario:event_wisdomspring_03_e_17,False,,10,10,1.0,,,,,1,idle
event_wisdomspring_03_e_18,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_18,False,,10,10,1.0,,,,,1,idle
event_wisdomspring_03_e_19,40068,event_wisdomspring_03_e,Self,mana,,Locale_SubScenario:event_wisdomspring_03_e_19,False,,10,10,1.0,,,,,1,idle
event_wisdomspring_03_e_20,40068,event_wisdomspring_03_e,Self,mana,,Locale_SubScenario:event_wisdomspring_03_e_20,False,,10,10,1.0,,,,,1,idle
event_wisdomspring_03_e_21,40068,event_wisdomspring_03_e,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_03_e_21,True,,10,10,1.0,,,,,1,idle
