id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade
event_exnii1_02_e_1,40070,event_exnii1_02_e,Speech,anchor,anchor,Locale_SubScenario:event_exnii1_02_e_1,True,helm,1,idle,mast,3,idle,anchor,13,delight,EzsUp,12,12,1.0,event_bgm_ce005_laststand,,,,,,,,,,,,,,,,,
event_exnii1_02_e_2,40070,event_exnii1_02_e,Speech,helm,helm,Locale_SubScenario:event_exnii1_02_e_2,True,,1,idle,,3,idle,,13,idle,,12,1,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_3,40070,event_exnii1_02_e,Speech,helm,helm,Locale_SubScenario:event_exnii1_02_e_3,True,,1,idle,,3,idle,,13,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_4,40070,event_exnii1_02_e,Speech,helm,helm,Locale_SubScenario:event_exnii1_02_e_4,True,,1,idle,,3,idle,,13,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_5,40070,event_exnii1_02_e,Speech,helm,helm,Locale_SubScenario:event_exnii1_02_e_5,True,,1,idle,,3,idle,,13,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_6,40070,event_exnii1_02_e,Self,helm,,Locale_SubScenario:event_exnii1_02_e_6,False,,1,idle,,3,idle,,13,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_7,40070,event_exnii1_02_e,Speech,helm,helm,Locale_SubScenario:event_exnii1_02_e_7,True,,1,delight,,3,idle,,13,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_8,40070,event_exnii1_02_e,Self,helm,,Locale_SubScenario:event_exnii1_02_e_8,False,,1,delight,,3,idle,,13,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_9,40070,event_exnii1_02_e,Speech,helm,helm,Locale_SubScenario:event_exnii1_02_e_9,True,,1,delight,,3,idle,,13,idle,,1,1,1.0,,pepper,6,delight,,,,,,,,,,,,,,
event_exnii1_02_e_10,40070,event_exnii1_02_e,Speech,pepper,pepper,Locale_SubScenario:event_exnii1_02_e_10,True,,1,idle,,3,idle,,13,idle,,5,5,1.0,,,5,delight,,,,,,,,,,,,,,
event_exnii1_02_e_11,40070,event_exnii1_02_e,Speech,pepper,pepper,Locale_SubScenario:event_exnii1_02_e_11,True,,1,idle,,3,idle,,13,idle,,5,event_exnii_talk_01,1.0,,,5,good,,,,,,,,,,,,,,
event_exnii1_02_e_12,40070,event_exnii1_02_e,Self,pepper,,Locale_SubScenario:event_exnii1_02_e_12,False,,1,idle,,3,idle,,13,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,5,idle,,,,,,,,,,,,,,
event_exnii1_02_e_13,40070,event_exnii1_02_e,Speech,pepper,pepper,Locale_SubScenario:event_exnii1_02_e_13,True,,1,shy,,3,idle,,13,idle,,event_exnii_talk_01,50,1.2,,,5,idle,,,,,,,,,,,,,,
event_exnii1_02_e_14,40070,event_exnii1_02_e,Speech,helm,helm,Locale_SubScenario:event_exnii1_02_e_14,False,,1,shy,,3,idle,,13,idle,,1,1,1.0,,,5,idle,pepper,,,,,,,,,,,,,
event_exnii1_02_e_15,40070,event_exnii1_02_e,Self,helm,,Locale_SubScenario:event_exnii1_02_e_15,False,,1,idle,,3,idle,,13,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_02_e_16,40070,event_exnii1_02_e,Speech,mast,mast,Locale_SubScenario:event_exnii1_02_e_16,True,,1,idle,,3,sad2,,13,idle,,1,3,1.0,,,,,,,,,,,,,,,,,,
