id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,fade,set_camera_shake,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim
event_exnii1_01_s_1,40070,event_exnii1_01_s,Speech,andersen_op_c,andersen_op_c,Locale_SubScenario:event_exnii1_01_s_1,True,andersen_op_c,OP_center,idle,Police,1,1,1.0,event_bgm_ce004_compte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_01_s_2,40070,event_exnii1_01_s,Self,andersen_op_c,,Locale_SubScenario:event_exnii1_01_s_2,False,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_01_s_3,40070,event_exnii1_01_s,Self,andersen_op_c,,Locale_SubScenario:event_exnii1_01_s_3,False,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_01_s_4,40070,event_exnii1_01_s,Speech,andersen_op_c,andersen_op_c,Locale_SubScenario:event_exnii1_01_s_4,True,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_01_s_5,40070,event_exnii1_01_s,Speech,andersen_op_c,andersen_op_c,Locale_SubScenario:event_exnii1_01_s_5,True,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_01_s_6,40070,event_exnii1_01_s,Speech,andersen_op_c,andersen_op_c,Locale_SubScenario:event_exnii1_01_s_6,True,,OP_center,think,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_01_s_7,40070,event_exnii1_01_s,Speech,andersen_op_c,andersen_op_c,Locale_SubScenario:event_exnii1_01_s_7,True,,OP_center,think,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_01_s_8,40070,event_exnii1_01_s,Speech,andersen_op_c,andersen_op_c,Locale_SubScenario:event_exnii1_01_s_8,True,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_01_s_9,40070,event_exnii1_01_s,Speech,andersen_op_c,andersen_op_c,Locale_SubScenario:event_exnii1_01_s_9,True,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_01_s_10,40070,event_exnii1_01_s,Self,andersen_op_c,,Locale_SubScenario:event_exnii1_01_s_10,False,,OP_center,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
