id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_coinsinrush2_02_e_1,40089,event_coinsinrush2_02_e,Monologue,Locale_MainScenario:event_coinsinrush2_02_e_1,False,CoinRushDrinkZone,70,70,1.0,none,,,,,,,,,,,,,,
event_coinsinrush2_02_e_2,40089,event_coinsinrush2_02_e,Monologue,Locale_MainScenario:event_coinsinrush2_02_e_2,False,,70,70,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_02_e_3,40089,event_coinsinrush2_02_e,Self,Locale_MainScenario:event_coinsinrush2_02_e_3,False,,70,70,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_02_e_4,40089,event_coinsinrush2_02_e,Monologue,Locale_MainScenario:event_coinsinrush2_02_e_4,False,,70,70,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_02_e_5,40089,event_coinsinrush2_02_e,Monologue,Locale_MainScenario:event_coinsinrush2_02_e_5,False,,70,10,1.0,,velvet,,,,,,,,,,,,,
event_coinsinrush2_02_e_6,40089,event_coinsinrush2_02_e,Speech,Locale_MainScenario:event_coinsinrush2_02_e_6,True,,10,10,1.0,bgm_story_empathize,velvet,unknown,velvet,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_7,40089,event_coinsinrush2_02_e,Self,Locale_MainScenario:event_coinsinrush2_02_e_7,False,,10,10,1.0,,velvet,,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_8,40089,event_coinsinrush2_02_e,Speech,Locale_MainScenario:event_coinsinrush2_02_e_8,True,,10,10,1.0,,velvet,unknown,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_9,40089,event_coinsinrush2_02_e,Self,Locale_MainScenario:event_coinsinrush2_02_e_9,False,,10,10,1.0,,velvet,,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_10,40089,event_coinsinrush2_02_e,Speech,Locale_MainScenario:event_coinsinrush2_02_e_10,True,,10,10,1.0,,velvet,unknown,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_11,40089,event_coinsinrush2_02_e,Monologue,Locale_MainScenario:event_coinsinrush2_02_e_11,False,,10,10,1.0,,velvet,,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_12,40089,event_coinsinrush2_02_e,Monologue,Locale_MainScenario:event_coinsinrush2_02_e_12,False,,10,10,1.0,,velvet,,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_13,40089,event_coinsinrush2_02_e,Self,Locale_MainScenario:event_coinsinrush2_02_e_13,False,,10,10,1.0,,velvet,,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_14,40089,event_coinsinrush2_02_e,Self,Locale_MainScenario:event_coinsinrush2_02_e_14,False,,10,10,1.0,,velvet,,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_15,40089,event_coinsinrush2_02_e,Speech,Locale_MainScenario:event_coinsinrush2_02_e_15,True,,10,10,1.0,,velvet,unknown,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_16,40089,event_coinsinrush2_02_e,Self,Locale_MainScenario:event_coinsinrush2_02_e_16,False,,10,10,1.0,,velvet,,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_17,40089,event_coinsinrush2_02_e,Speech,Locale_MainScenario:event_coinsinrush2_02_e_17,True,,10,100,1.0,,velvet,unknown,,1,delight_02,,,,,,,,,
event_coinsinrush2_02_e_18,40089,event_coinsinrush2_02_e,Monologue,Locale_MainScenario:event_coinsinrush2_02_e_18,False,,100,10,1.0,,velvet,,,1,delight_02,sfx_scn_clinkglasses,,,,,,,,
event_coinsinrush2_02_e_19,40089,event_coinsinrush2_02_e,Self,Locale_MainScenario:event_coinsinrush2_02_e_19,False,,10,10,1.0,,velvet,,,1,delight_02,,,,,,,,,
event_coinsinrush2_02_e_20,40089,event_coinsinrush2_02_e,Self,Locale_MainScenario:event_coinsinrush2_02_e_20,False,,10,10,1.0,,velvet,,,1,delight_02,,,,,,,,,
event_coinsinrush2_02_e_21,40089,event_coinsinrush2_02_e,Speech,Locale_MainScenario:event_coinsinrush2_02_e_21,True,,10,10,1.0,,velvet,unknown,,1,smile_02,,,,,,,,,
event_coinsinrush2_02_e_22,40089,event_coinsinrush2_02_e,Self,Locale_MainScenario:event_coinsinrush2_02_e_22,False,,10,10,1.0,,velvet,,,1,smile_02,,,,,,,,,
