id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
snowfall_speech_npc_day15_01_1,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_1,True,DiningRoom_s,2,2,1.0,amb_so_restaurant_2,event_bgm_neverland_hugme_sunset,,angelina,3,idle,anne,1,idle,,,
snowfall_speech_npc_day15_01_2,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_2,True,,2,2,1.0,,,,,3,idle,,1,idle,,,
snowfall_speech_npc_day15_01_3,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_3,True,,2,2,1.0,,,,,3,idle,,1,idle,,,
snowfall_speech_npc_day15_01_4,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_4,True,,2,2,1.0,,,,,3,smile,,1,idle,,,
snowfall_speech_npc_day15_01_5,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_5,True,,2,2,1.0,,,,,3,smile,,1,idle,,,
snowfall_speech_npc_day15_01_6,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_6,True,,2,2,1.0,,,,,3,smile,,1,idle,,,
snowfall_speech_npc_day15_01_7,80903,snowfall_speech_npc_day15_01,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_01_7,True,,2,2,1.0,,,,,3,smile,,1,idle,,,
snowfall_speech_npc_day15_01_8,80903,snowfall_speech_npc_day15_01,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_01_8,True,,2,2,1.0,,,,,3,smile,,1,idle,,,
snowfall_speech_npc_day15_01_9,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_9,True,,2,2,1.0,,,,,3,smile,,1,idle,,,
snowfall_speech_npc_day15_01_10,80903,snowfall_speech_npc_day15_01,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_01_10,True,,2,2,1.0,,,,,3,smile,,1,idle,,,
