id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade
re_event_ce02_1_01_s_1,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_1,True,andersen,1,idle,Office,1,L_10,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,
re_event_ce02_1_01_s_2,40082,re_event_ce02_1_01_s,Self,,,Locale_SubScenario:event_ce02_1_01_s_2,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_3,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_3,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_4,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_4,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_5,40082,re_event_ce02_1_01_s,Self,,,Locale_SubScenario:event_ce02_1_01_s_5,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_6,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_6,True,,1,idle,,L_10,L_100,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_7,40082,re_event_ce02_1_01_s,Choice,,,Locale_SubScenario:event_ce02_1_01_s_7,False,,1,idle,,L_100,L_100,1.0,,re_event_ce02_1_01_s_9,,,,,,,,,,,
re_event_ce02_1_01_s_8,40082,re_event_ce02_1_01_s,Choice,,,Locale_SubScenario:event_ce02_1_01_s_8,False,,1,idle,,L_100,L_100,1.0,,re_event_ce02_1_01_s_12,,,,,,,,,,,
re_event_ce02_1_01_s_9,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_9,True,,1,idle,,L_100,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_10,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_10,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_11,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_11,True,,1,idle,,L_10,L_10,1.0,,re_event_ce02_1_01_s_44,,,,,,,,,,,
re_event_ce02_1_01_s_12,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_12,True,,1,idle,,L_100,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_13,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_13,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_14,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_14,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_15,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_15,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_16,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_16,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_17,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_17,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_18,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_18,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
re_event_ce02_1_01_s_19,40082,re_event_ce02_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce02_1_01_s_19,True,,1,idle,,L_10,L_100,1.0,,,,,,,,,,,,,
