id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,play_sound
snowfall_global_13_emma_default_1,80903,snowfall_global_emma_13,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,
snowfall_global_13_emma_default_2,80903,snowfall_global_emma_13,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_emma_13_1,,,,,,,,
snowfall_global_13_emma_default_3,80903,snowfall_global_emma_13,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,
snowfall_global_emma_13_1,80903,snowfall_global_emma_13,Monologue,Locale_SubScenario:snowfall_global_emma_13_1,False,BigHotSpring_n,6,1,1.0,amb_so_hotspring_3,event_bgm_neverland_hugme_night,,,white,,,,,,
snowfall_global_emma_13_2,80903,snowfall_global_emma_13,Monologue,Locale_SubScenario:snowfall_global_emma_13_2,False,,1,1,1.0,,,,,,emma,emma,1,idle,,
snowfall_global_emma_13_3,80903,snowfall_global_emma_13,Monologue,Locale_SubScenario:snowfall_global_emma_13_3,False,,1,1,1.0,,,,,,emma,,1,idle,,
snowfall_global_emma_13_4,80903,snowfall_global_emma_13,Self,Locale_SubScenario:snowfall_global_emma_13_4,False,,1,1,1.0,,,,,,emma,,1,idle,,
snowfall_global_emma_13_5,80903,snowfall_global_emma_13,Speech,Locale_SubScenario:snowfall_global_emma_13_5,True,,1,1,1.0,,,,,,emma,,1,idle,emma,
snowfall_global_emma_13_6,80903,snowfall_global_emma_13,Self,Locale_SubScenario:snowfall_global_emma_13_6,False,,1,1,1.0,,,,,,emma,,1,idle,,
snowfall_global_emma_13_7,80903,snowfall_global_emma_13,Speech,Locale_SubScenario:snowfall_global_emma_13_7,True,,1,10,1.0,,,,,,emma,,1,surprise,emma,
snowfall_global_emma_13_8,80903,snowfall_global_emma_13,Speech,Locale_SubScenario:snowfall_global_emma_13_8,True,,10,10,1.0,,,,,,emma,,1,idle,emma,
