id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,set_camera_shake,characters/0/hide_char_id,characters/3/hide_char_id,characters/2/hide_char_id,jump_target,characters/1/hide_char_id,set_filter_01
event_alonesurvivor_03_e_1,40033,event_alonesurvivor_03_e,Narration,Narration,Locale_SubScenario:event_alonesurvivor_03_e_1,False,tove,1,idle,ludmilla,3,idle,alice,5,idle,neve,7,sad,IceLand_05,17,170,0.3,sfx_scn_radiocallend,none,,,,,,,,
event_alonesurvivor_03_e_2,40033,event_alonesurvivor_03_e,Speech,neve,Locale_SubScenario:event_alonesurvivor_03_e_2,False,,1,idle,,3,idle,,5,idle,,7,sad,,70,70,1.0,,bgm_story_fairytalesend_if,neve,,,,,,,
event_alonesurvivor_03_e_3,40033,event_alonesurvivor_03_e,Speech,neve,Locale_SubScenario:event_alonesurvivor_03_e_3,True,,1,idle,,3,think,,5,idle,,7,sad,,70,70,1.0,,,neve,,,,,,,
event_alonesurvivor_03_e_4,40033,event_alonesurvivor_03_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_03_e_4,True,,1,idle,,3,think,,5,idle,,7,sad,,70,70,1.0,,,ludmilla,,,,,,,
event_alonesurvivor_03_e_5,40033,event_alonesurvivor_03_e,Narration,Narration,Locale_SubScenario:event_alonesurvivor_03_e_5,False,,1,idle,,3,think,,5,idle,,7,sad,,70,70,1.0,,,,,,,,,,
event_alonesurvivor_03_e_6,40033,event_alonesurvivor_03_e,Narration,Narration,Locale_SubScenario:event_alonesurvivor_03_e_6,False,,1,idle,,3,idle,,5,idle,,7,sad,,70,70,1.0,sfx_scn_crackle,,,,,,,,,
event_alonesurvivor_03_e_7,40033,event_alonesurvivor_03_e,Speech,neve,Locale_SubScenario:event_alonesurvivor_03_e_7,True,,1,idle,,3,idle,,5,idle,,7,sad,,70,70,1.0,,,neve,,,,,,,
event_alonesurvivor_03_e_8,40033,event_alonesurvivor_03_e,Speech,neve,Locale_SubScenario:event_alonesurvivor_03_e_8,True,,1,idle,,3,idle,,5,idle,,7,sad,,70,70,1.0,,,neve,,,,,,,
event_alonesurvivor_03_e_9,40033,event_alonesurvivor_03_e,Self,Self,Locale_SubScenario:event_alonesurvivor_03_e_9,False,,1,idle,,3,idle,,5,idle,,7,sad,,70,70,1.0,,,,,,,,,,
event_alonesurvivor_03_e_10,40033,event_alonesurvivor_03_e,Speech,neve,Locale_SubScenario:event_alonesurvivor_03_e_10,True,,1,idle,,3,idle,,5,idle,,7,sad,,70,70,1.0,,,neve,,,,,,,
event_alonesurvivor_03_e_11,40033,event_alonesurvivor_03_e,Speech,neve,Locale_SubScenario:event_alonesurvivor_03_e_11,True,,1,idle,,3,idle,,5,idle,,7,idle,,70,70,1.0,,,neve,,,,,,,
event_alonesurvivor_03_e_12,40033,event_alonesurvivor_03_e,Speech,neve,Locale_SubScenario:event_alonesurvivor_03_e_12,True,,1,idle,,3,idle,,5,idle,,7,idle,,70,70,1.0,,,neve,,,,,,,
event_alonesurvivor_03_e_13,40033,event_alonesurvivor_03_e,Self,Self,Locale_SubScenario:event_alonesurvivor_03_e_13,False,,1,idle,,3,idle,,5,idle,,7,idle,,70,70,1.0,,,,,,,,,,
event_alonesurvivor_03_e_14,40033,event_alonesurvivor_03_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_03_e_14,True,,1,idle,,3,think,,5,idle,,7,idle,,30,30,1.0,,,ludmilla,,,,,,,
event_alonesurvivor_03_e_15,40033,event_alonesurvivor_03_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_03_e_15,True,,1,idle,,3,think,,5,idle,,7,idle,,30,30,1.0,,,ludmilla,,,,,,,
event_alonesurvivor_03_e_16,40033,event_alonesurvivor_03_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_03_e_16,True,,1,idle,,3,think,,5,idle,,7,idle,,30,30,1.0,,,ludmilla,,,,,,,
event_alonesurvivor_03_e_17,40033,event_alonesurvivor_03_e,Speech,alice,Locale_SubScenario:event_alonesurvivor_03_e_17,True,,1,idle,,3,think,,5,idle,,7,idle,,30,4,1.0,,,alice,,,,,,,
event_alonesurvivor_03_e_18,40033,event_alonesurvivor_03_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_03_e_18,True,,1,idle,,3,think,,5,idle,,7,idle,,4,4,1.0,,,ludmilla,,,,,,,
event_alonesurvivor_03_e_19,40033,event_alonesurvivor_03_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_03_e_19,True,,1,idle,,3,think,,5,idle,,7,idle,,4,4,1.0,,,ludmilla,,,,,,,
