id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,play_sound
event_juveniledays_03_e_1,40053,event_juveniledays_03_e,Speech,rei,rei,Locale_SubScenario:event_juveniledays_03_e_1,True,ein,13,shy,zwei,3,idle,rei,1,idle,Classroom_n,2,2,1.0,bgm_story_fairytalesend_if,,,
event_juveniledays_03_e_2,40053,event_juveniledays_03_e,Speech,rei,rei,Locale_SubScenario:event_juveniledays_03_e_2,True,,13,shy,,3,idle,,1,idle,,2,2,1.0,,,,
event_juveniledays_03_e_3,40053,event_juveniledays_03_e,Speech,rei,rei,Locale_SubScenario:event_juveniledays_03_e_3,True,,13,shy,,3,idle,,1,idle,,2,2,1.0,,,,
event_juveniledays_03_e_4,40053,event_juveniledays_03_e,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_03_e_4,True,,13,shy,,3,idle,,1,idle,,2,2,1.0,,,,
event_juveniledays_03_e_5,40053,event_juveniledays_03_e,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_03_e_5,True,,13,shy,,3,idle,,1,idle,,2,2,1.0,,,,
event_juveniledays_03_e_6,40053,event_juveniledays_03_e,Speech,rei,rei,Locale_SubScenario:event_juveniledays_03_e_6,True,,13,shy,,3,idle,,1,idle,,2,2,1.0,,,,
event_juveniledays_03_e_7,40053,event_juveniledays_03_e,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_03_e_7,True,,13,shy,,3,idle,,1,idle,,2,2,1.0,,,,
event_juveniledays_03_e_8,40053,event_juveniledays_03_e,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_03_e_8,True,,13,shy,,3,good,,1,idle,,2,2,1.0,,,,
event_juveniledays_03_e_9,40053,event_juveniledays_03_e,Speech,rei,rei,Locale_SubScenario:event_juveniledays_03_e_9,True,,13,shy,,3,good,,1,no,,2,2,1.0,,,,
event_juveniledays_03_e_10,40053,event_juveniledays_03_e,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_03_e_10,True,,13,shy,,3,idle,,1,no,,2,2,1.0,,,,
