id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,fade
event_foolburstday_10_e_1,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_1,True,mechashifty,1,idle,shifty_s,3,idle,CityForest_01,S_10,S_10,1.0,bgm_story_cottoncandy,,
event_foolburstday_10_e_2,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_2,True,,1,idle,,3,idle,,S_10,S_100,0.5,,,
event_foolburstday_10_e_3,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_3,True,,1,idle,,3,idle,,S_100,S_100,1.0,,,
event_foolburstday_10_e_4,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_4,True,,1,idle,,3,idle,,S_100,S_100,1.0,,,
event_foolburstday_10_e_5,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_5,True,,1,idle,,3,idle,,S_100,S_100,1.0,,,
event_foolburstday_10_e_6,130007,event_foolburstday_10_e,Self,shifty_s,,Locale_SubScenario:event_foolburstday_10_e_6,False,,1,idle,,3,idle,,S_100,S_300,1.0,none,,
event_foolburstday_10_e_7,130007,event_foolburstday_10_e,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_10_e_7,True,,1,idle,,3,worry,,S_300,S_300,1.0,,,
event_foolburstday_10_e_8,130007,event_foolburstday_10_e,Self,shifty_s,,Locale_SubScenario:event_foolburstday_10_e_8,False,,,,,3,worry,,S_300,S_300,1.0,bgm_story_tepidappleade,mechashifty,black
event_foolburstday_10_e_9,130007,event_foolburstday_10_e,Self,shifty_s,,Locale_SubScenario:event_foolburstday_10_e_9,False,,,,,3,worry,,S_300,S_300,1.0,,,
event_foolburstday_10_e_10,130007,event_foolburstday_10_e,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_10_e_10,True,,,,,3,surprise,,S_300,S_30,1.0,,,
event_foolburstday_10_e_11,130007,event_foolburstday_10_e,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_10_e_11,False,,,,,3,think,,S_30,S_30,1.0,,,
event_foolburstday_10_e_12,130007,event_foolburstday_10_e,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_10_e_12,True,,,,,3,worry,,S_30,S_30,1.0,,,
event_foolburstday_10_e_13,130007,event_foolburstday_10_e,Self,shifty_s,,Locale_SubScenario:event_foolburstday_10_e_13,False,,,,,3,worry,,S_30,S_30,1.0,,,
event_foolburstday_10_e_14,130007,event_foolburstday_10_e,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_10_e_14,True,,,,,3,worry,,S_30,S_30,1.0,,,
event_foolburstday_10_e_15,130007,event_foolburstday_10_e,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_10_e_15,True,,,,,3,pain,,S_30,S_30,1.0,,,
event_foolburstday_10_e_16,130007,event_foolburstday_10_e,Self,shifty_s,,Locale_SubScenario:event_foolburstday_10_e_16,False,,,,,3,pain,,S_30,S_30,1.0,,,
event_foolburstday_10_e_17,130007,event_foolburstday_10_e,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_10_e_17,True,,,,,3,pain,,S_30,S_30,1.0,,,
event_foolburstday_10_e_18,130007,event_foolburstday_10_e,Self,shifty_s,,Locale_SubScenario:event_foolburstday_10_e_18,False,,,,,3,pain,,S_30,S_30,1.0,,,
event_foolburstday_10_e_19,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_19,True,mechashifty,1,idle,,3,pain,,S_30,31,1.0,,,
event_foolburstday_10_e_20,130007,event_foolburstday_10_e,Self,mechashifty,,Locale_SubScenario:event_foolburstday_10_e_20,False,,1,idle,,3,pain,,31,31,1.0,,,
event_foolburstday_10_e_21,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_21,True,,1,idle,,3,idle,,31,31,1.0,,,
event_foolburstday_10_e_22,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_22,True,,1,idle,,3,idle,,31,31,1.0,,,
event_foolburstday_10_e_23,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_23,True,,1,idle,,3,idle,,31,31,1.0,,,
event_foolburstday_10_e_24,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_24,True,,1,idle,,3,idle,,31,31,1.0,,,
event_foolburstday_10_e_25,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_25,True,,1,idle,,3,idle,,31,31,1.0,,,
event_foolburstday_10_e_26,130007,event_foolburstday_10_e,Self,mechashifty,,Locale_SubScenario:event_foolburstday_10_e_26,False,,1,idle,,3,idle,,31,31,1.0,,,
event_foolburstday_10_e_27,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_27,True,,1,idle,,3,idle,,S_10,S_100,1.0,,,
event_foolburstday_10_e_28,130007,event_foolburstday_10_e,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_10_e_28,False,,1,idle,,3,idle,,S_100,S_100,1.0,,,
event_foolburstday_10_e_29,130007,event_foolburstday_10_e,Self,mechashifty,,Locale_SubScenario:event_foolburstday_10_e_29,False,,1,idle,,3,idle,,S_100,S_100,1.0,,,
event_foolburstday_10_e_30,130007,event_foolburstday_10_e,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_10_e_30,True,,1,idle,,3,idle,,S_100,S_100,1.0,,,
