id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_ce004_3_03_s_1,40057,event_ce004_3_03_s,Narration,ein,Locale_SubScenario:event_ce004_3_03_s_1,False,ein,3,idle,zwei,13,idle,rei,1,angry,ElevatorOut,black,black,1.0,none,,,,
event_ce004_3_03_s_2,40057,event_ce004_3_03_s,Speech,ein,Locale_SubScenario:event_ce004_3_03_s_2,False,,3,idle,,13,idle,,1,angry,,30,30,1.0,,ein,,,
event_ce004_3_03_s_3,40057,event_ce004_3_03_s,Speech,zwei,Locale_SubScenario:event_ce004_3_03_s_3,False,,3,idle,,13,idle,,1,angry,,130,130,1.0,,zwei,,,
event_ce004_3_03_s_4,40057,event_ce004_3_03_s,Speech,rei,Locale_SubScenario:event_ce004_3_03_s_4,False,,3,idle,,13,idle,,1,angry,,XS_10,XS_10,1.0,,rei,,,
event_ce004_3_03_s_5,40057,event_ce004_3_03_s,Speech,zwei,Locale_SubScenario:event_ce004_3_03_s_5,True,,3,idle,,13,idle,,1,angry,,XS_10,130,1.0,bgm_risk,zwei,,,
event_ce004_3_03_s_6,40057,event_ce004_3_03_s,Speech,zwei,Locale_SubScenario:event_ce004_3_03_s_6,True,,3,idle,,13,idle,,1,angry,,130,130,1.0,,zwei,,,
event_ce004_3_03_s_7,40057,event_ce004_3_03_s,Speech,rei,Locale_SubScenario:event_ce004_3_03_s_7,True,,3,idle,,13,idle,,1,angry,,130,XS_10,1.0,,rei,,,
event_ce004_3_03_s_8,40057,event_ce004_3_03_s,Speech,rei,Locale_SubScenario:event_ce004_3_03_s_8,True,,3,idle,,13,idle,,1,angry,,XS_10,XS_10,1.0,,rei,,,
event_ce004_3_03_s_9,40057,event_ce004_3_03_s,Speech,ein,Locale_SubScenario:event_ce004_3_03_s_9,True,,3,idle,,13,idle,,1,angry,,XS_10,30,1.0,,ein,,,
event_ce004_3_03_s_10,40057,event_ce004_3_03_s,Speech,ein,Locale_SubScenario:event_ce004_3_03_s_10,True,,3,idle,,13,idle,,1,angry,,30,30,1.0,,ein,,,
