id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_dirtybackyard_02_e_1,40038,event_dirtybackyard_02_e,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_e_1,True,Backstreet_n,50,50,1.0,none,,,moran,5,pain,sugar_g,3,angry,,,
event_dirtybackyard_02_e_2,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_2,True,,3,S_30,0.7,,,,,5,pain,,3,angry,,,
event_dirtybackyard_02_e_3,40038,event_dirtybackyard_02_e,Self,,,Locale_SubScenario:event_dirtybackyard_02_e_3,False,,S_30,S_30,1.0,,,,,5,pain,,3,angry,,,
event_dirtybackyard_02_e_4,40038,event_dirtybackyard_02_e,Monologue,,,Locale_SubScenario:event_dirtybackyard_02_e_4,False,,black,black,1.0,,,,,5,pain,,3,angry,,,
event_dirtybackyard_02_e_5,40038,event_dirtybackyard_02_e,Narration,,,Locale_SubScenario:event_dirtybackyard_02_e_5,False,,black,black,1.0,,sfx_scn_aim,,,5,pain,,3,angry,,,
event_dirtybackyard_02_e_6,40038,event_dirtybackyard_02_e,Monologue,,,Locale_SubScenario:event_dirtybackyard_02_e_6,False,,black,black,1.0,,,,,5,pain,,3,angry,,,
event_dirtybackyard_02_e_7,40038,event_dirtybackyard_02_e,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_e_7,False,,50,50,1.0,bgm_risk,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_8,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_8,True,,S_30,S_30,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_9,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_9,True,,S_30,S_30,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_10,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_10,True,,S_30,S_30,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_11,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_11,True,,S_30,S_30,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_12,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_12,True,,S_30,S_30,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_13,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_13,True,,S_30,S_30,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_14,40038,event_dirtybackyard_02_e,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_e_14,True,,S_30,4,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_15,40038,event_dirtybackyard_02_e,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_e_15,True,,4,4,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_16,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_16,True,,4,4,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_17,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_17,True,,4,4,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_18,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_18,True,,4,4,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_19,40038,event_dirtybackyard_02_e,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_e_19,True,,4,4,1.0,,,,,5,think,,3,angry,,,
event_dirtybackyard_02_e_20,40038,event_dirtybackyard_02_e,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_e_20,True,,5,50,0.5,,,Low_2,,5,worry,,3,angry,,,
event_dirtybackyard_02_e_21,40038,event_dirtybackyard_02_e,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_e_21,True,,50,50,1.0,,,,,5,worry,,3,angry,,,
event_dirtybackyard_02_e_22,40038,event_dirtybackyard_02_e,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_e_22,True,,50,50,1.0,,,,,5,worry,,3,angry,,,
