id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,jump_target,play_sound,set_filter_01,set_camera_shake
snowfall_episode_noirblanc_04_1,80903,snowfall_episode_noirblanc_04,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_04_1,False,noir_c,1,surprise,blanc_c,13,think,HotSpringInnIn_d,12,12,1.0,amb_so_inn_in_2,event_bgm_neverland_hugme_night,,,,,,,,,,,,
snowfall_episode_noirblanc_04_2,80903,snowfall_episode_noirblanc_04,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_04_2,False,,1,surprise,,13,think,,12,12,1.0,,,,,,,,,,,,,,
snowfall_episode_noirblanc_04_3,80903,snowfall_episode_noirblanc_04,Speech,Locale_SubScenario:snowfall_episode_noirblanc_04_6,True,,1,idle,,13,think,,12,12,1.0,,,noir_c,noir_c,,,,,,,,,,
snowfall_episode_noirblanc_04_4,80903,snowfall_episode_noirblanc_04,Speech,Locale_SubScenario:snowfall_episode_noirblanc_04_7,True,,1,idle,,13,think,,12,12,1.0,,,blanc_c,blanc_c,,,,,,,,,,
snowfall_episode_noirblanc_04_5,80903,snowfall_episode_noirblanc_04,Self,Locale_SubScenario:snowfall_episode_noirblanc_04_8,False,,1,idle,,13,think,,12,12,1.0,,,,,,,,,,,,,,
snowfall_episode_noirblanc_04_6,80903,snowfall_episode_noirblanc_04,Speech,Locale_SubScenario:snowfall_episode_noirblanc_04_9,True,,1,idle,,13,think,,12,L_130,1.0,,,blanc_c,blanc_c,,,,,,,,,,
snowfall_episode_noirblanc_04_7,80903,snowfall_episode_noirblanc_04,Speech,Locale_SubScenario:snowfall_episode_noirblanc_04_10,True,,1,idle,,13,think,,L_130,L_130,1.0,,,blanc_c,blanc_c,,,,,,,,,,
snowfall_episode_noirblanc_04_8,80903,snowfall_episode_noirblanc_04,Speech,Locale_SubScenario:snowfall_episode_noirblanc_04_11,True,,1,idle,,13,think,,L_130,L_130,1.0,,,blanc_c,blanc_c,,,,,,,,,,
snowfall_episode_noirblanc_04_9,80903,snowfall_episode_noirblanc_04,Self,Locale_SubScenario:snowfall_episode_noirblanc_04_12,False,,1,idle,,13,think,,L_130,L_130,1.0,,,,,,,,,,,,,,
snowfall_episode_noirblanc_04_10,80903,snowfall_episode_noirblanc_04,Speech,Locale_SubScenario:snowfall_episode_noirblanc_04_13,True,,1,idle,,13,think,,L_130,L_130,1.0,,,blanc_c,blanc_c,,,,,,,,,,
