id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_contents_bbqmaster_07_1,80603,d_contents_bbqmaster_07,Speech,mast_s,mast_s,Locale_SubScenario:d_contents_bbqmaster_07_1,True,LogHouseOut_n,12,12,1.0,bgm_story_summermood,,anis_s,3,idle,mast_s,1,angry,anchor,13,idle
d_contents_bbqmaster_07_2,80603,d_contents_bbqmaster_07,Speech,mast_s,mast_s,Locale_SubScenario:d_contents_bbqmaster_07_2,True,,12,12,1.0,,,,3,idle,,1,idle2,,13,idle
d_contents_bbqmaster_07_3,80603,d_contents_bbqmaster_07,Speech,anchor,anchor,Locale_SubScenario:d_contents_bbqmaster_07_3,True,,12,12,1.0,,,,3,idle,,1,idle2,,13,idle
d_contents_bbqmaster_07_4,80603,d_contents_bbqmaster_07,Speech,anchor,anchor,Locale_SubScenario:d_contents_bbqmaster_07_4,True,,12,12,1.0,,,,3,idle,,1,idle2,,13,idle
d_contents_bbqmaster_07_5,80603,d_contents_bbqmaster_07,Speech,mast_s,mast_s,Locale_SubScenario:d_contents_bbqmaster_07_5,True,,12,12,1.0,,,,3,idle,,1,idle2,,13,idle
d_contents_bbqmaster_07_6,80603,d_contents_bbqmaster_07,Speech,mast_s,mast_s,Locale_SubScenario:d_contents_bbqmaster_07_6,True,,12,12,1.0,,,,3,idle,,1,idle2,,13,idle
d_contents_bbqmaster_07_7,80603,d_contents_bbqmaster_07,Speech,anchor,anchor,Locale_SubScenario:d_contents_bbqmaster_07_7,False,,12,S_130,1.0,,,,3,idle,,1,idle2,,13,surprise
d_contents_bbqmaster_07_8,80603,d_contents_bbqmaster_07,Speech,anchor,anchor,Locale_SubScenario:d_contents_bbqmaster_07_8,True,,S_130,S_130,1.0,,,,3,idle,,1,idle2,,13,sad
d_contents_bbqmaster_07_9,80603,d_contents_bbqmaster_07,Speech,mast_s,mast_s,Locale_SubScenario:d_contents_bbqmaster_07_9,True,,S_130,S_10,1.0,,,,3,idle,,1,idle,,13,sad
d_contents_bbqmaster_07_10,80603,d_contents_bbqmaster_07,Speech,mast_s,mast_s,Locale_SubScenario:d_contents_bbqmaster_07_10,True,,S_10,S_10,1.0,,,,3,idle,,1,idle,,13,sad
