id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
snowfall_global_10_default_1,80903,snowfall_global_10,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,,,,,,,,,
snowfall_global_10_default_2,80903,snowfall_global_10,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_10_1,,,,,,,,,,,,,,,,,,,,
snowfall_global_10_default_3,80903,snowfall_global_10,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,,,,,,,,,
snowfall_global_10_1,80903,snowfall_global_10,Monologue,Locale_SubScenario:snowfall_global_10_1,False,HotSpringInnOut_d,3,3,1.0,amb_so_inn_out_1,event_bgm_neverland_snowflakes_day,,,white,,,,,,,,,,,,,,,,,,
snowfall_global_10_2,80903,snowfall_global_10,Monologue,Locale_SubScenario:snowfall_global_10_2,False,,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_10_3,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_3,True,,3,30,1.0,,,,,,ludmilla_w,ludmilla_w,ludmilla_w,3,surprise,,,,,,,,,,,,,
snowfall_global_10_4,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_4,True,,30,30,1.0,,,,,,ludmilla_w,ludmilla_w,,3,surprise,,,,,,,,,,,,,
snowfall_global_10_5,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_5,True,,30,30,1.0,,,,,,ludmilla_w,ludmilla_w,,3,surprise,,,,,,,,,,,,,
snowfall_global_10_6,80903,snowfall_global_10,Self,Locale_SubScenario:snowfall_global_10_6,False,,30,15,1.0,,,,,,,,,3,surprise,,,,,,,,,,,,,
snowfall_global_10_7,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_7,True,,15,L_150,0.6,,,,,,rupee_w,rupee_w,,3,surprise,rupee_w,15,delight,,,,,,,,,,
snowfall_global_10_8,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_8,True,,L_150,L_150,1.0,,,,,,rupee_w,rupee_w,,3,surprise,,15,delight,,,,,,,,,,
snowfall_global_10_9,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_9,True,,12,12,1.0,,,,,,anne,anne,,3,surprise,,15,delight,anne,1,idle,angelina,13,smile,,,,
snowfall_global_10_10,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_10,True,,12,12,1.0,,,,,,angelina,angelina,,3,surprise,,15,delight,,1,idle,,13,smile,,,,
snowfall_global_10_11,80903,snowfall_global_10,Self,Locale_SubScenario:snowfall_global_10_11,False,,12,12,1.0,,,,,,,,,3,surprise,,15,delight,,1,idle,,13,smile,,,,
snowfall_global_10_12,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_12,True,,12,130,1.0,,,,,,angelina,angelina,,3,surprise,,15,delight,,1,idle,,13,smile,,,,
snowfall_global_10_13,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_13,True,,130,130,1.0,,,,,,angelina,angelina,,3,surprise,,15,delight,,1,idle,,13,smile,,,,
snowfall_global_10_14,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_14,True,,130,130,1.0,,,,,,angelina,angelina,,3,surprise,,15,delight,,1,idle,,13,smile,,,,
snowfall_global_10_15,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_15,True,,130,130,1.0,,,,,,angelina,angelina,,3,idle,,15,delight,,1,idle,,13,smile,,,,
snowfall_global_10_16,80903,snowfall_global_10,Speech,Locale_SubScenario:snowfall_global_10_16,True,,130,L_150,1.0,,,,,,rupee_w,rupee_w,,3,idle,,15,idle_02,,1,idle,,13,smile,,,,
