id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,highlight,speaker,fade
d_contents_dungeon_run_03_1,81701,d_contents_dungeon_run_03,Narration,Locale_SubScenario:d_contents_dungeon_run_03_1,False,DragonCastleIn,black,black,1.0,none,,,,,,,,,,,,,,,
d_contents_dungeon_run_03_2,81701,d_contents_dungeon_run_03,Narration,Locale_SubScenario:d_contents_dungeon_run_03_2,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_contents_dungeon_run_03_3,81701,d_contents_dungeon_run_03,Narration,Locale_SubScenario:d_contents_dungeon_run_03_3,False,,black,black,1.0,,guillotine_w_no,2,idle,maiden_w,12,shy,vesti_c,14,idle,volume_c,4,idle,,,
d_contents_dungeon_run_03_4,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_4,True,,XS_20,XS_20,1.0,event_bgm_icedragonsaga_darkness,,2,idle,,12,shy,,14,idle,,4,idle,guillotine_w_no,guillotine_w_no,
d_contents_dungeon_run_03_5,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_5,True,,XS_20,XS_20,1.0,,,2,idle,,12,shy,,14,idle,,4,idle,guillotine_w_no,guillotine_w_no,
d_contents_dungeon_run_03_6,81701,d_contents_dungeon_run_03,Self,Locale_SubScenario:d_contents_dungeon_run_03_6,False,,XS_20,XS_20,1.0,,,2,idle,,12,shy,,14,idle,,4,idle,guillotine_w_no,,
d_contents_dungeon_run_03_7,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_7,True,,XS_20,XS_20,1.0,none,,2,idle,,12,shy,,14,idle,,4,idle,guillotine_w_no,guillotine_w_no,
d_contents_dungeon_run_03_8,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_8,True,,XS_20,XS_20,1.0,event_bgm_icedragonsaga_anotherhero,,2,idle,,12,shy,,14,idle,,4,idle,guillotine_w_no,guillotine_w_no,
d_contents_dungeon_run_03_9,81701,d_contents_dungeon_run_03,Self,Locale_SubScenario:d_contents_dungeon_run_03_9,False,,XS_20,L_120,1.0,,,2,idle,,12,shy,,14,idle,,4,idle,maiden_w,,
d_contents_dungeon_run_03_10,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_10,True,,L_120,L_120,1.0,,,2,idle,,12,shy,,14,idle,,4,idle,maiden_w,maiden_w,
d_contents_dungeon_run_03_11,81701,d_contents_dungeon_run_03,Self,Locale_SubScenario:d_contents_dungeon_run_03_11,False,,L_120,L_120,1.0,,,2,idle,,12,shy,,14,idle,,4,idle,maiden_w,,
d_contents_dungeon_run_03_12,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_12,True,,L_120,L_120,1.0,,,2,idle,,12,shy,,14,idle,,4,idle,maiden_w,maiden_w,
d_contents_dungeon_run_03_13,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_13,True,,L_120,L_120,1.0,,,2,idle,,12,shy,,14,idle,,4,idle,maiden_w,maiden_w,
d_contents_dungeon_run_03_14,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_14,True,,L_120,L_120,1.0,,,2,idle,,12,worry,,14,idle,,4,idle,maiden_w,maiden_w,
d_contents_dungeon_run_03_15,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_15,True,,L_120,XS_20,1.0,,,2,delight,,12,worry,,14,idle,,4,idle,guillotine_w_no,guillotine_w_no,
d_contents_dungeon_run_03_16,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_16,True,,XS_20,XS_20,1.0,,,2,delight,,12,worry,,14,idle,,4,idle,guillotine_w_no,guillotine_w_no,
d_contents_dungeon_run_03_17,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_17,True,,XS_20,L_120,0.5,,,2,surprise,,12,no,,14,idle,,4,idle,maiden_w,maiden_w,
d_contents_dungeon_run_03_18,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_18,True,,L_120,L_120,1.0,,,2,surprise,,12,no,,14,idle,,4,idle,maiden_w,maiden_w,
d_contents_dungeon_run_03_19,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_19,True,,L_120,L_120,1.0,,,2,surprise,,12,no,,14,idle,,4,idle,maiden_w,maiden_w,
d_contents_dungeon_run_03_20,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_20,True,,L_120,XS_20,0.5,,,2,angry,,12,angry,,14,idle,,4,idle,guillotine_w_no,guillotine_w_no,
d_contents_dungeon_run_03_21,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_21,True,,XS_20,XS_20,1.0,,,2,angry,,12,angry,,14,idle,,4,idle,guillotine_w_no,guillotine_w_no,
d_contents_dungeon_run_03_22,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_22,True,,XS_20,XS_20,1.0,,,2,angry,,12,angry,,14,idle,,4,idle,guillotine_w_no,guillotine_w_no,
d_contents_dungeon_run_03_23,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_23,True,,XS_20,L_120,0.5,,,2,angry,,12,angry,,14,idle,,4,idle,maiden_w,maiden_w,
d_contents_dungeon_run_03_24,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_24,True,,L_120,L_120,1.0,,,2,angry,,12,angry,,14,idle,,4,idle,maiden_w,maiden_w,
d_contents_dungeon_run_03_25,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_25,True,,L_120,L_120,1.0,,,2,angry,,12,angry,,14,idle,,4,idle,maiden_w,maiden_w,
d_contents_dungeon_run_03_26,81701,d_contents_dungeon_run_03,Self,Locale_SubScenario:d_contents_dungeon_run_03_26,False,,L_120,L_120,1.0,,,2,angry,,12,angry,,14,idle,,4,idle,maiden_w,,
d_contents_dungeon_run_03_27,81701,d_contents_dungeon_run_03,Speech,Locale_SubScenario:d_contents_dungeon_run_03_27,True,,L_120,L_120,1.0,,,2,angry,,12,angry,,14,idle,,4,idle,maiden_w,maiden_w,
