id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade,characters/1/hide_char_id
event_beautyfullshot1_06_e_1,40051,event_beautyfullshot1_06_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_e_1,True,sakura_s,1,angry,rosanna_s,13,idle,CoralIslandInside_d,113,113,1.0,event_bgm_beautyfullshot_seasidedance,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_06_e_2,40051,event_beautyfullshot1_06_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_e_2,True,,1,angry,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_06_e_3,40051,event_beautyfullshot1_06_e,Speech,rosanna_s,rosanna_s,Locale_MainScenario:event_beautyfullshot1_06_e_3,True,,1,angry,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_06_e_4,40051,event_beautyfullshot1_06_e,Speech,rosanna_s,rosanna_s,Locale_MainScenario:event_beautyfullshot1_06_e_4,True,,1,angry,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_06_e_5,40051,event_beautyfullshot1_06_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_e_5,True,,1,angry,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_06_e_6,40051,event_beautyfullshot1_06_e,Speech,rosanna_s,rosanna_s,Locale_MainScenario:event_beautyfullshot1_06_e_6,True,,1,angry,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_06_e_7,40051,event_beautyfullshot1_06_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_e_7,False,,1,angry,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_06_e_8,40051,event_beautyfullshot1_06_e,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot1_06_e_8,False,,1,angry,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_06_e_9,40051,event_beautyfullshot1_06_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_e_9,True,,1,idle,,13,idle,,113,1,1.0,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_06_e_10,40051,event_beautyfullshot1_06_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_e_10,True,,1,idle,,13,idle,,1,10,1.0,,,,,,,,,,,,,,,,,,,
