id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
re_event_ce02_1_02_1,40082,re_event_ce02_1_02,Speech,c1002_01,c1002_01,Locale_SubScenario:event_ce02_1_02_1,True,anis,1,idle,rapi,3,idle,neon,5,idle,c1002_01,13,idle,b0006_01,15,idle,6000d_01,17,idle,WasteLand_03,130,130,1.0,event_bgm_ce002_story_2,,,,,,
re_event_ce02_1_02_2,40082,re_event_ce02_1_02,Self,,,Locale_SubScenario:event_ce02_1_02_2,False,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,,,,
re_event_ce02_1_02_3,40082,re_event_ce02_1_02,Speech,neon,neon,Locale_SubScenario:event_ce02_1_02_3,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,S_50,S_50,1.0,,,,,,,
re_event_ce02_1_02_4,40082,re_event_ce02_1_02,Speech,neon,neon,Locale_SubScenario:event_ce02_1_02_4,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,S_50,S_50,1.0,,,,,,,
re_event_ce02_1_02_5,40082,re_event_ce02_1_02,Speech,anis,anis,Locale_SubScenario:event_ce02_1_02_5,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,
re_event_ce02_1_02_6,40082,re_event_ce02_1_02,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_02_6,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,30,30,1.0,,,,,,,
re_event_ce02_1_02_7,40082,re_event_ce02_1_02,Speech,c1002_01,c1002_01,Locale_SubScenario:event_ce02_1_02_7,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,,,,
re_event_ce02_1_02_8,40082,re_event_ce02_1_02,Speech,anis,anis,Locale_SubScenario:event_ce02_1_02_8,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,
re_event_ce02_1_02_9,40082,re_event_ce02_1_02,Speech,c1002_01,c1002_01,Locale_SubScenario:event_ce02_1_02_9,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,,,,
re_event_ce02_1_02_10,40082,re_event_ce02_1_02,Speech,c1002_01,c1002_01,Locale_SubScenario:event_ce02_1_02_10,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,,,,
re_event_ce02_1_02_11,40082,re_event_ce02_1_02,Speech,c1002_01,c1002_01,Locale_SubScenario:event_ce02_1_02_11,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,,,,
re_event_ce02_1_02_12,40082,re_event_ce02_1_02,Speech,c1002_01,c1002_01,Locale_SubScenario:event_ce02_1_02_12,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,,,,
re_event_ce02_1_02_13,40082,re_event_ce02_1_02,Self,,,Locale_SubScenario:event_ce02_1_02_13,False,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,,,,
re_event_ce02_1_02_14,40082,re_event_ce02_1_02,Speech,c1002_01,c1002_01,Locale_SubScenario:event_ce02_1_02_14,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,130,1300,1.0,,,,,,,
re_event_ce02_1_02_15,40082,re_event_ce02_1_02,Speech,c1002_01,c1002_01,Locale_SubScenario:event_ce02_1_02_15,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,1300,1300,1.0,,,,,,,
re_event_ce02_1_02_16,40082,re_event_ce02_1_02,Speech,c1002_01,c1002_01,Locale_SubScenario:event_ce02_1_02_16,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,1300,1300,1.0,,,,,,,
re_event_ce02_1_02_17,40082,re_event_ce02_1_02,Speech,c1002_01,c1002_01,Locale_SubScenario:event_ce02_1_02_17,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,1300,130,1.0,,,,,,,
re_event_ce02_1_02_18,40082,re_event_ce02_1_02,Speech,b0006_01,b0006_01,Locale_SubScenario:event_ce02_1_02_18,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,130,150,1.0,,,,,,,
re_event_ce02_1_02_19,40082,re_event_ce02_1_02,Speech,6000d_01,6000d_01,Locale_SubScenario:event_ce02_1_02_19,False,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,150,170,1.0,,,,,,,
