id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,fade
event_colorless_01_e_1,40054,event_colorless_01_e,Speech,marciana,marciana,Locale_SubScenario:event_colorless_01_e_1,True,marciana,1,idle,Classroom_e,10,10,1.0,bgm_story_orangepop,,,,,,,,,,,
event_colorless_01_e_2,40054,event_colorless_01_e,Speech,marciana,marciana,Locale_SubScenario:event_colorless_01_e_2,True,,1,idle,,10,100,1.0,,,,,,,,,,,,
event_colorless_01_e_3,40054,event_colorless_01_e,Speech,marciana,marciana,Locale_SubScenario:event_colorless_01_e_3,True,,1,idle,,100,100,1.0,,,,,,,,,,,,
event_colorless_01_e_4,40054,event_colorless_01_e,Narration,,,Locale_SubScenario:event_colorless_01_e_4,False,,1,idle,,100,1,1.0,,marciana,sfx_scn_slidingdoorpower,,,,,,,,,
event_colorless_01_e_5,40054,event_colorless_01_e,Speech,ein,ein,Locale_SubScenario:event_colorless_01_e_5,True,ein,1,surprise,,1,10,1.0,,,,zwei,15,idle,rei,13,idle,,,
event_colorless_01_e_6,40054,event_colorless_01_e,Speech,ein,ein,Locale_SubScenario:event_colorless_01_e_6,True,,1,idle,,10,10,1.0,,,,,15,idle,,13,idle,,,
event_colorless_01_e_7,40054,event_colorless_01_e,Speech,ein,ein,Locale_SubScenario:event_colorless_01_e_7,True,,1,idle,,10,10,1.0,,,,,15,idle,,13,idle,,,
event_colorless_01_e_8,40054,event_colorless_01_e,Speech,rei,rei,Locale_SubScenario:event_colorless_01_e_8,True,,1,idle,,10,14,1.0,,,,,15,idle,,13,idle,,,
event_colorless_01_e_9,40054,event_colorless_01_e,Speech,zwei,zwei,Locale_SubScenario:event_colorless_01_e_9,True,,1,idle,,14,14,1.0,,,,,15,idle,,13,idle,,,
event_colorless_01_e_10,40054,event_colorless_01_e,Speech,ein,ein,Locale_SubScenario:event_colorless_01_e_10,True,,1,idle,,14,12,1.0,,,,,15,idle,,13,idle,,,
event_colorless_01_e_11,40054,event_colorless_01_e,Speech,rei,rei,Locale_SubScenario:event_colorless_01_e_11,True,,1,idle,,12,14,1.0,,,,,15,idle,,13,idle,,,
event_colorless_01_e_12,40054,event_colorless_01_e,Speech,zwei,zwei,Locale_SubScenario:event_colorless_01_e_12,True,,1,idle,,14,14,1.0,,,,,15,idle,,13,idle,,,
event_colorless_01_e_13,40054,event_colorless_01_e,Speech,ein,ein,Locale_SubScenario:event_colorless_01_e_13,True,,1,idle,,14,10,1.0,,,,,15,idle,,13,idle,,,
