id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,fade,jump_target,play_sound,set_camera_shake,characters/2/hide_char_id
event_neverland2_01_s_1,40035,event_neverland2_01_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_01_s_1,True,mica_w,1,idle,ludmilla_w,3,idle,belorta,13,delight,blanc_c,5,idle,noir_c,7,idle,HotSpringInnIn_s,3,30,1.0,bgm_inark,,,,,,,
event_neverland2_01_s_2,40035,event_neverland2_01_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_01_s_2,True,,1,idle,,3,idle,,13,delight,,5,idle,,7,idle,,30,30,1.0,,,,,,,,
event_neverland2_01_s_3,40035,event_neverland2_01_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_3,True,,1,idle,,3,idle,,13,delight,,5,idle,,7,idle,,XS_130,XS_130,1.0,,,,,,,,
event_neverland2_01_s_4,40035,event_neverland2_01_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_01_s_4,True,,1,idle,,3,idle,,13,delight,,5,idle,,7,idle,,30,30,1.0,,,,,,,,
event_neverland2_01_s_5,40035,event_neverland2_01_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_01_s_5,True,,1,idle,,3,idle,,13,delight,,5,idle,,7,idle,,30,30,1.0,,,,,,,,
event_neverland2_01_s_6,40035,event_neverland2_01_s,Speech,blanc_c,blanc_c,Locale_MainScenario:event_neverland2_01_s_6,True,,1,idle,,3,idle,,13,delight,,5,idle,,7,idle,,30,75,2.0,,,,,,,,
event_neverland2_01_s_7,40035,event_neverland2_01_s,Speech,noir_c,noir_c,Locale_MainScenario:event_neverland2_01_s_7,True,,1,idle,,3,idle,,13,delight,,5,idle,,7,idle,,75,75,1.0,,,,,,,,
event_neverland2_01_s_8,40035,event_neverland2_01_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_01_s_8,True,,1,idle,,3,idle,,13,delight,,5,idle,,7,idle,,30,30,1.0,,,,,,,,
event_neverland2_01_s_9,40035,event_neverland2_01_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_9,True,,1,idle,,3,idle,,13,delight,,5,idle,,7,idle,,XS_130,XS_130,1.0,,,,,,,,
event_neverland2_01_s_10,40035,event_neverland2_01_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_10,True,,1,idle,,3,idle,,13,delight,,5,idle,,7,idle,,XS_130,XS_130,1.0,,,,,,,,
event_neverland2_01_s_11,40035,event_neverland2_01_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_11,True,,1,idle,,3,idle,,13,delight,,5,idle,,7,idle,,XS_130,XS_1300,1.0,,blanc_c,noir_c,,,,,
event_neverland2_01_s_12,40035,event_neverland2_01_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_12,True,,1,idle,,3,idle,,13,delight,,,,,,,IceLand_n,XS_1300,XS_1300,1.0,none,,,black,,,,
event_neverland2_01_s_13,40035,event_neverland2_01_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_13,True,,1,idle,,3,idle,,13,delight,,,,,,,,XS_1300,XS_1300,1.0,,,,,,,,
event_neverland2_01_s_14,40035,event_neverland2_01_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_14,True,,1,idle,,3,idle,,13,idle,,,,,,,,XS_1300,113,2.0,bgm_story_inwonderland,,,,,,,
