id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/hide_char_id,set_camera_shake,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_cherryblossom_intermission_01_1,40011,event_cherryblossom_intermission_01,Self,Locale_SubScenario:event_cherryblossom_intermission_01_1,False,sakura,1,idle,CherryBlossom,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_2,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_2,True,,1,idle,,10,10,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_3,40011,event_cherryblossom_intermission_01,Self,Locale_SubScenario:event_cherryblossom_intermission_01_3,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_4,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_4,True,,1,idle,,10,10,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_5,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_5,True,,1,idle,,10,10,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_6,40011,event_cherryblossom_intermission_01,Self,Locale_SubScenario:event_cherryblossom_intermission_01_6,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_7,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_7,True,,1,idle,,10,10,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_8,40011,event_cherryblossom_intermission_01,Self,Locale_SubScenario:event_cherryblossom_intermission_01_8,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_9,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_9,True,,1,surprise,,10,100,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_10,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_10,False,,1,surprise,,100,100,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_11,40011,event_cherryblossom_intermission_01,Self,Locale_SubScenario:event_cherryblossom_intermission_01_11,False,,1,surprise,,100,100,1.0,,,,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_12,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_12,True,,1,idle,,100,10,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_13,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_13,True,,1,idle,,10,10,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_14,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_14,True,,1,idle,,10,10,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_15,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_15,True,,1,idle,,10,10,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
event_cherryblossom_intermission_01_16,40011,event_cherryblossom_intermission_01,Speech,Locale_SubScenario:event_cherryblossom_intermission_01_16,True,,1,idle,,10,10,1.0,,sakura,sakura,,,,,,,,,,,,,,,,
