id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,speaker,characters/2/hide_char_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01
event_ce02_1_prologue_1,40026,event_ce02_1_prologue,Narration,Locale_SubScenario:event_ce02_1_prologue_1,False,product12,1,idle,Factory,15,15,1.0,sfx_scn_gunfire,ambient_scn_wind,Low_2,,,,,,,,,,,
event_ce02_1_prologue_2,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_2,False,,1,idle,,15,15,1.0,,,,,,,,,,,,,,
event_ce02_1_prologue_3,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_3,False,,1,idle,,15,1,2.0,,,,,,,,,,,,,,
event_ce02_1_prologue_4,40026,event_ce02_1_prologue,Speech,Locale_SubScenario:event_ce02_1_prologue_4,False,,1,idle,,1,1,1.0,,,,product12,product12,,,,,,,,,
event_ce02_1_prologue_5,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_5,False,,1,idle,,1,10,1.0,,,,,,,,,,,,,,
event_ce02_1_prologue_6,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_6,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
event_ce02_1_prologue_7,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_7,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
event_ce02_1_prologue_8,40026,event_ce02_1_prologue,Speech,Locale_SubScenario:event_ce02_1_prologue_8,False,,1,idle,,10,100,1.0,,,,product12,product12,,,,,,,,,
event_ce02_1_prologue_9,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_9,False,,1,idle,,100,100,1.0,,,,,,,,,,,,,,
event_ce02_1_prologue_10,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_10,False,,1,idle,,100,100,1.0,,,,,,,,,,,,,,
event_ce02_1_prologue_11,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_11,False,,1,idle,,100,100,1.0,,,,,,,,,,,,,,
event_ce02_1_prologue_12,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_12,False,,1,idle,,100,10,1.0,,,,,,,,,,,,,,
event_ce02_1_prologue_13,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_13,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
event_ce02_1_prologue_14,40026,event_ce02_1_prologue,Monologue,Locale_SubScenario:event_ce02_1_prologue_14,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
