id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_claymore_03_s_1,40050,event_claymore_03_s,Speech,clay,clay,Locale_SubScenario:event_claymore_03_s_1,False,Park,50,50,1.0,none,,,,clay,5,surprise,,milk,3,idle,,,,,,,,,
event_claymore_03_s_2,40050,event_claymore_03_s,Self,clay,,Locale_SubScenario:event_claymore_03_s_2,False,,50,50,1.0,bgm_story_orangepop,,,,,5,surprise,,,3,idle,,,,,,,,,
event_claymore_03_s_3,40050,event_claymore_03_s,Speech,milk,milk,Locale_SubScenario:event_claymore_03_s_3,False,,S_30,S_30,1.0,,,,,,5,surprise,,,3,idle,,,,,,,,,
event_claymore_03_s_4,40050,event_claymore_03_s,Speech,milk,milk,Locale_SubScenario:event_claymore_03_s_4,True,,S_30,S_30,1.0,,,,,,5,surprise,,,3,surprise,,,,,,,,,
event_claymore_03_s_5,40050,event_claymore_03_s,Speech,milk,milk,Locale_SubScenario:event_claymore_03_s_5,True,,S_30,S_30,1.0,,,,,,5,surprise,,,3,surprise,,,,,,,,,
event_claymore_03_s_6,40050,event_claymore_03_s,Self,milk,,Locale_SubScenario:event_claymore_03_s_6,False,,S_30,S_30,1.0,,,,,,5,surprise,,,3,surprise,,,,,,,,,
event_claymore_03_s_7,40050,event_claymore_03_s,Self,milk,,Locale_SubScenario:event_claymore_03_s_7,False,,S_30,S_30,1.0,,,,,,5,surprise,,,3,surprise,,,,,,,,,
event_claymore_03_s_8,40050,event_claymore_03_s,Self,milk,,Locale_SubScenario:event_claymore_03_s_8,False,,S_30,S_30,1.0,,,,,,5,surprise,,,3,surprise,,,,,,,,,
event_claymore_03_s_9,40050,event_claymore_03_s,Speech,milk,milk,Locale_SubScenario:event_claymore_03_s_9,True,,S_30,S_30,1.0,,,,,,5,surprise,,,3,idle,,,,,,,,,
event_claymore_03_s_10,40050,event_claymore_03_s,Speech,milk,milk,Locale_SubScenario:event_claymore_03_s_10,True,,S_30,S_30,1.0,,,,,,5,surprise,,,3,surprise,,,,,,,,,
event_claymore_03_s_11,40050,event_claymore_03_s,Self,milk,,Locale_SubScenario:event_claymore_03_s_11,False,,S_30,S_30,1.0,,,,,,5,surprise,,,3,surprise,,,,,,,,,
event_claymore_03_s_12,40050,event_claymore_03_s,Speech,clay,clay,Locale_SubScenario:event_claymore_03_s_12,True,,S_30,50,1.0,,,,,,5,no,,,3,surprise,,,,,,,,,
event_claymore_03_s_13,40050,event_claymore_03_s,Speech,clay,clay,Locale_SubScenario:event_claymore_03_s_13,True,,50,50,1.0,,,,,,5,idle,,,3,idle,,,,,,,,,
