id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_redash_01_3_1,80800,d_ex_redash_01_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_01_3_1,False,Hospital,black,black,1.0,none,,,redhood,3,think,rapunzel_o,5,think
d_ex_redash_01_3_2,80800,d_ex_redash_01_3,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_01_3_2,False,,30,30,1.0,event_bgm_redash_dearsnowwhite,,,,3,think,,5,think
d_ex_redash_01_3_3,80800,d_ex_redash_01_3,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_01_3_3,False,,30,30,1.0,,,,,3,think,,5,think
d_ex_redash_01_3_4,80800,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_4,True,,30,4,1.0,,redhood,,,3,idle,,5,think
d_ex_redash_01_3_5,80800,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_5,True,,4,4,1.0,,rapunzel_o,,,3,idle,,5,surprise
d_ex_redash_01_3_6,80800,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_6,True,,4,4,1.0,,redhood,,,3,idle,,5,surprise
d_ex_redash_01_3_7,80800,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_7,True,,4,4,1.0,,redhood,,,3,idle,,5,surprise
d_ex_redash_01_3_8,80800,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_8,True,,4,4,1.0,,rapunzel_o,,,3,idle,,5,think
d_ex_redash_01_3_9,80800,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_9,True,,4,4,1.0,,redhood,,,3,sad_02,,5,think
d_ex_redash_01_3_10,80800,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_10,True,,4,4,1.0,,redhood,,,3,idle,,5,think
d_ex_redash_01_3_11,80800,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_11,True,,4,4,1.0,,redhood,,,3,idle,,5,think
d_ex_redash_01_3_12,80800,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_12,True,,4,4,1.0,,rapunzel_o,,,3,idle,,5,think
d_ex_redash_01_3_13,80800,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_13,True,,4,4,1.0,,redhood,,,3,think,,5,think
d_ex_redash_01_3_14,80800,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_14,True,,4,4,1.0,,redhood,,,3,think,,5,think
d_ex_redash_01_3_15,80800,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_15,True,,4,4,1.0,,rapunzel_o,,,3,think,,5,surprise
d_ex_redash_01_3_16,80800,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_16,True,,4,4,1.0,,rapunzel_o,,,3,think,,5,surprise
d_ex_redash_01_3_17,80800,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_17,True,,4,4,1.0,,rapunzel_o,,,3,think,,5,surprise
