id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,fade
event_dazzlingcupid_01_e_1,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_1,False,ShoppingMall,1,1,1.0,none,,,,,,,,,,,
event_dazzlingcupid_01_e_2,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_2,False,,1,100,0.3,bgm_story_leisuretime,,,,,,,,,,,
event_dazzlingcupid_01_e_3,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_3,False,,100,100,1.0,,,,,,,,,,,,
event_dazzlingcupid_01_e_4,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_4,False,,100,100,1.0,,,,,,,,,,,,
event_dazzlingcupid_01_e_5,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_5,False,,100,100,0.3,,,,,,,,,,,,
event_dazzlingcupid_01_e_6,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_6,False,,100,1,0.3,,,,,,,,,,,,
event_dazzlingcupid_01_e_7,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_7,True,,1,4,0.7,,blanc,blanc,5,think,noir,3,surprise,,,,
event_dazzlingcupid_01_e_8,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_8,True,,4,4,1.0,,blanc,,5,think,,3,surprise,,,,
event_dazzlingcupid_01_e_9,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_9,True,,4,4,1.0,,blanc,,5,think,,3,surprise,,,,
event_dazzlingcupid_01_e_10,40029,event_dazzlingcupid_01_e,Speech,noir,Locale_SubScenario:event_dazzlingcupid_01_e_10,True,,4,4,1.0,,noir,,5,think,,3,surprise,,,,
event_dazzlingcupid_01_e_11,40029,event_dazzlingcupid_01_e,Speech,noir,Locale_SubScenario:event_dazzlingcupid_01_e_11,True,,4,4,1.0,,noir,,5,think,,3,surprise,,,,
event_dazzlingcupid_01_e_12,40029,event_dazzlingcupid_01_e,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_e_12,False,,4,4,1.0,,,,5,think,,3,surprise,,,,
event_dazzlingcupid_01_e_13,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_13,False,,black,black,1.0,,,,5,think,,3,surprise,,,,
event_dazzlingcupid_01_e_14,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_14,True,,4,4,1.0,,blanc,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_15,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_15,True,,4,4,1.0,,blanc,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_16,40029,event_dazzlingcupid_01_e,Speech,noir,Locale_SubScenario:event_dazzlingcupid_01_e_16,True,,4,4,1.0,,noir,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_17,40029,event_dazzlingcupid_01_e,Speech,noir,Locale_SubScenario:event_dazzlingcupid_01_e_17,True,,4,4,1.0,,noir,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_18,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_18,False,,4,4,1.0,,,,5,idle,,3,idle,sfx_scn_rustle,,,
event_dazzlingcupid_01_e_19,40029,event_dazzlingcupid_01_e,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_e_19,False,,4,4,1.0,,,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_20,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_20,True,,4,L_50,0.7,,blanc,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_21,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_21,True,,L_50,L_50,1.0,,blanc,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_22,40029,event_dazzlingcupid_01_e,Speech,noir,Locale_SubScenario:event_dazzlingcupid_01_e_22,True,,L_50,L_30,0.7,,noir,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_23,40029,event_dazzlingcupid_01_e,Speech,noir,Locale_SubScenario:event_dazzlingcupid_01_e_23,True,,L_30,L_30,1.0,,noir,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_24,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_24,True,,L_30,4,0.7,,blanc,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_25,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_25,True,,4,4,1.0,,blanc,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_26,40029,event_dazzlingcupid_01_e,Speech,noir,Locale_SubScenario:event_dazzlingcupid_01_e_26,True,,4,4,1.0,,noir,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_27,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_27,False,,4,4,1.0,,,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_28,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_28,False,,4,4,1.0,,,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_29,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_29,False,,black,black,1.0,,,,5,idle,,3,idle,,,,
event_dazzlingcupid_01_e_30,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_30,True,,50,L_500,0.5,,blanc,,5,shy,,3,surprise,,,,
event_dazzlingcupid_01_e_31,40029,event_dazzlingcupid_01_e,Speech,noir,Locale_SubScenario:event_dazzlingcupid_01_e_31,True,,30,L_300,0.5,,noir,,5,shy,,3,surprise,,,,
event_dazzlingcupid_01_e_32,40029,event_dazzlingcupid_01_e,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_e_32,False,,4,4,1.0,,,,5,shy,,3,surprise,,,,
event_dazzlingcupid_01_e_33,40029,event_dazzlingcupid_01_e,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_e_33,False,,4,4,1.0,,,,5,shy,,3,surprise,,,,
event_dazzlingcupid_01_e_34,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_34,True,,4,L_50,0.7,,blanc,,5,delight,,3,surprise,,,,
event_dazzlingcupid_01_e_35,40029,event_dazzlingcupid_01_e,Speech,blanc,Locale_SubScenario:event_dazzlingcupid_01_e_35,True,,L_50,L_50,1.0,,blanc,,5,delight,,3,surprise,,,,
event_dazzlingcupid_01_e_36,40029,event_dazzlingcupid_01_e,Speech,noir,Locale_SubScenario:event_dazzlingcupid_01_e_36,True,,L_50,L_30,0.7,,noir,,5,delight,,3,idle,,,,
event_dazzlingcupid_01_e_37,40029,event_dazzlingcupid_01_e,Speech,noir,Locale_SubScenario:event_dazzlingcupid_01_e_37,True,,L_30,L_30,1.0,,noir,,5,delight,,3,delight,,,,
event_dazzlingcupid_01_e_38,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_38,False,,L_30,4,0.7,,,,5,delight,,3,delight,,,,
event_dazzlingcupid_01_e_39,40029,event_dazzlingcupid_01_e,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_01_e_39,False,,black,black,1.0,none,,,5,delight,,3,delight,,blanc,noir,black
event_dazzlingcupid_01_e_40,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_40,False,,black,black,1.0,bgm_story_onlineshopping,,,,,,,,,,,
event_dazzlingcupid_01_e_41,40029,event_dazzlingcupid_01_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_e_41,False,,black,black,1.0,,,,,,,,,,,,
event_dazzlingcupid_01_e_42,40029,event_dazzlingcupid_01_e,Speech,mc,Locale_SubScenario:event_dazzlingcupid_01_e_42,True,,17,17,1.0,,mc,,,,,,,,,,
event_dazzlingcupid_01_e_43,40029,event_dazzlingcupid_01_e,Speech,audience,Locale_SubScenario:event_dazzlingcupid_01_e_43,True,,17,1,0.7,,audience,,,,,,,sfx_scn_crowdcheer,,,
event_dazzlingcupid_01_e_44,40029,event_dazzlingcupid_01_e,Speech,mc,Locale_SubScenario:event_dazzlingcupid_01_e_44,True,,1,17,0.7,,mc,,,,,,,,,,
event_dazzlingcupid_01_e_45,40029,event_dazzlingcupid_01_e,Speech,mc,Locale_SubScenario:event_dazzlingcupid_01_e_45,True,,17,17,1.0,,mc,,,,,,,,,,
event_dazzlingcupid_01_e_46,40029,event_dazzlingcupid_01_e,Speech,mc,Locale_SubScenario:event_dazzlingcupid_01_e_46,True,,17,17,1.0,,mc,,,,,,,,,,
event_dazzlingcupid_01_e_47,40029,event_dazzlingcupid_01_e,Speech,mc,Locale_SubScenario:event_dazzlingcupid_01_e_47,True,,17,17,1.0,,mc,,,,,,,,,,
event_dazzlingcupid_01_e_48,40029,event_dazzlingcupid_01_e,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_01_e_48,False,,1,100,0.5,,,,,,,,,,,,
