id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,play_sound,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_goldencoinrush2_01_s_1,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_1,False,Hotel,black,black,1.0,bgm_story_leisuretime,,,,,,,,,,,,
event_goldencoinrush2_01_s_2,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_2,False,,5,15,1.7,,Blur_Middle,Vignetting,,,,,,,,,,
event_goldencoinrush2_01_s_3,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_3,False,,15,15,1.0,,Blur_Middle,Vignetting,,,,,,,,,,
event_goldencoinrush2_01_s_4,40049,event_goldencoinrush2_01_s,Narration,Locale_MainScenario:event_goldencoinrush2_01_s_4,False,,15,15,1.0,none,,,sfx_scn_bottlebreak,Low_2,,,,,,,,
event_goldencoinrush2_01_s_5,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_5,False,,black,black,1.0,,,,,,,,,,,,,
event_goldencoinrush2_01_s_6,40049,event_goldencoinrush2_01_s,Self,Locale_MainScenario:event_goldencoinrush2_01_s_6,False,,black,black,1.0,bgm_story_whosdumber,,,,,,,,,,,,
event_goldencoinrush2_01_s_7,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_7,False,,15,150,1.0,,,,,,,,,,,,,
event_goldencoinrush2_01_s_8,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_8,False,,150,150,1.0,,,,,,alice_b,alice_b,,,,,,
event_goldencoinrush2_01_s_9,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_9,False,,black,black,1.0,,,,,,,,,,,,,
event_goldencoinrush2_01_s_10,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_10,False,,black,black,1.0,,,,,,,,,,,,,
event_goldencoinrush2_01_s_11,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_11,False,,150,2,1.6,,,,,,,,soda_b,2,worry,,,
event_goldencoinrush2_01_s_12,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_12,False,,2,2,1.0,,,,,,,,,2,worry,,,
event_goldencoinrush2_01_s_13,40049,event_goldencoinrush2_01_s,Self,Locale_MainScenario:event_goldencoinrush2_01_s_13,False,,2,2,1.0,,,,,,,,,2,worry,,,
event_goldencoinrush2_01_s_14,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_14,True,,2,2,1.0,,,,,,soda_b,soda_b,,2,worry,,,
event_goldencoinrush2_01_s_15,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_15,True,,2,S_20,0.7,,,,,,soda_b,soda_b,,2,surprise,,,
event_goldencoinrush2_01_s_16,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_16,True,,S_20,S_20,1.0,,,,,,soda_b,soda_b,,2,surprise,,,
event_goldencoinrush2_01_s_17,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_17,True,,S_20,S_20,1.0,,,,,,soda_b,soda_b,,2,worry,,,
event_goldencoinrush2_01_s_18,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_18,True,,S_20,S_20,1.0,,,,,,soda_b,soda_b,,2,worry,,,
event_goldencoinrush2_01_s_19,40049,event_goldencoinrush2_01_s,Self,Locale_MainScenario:event_goldencoinrush2_01_s_19,False,,S_20,S_20,1.0,,,,,,soda_b,,,2,worry,,,
event_goldencoinrush2_01_s_20,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_20,True,,S_20,S_20,1.0,,,,,,soda_b,soda_b,,2,idle,,,
event_goldencoinrush2_01_s_21,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_21,True,,S_20,2,1.0,,,,,,soda_b,soda_b,,2,idle,,,
event_goldencoinrush2_01_s_22,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_22,False,,black,black,1.0,,,,,,soda_b,,,2,idle,,,
event_goldencoinrush2_01_s_23,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_23,True,,2,1,1.2,,,,,,alice_b,alice_b,,2,idle,alice_b,12,idle
event_goldencoinrush2_01_s_24,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_24,True,,1,1,1.0,,,,,,alice_b,alice_b,,2,idle,,12,idle
event_goldencoinrush2_01_s_25,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_25,True,,1,1,1.0,,,,,,soda_b,soda_b,,2,idle,,12,idle
event_goldencoinrush2_01_s_26,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_26,True,,1,1,1.0,,,,,,alice_b,alice_b,,2,idle,,12,delight
event_goldencoinrush2_01_s_27,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_27,True,,1,XS_120,1.0,,,,,,alice_b,alice_b,,2,idle,,12,idle
event_goldencoinrush2_01_s_28,40049,event_goldencoinrush2_01_s,Self,Locale_MainScenario:event_goldencoinrush2_01_s_28,False,,XS_120,XS_120,1.0,,,,,,alice_b,,,2,idle,,12,idle
event_goldencoinrush2_01_s_29,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_29,True,,XS_120,XS_120,1.0,,,,,,alice_b,alice_b,,2,idle,,12,idle
event_goldencoinrush2_01_s_30,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_30,True,,XS_120,XS_120,1.0,,,,,,alice_b,alice_b,,2,idle,,12,delight
event_goldencoinrush2_01_s_31,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_31,True,,XS_120,XS_120,1.0,,,,,,alice_b,alice_b,,2,idle,,12,delight
event_goldencoinrush2_01_s_32,40049,event_goldencoinrush2_01_s,Self,Locale_MainScenario:event_goldencoinrush2_01_s_32,False,,XS_120,XS_120,1.0,,,,,,alice_b,,,2,idle,,12,delight
event_goldencoinrush2_01_s_33,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_33,True,,XS_120,XS_1200,1.0,,,,,,alice_b,alice_b,,2,idle,,12,delight
event_goldencoinrush2_01_s_34,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_34,True,,XS_1200,XS_1200,1.0,,,,,,alice_b,alice_b,,2,idle,,12,delight
event_goldencoinrush2_01_s_35,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_35,True,,XS_1200,S_20,1.0,,,,,,soda_b,soda_b,,2,idle,,12,delight
event_goldencoinrush2_01_s_36,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_36,True,,S_20,S_20,1.0,,,,,,soda_b,soda_b,,2,idle,,12,delight
event_goldencoinrush2_01_s_37,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_37,True,,S_20,S_20,1.0,,,,,,soda_b,soda_b,,2,surprise,,12,surprise
event_goldencoinrush2_01_s_38,40049,event_goldencoinrush2_01_s,Narration,Locale_MainScenario:event_goldencoinrush2_01_s_38,False,,black,black,1.0,,,,sfx_scn_sodafalling2,,,,,2,surprise,,12,surprise
event_goldencoinrush2_01_s_39,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_39,True,,S_20,S_20,1.0,,,,,,soda_b,soda_b,,2,sad,,12,surprise
event_goldencoinrush2_01_s_40,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_40,True,,S_20,S_20,1.0,,,,,,soda_b,soda_b,,2,sad,,12,surprise
event_goldencoinrush2_01_s_41,40049,event_goldencoinrush2_01_s,Speech,Locale_MainScenario:event_goldencoinrush2_01_s_41,True,,S_20,XS_120,1.0,,,,,,alice_b,alice_b,,2,sad,,12,surprise
event_goldencoinrush2_01_s_42,40049,event_goldencoinrush2_01_s,Self,Locale_MainScenario:event_goldencoinrush2_01_s_42,False,,XS_120,XS_120,1.0,,,,,,alice_b,,,2,sad,,12,surprise
event_goldencoinrush2_01_s_43,40049,event_goldencoinrush2_01_s,Monologue,Locale_MainScenario:event_goldencoinrush2_01_s_43,False,,black,black,1.0,,,,,,,,,2,sad,,12,surprise
