id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,fade,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id
event_absolute2_05_s_1,40086,event_absolute2_05_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_05_s_1,True,vesti_t,13,idle,RuinIndoor,XS_1300,XS_1300,1.0,bgm_story_discussion,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_s_2,40086,event_absolute2_05_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_05_s_2,True,,13,idle,,XS_1300,XS_1300,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_s_3,40086,event_absolute2_05_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_05_s_3,True,,13,idle,,XS_1300,XS_1300,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_s_4,40086,event_absolute2_05_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_05_s_4,False,,13,idle,,XS_1300,XS_130,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_s_5,40086,event_absolute2_05_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_05_s_5,True,,13,idle,,XS_130,XS_130,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_s_6,40086,event_absolute2_05_s,Narration,vesti_t,,Locale_MainScenario:event_absolute2_05_s_6,False,,13,idle,,XS_130,XS_130,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_s_7,40086,event_absolute2_05_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_05_s_7,False,,13,idle,,XS_130,XS_130,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_s_8,40086,event_absolute2_05_s,Narration,delta,,Locale_MainScenario:event_absolute2_05_s_8,False,,13,idle,,black,black,1.0,,delta,5,delight,signal,3,delight,eunhwa_t,1,shy,emma_t,15,idle,black,,,,,,,,,,
event_absolute2_05_s_9,40086,event_absolute2_05_s,Speech,delta,delta,Locale_MainScenario:event_absolute2_05_s_9,True,,13,idle,,S_500,S_500,1.0,,,5,delight,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_10,40086,event_absolute2_05_s,Speech,delta,delta,Locale_MainScenario:event_absolute2_05_s_10,True,,13,idle,,S_500,S_50,1.0,,,5,angry,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_11,40086,event_absolute2_05_s,Speech,delta,delta,Locale_MainScenario:event_absolute2_05_s_11,True,,13,idle,,S_50,S_50,1.0,,,5,angry,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_12,40086,event_absolute2_05_s,Speech,delta,delta,Locale_MainScenario:event_absolute2_05_s_12,True,,13,idle,,S_50,S_50,1.0,,,5,delight,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_13,40086,event_absolute2_05_s,Speech,signal,signal,Locale_MainScenario:event_absolute2_05_s_13,True,,13,idle,,S_50,53,1.0,,,5,delight,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_14,40086,event_absolute2_05_s,Speech,signal,signal,Locale_MainScenario:event_absolute2_05_s_14,True,,13,idle,,53,53,1.0,,,5,delight,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_15,40086,event_absolute2_05_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_05_s_15,True,,13,idle,,53,1,1.5,,,5,delight,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_16,40086,event_absolute2_05_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_05_s_16,True,,13,idle,,1500,1500,1.0,,,5,delight,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_17,40086,event_absolute2_05_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_05_s_17,True,,13,idle,,100,100,1.0,,,5,delight,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_18,40086,event_absolute2_05_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_05_s_18,True,,13,delight,,100,XS_1300,1.0,,,5,delight,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_19,40086,event_absolute2_05_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_05_s_19,True,,13,delight,,XS_1300,1500,1.0,,,5,delight,,3,delight,,1,shy,,15,idle,,,,,,,,,,,
event_absolute2_05_s_20,40086,event_absolute2_05_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_05_s_20,True,,13,delight,,100,10,1.0,,,5,delight,,3,delight,,1,angry,,15,idle,,,,,,,,,,,
event_absolute2_05_s_21,40086,event_absolute2_05_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_05_s_21,True,,13,delight,,10,10,1.0,,,5,delight,,3,delight,,1,angry,,15,idle,,,,,,,,,,,
event_absolute2_05_s_22,40086,event_absolute2_05_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_05_s_22,True,,13,delight,,10,10,1.0,none,,5,delight,,3,delight,,1,angry,,15,idle,,,,,,,,,,,
