id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,fade,set_camera_shake
event_secretgarden_01_e_1,40063,event_secretgarden_01_e,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_01_e_1,True,flora,1,delight,biscuit,13,idle,CommanderRoom,XS_1300,XS_130,1.0,bgm_story_breakaway,,,,,,,,,,,,,,,,,,,,
event_secretgarden_01_e_2,40063,event_secretgarden_01_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_01_e_2,True,,1,delight,,13,idle,,XS_130,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_01_e_3,40063,event_secretgarden_01_e,Self,flora,,Locale_SubScenario:event_secretgarden_01_e_3,False,,1,delight,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_01_e_4,40063,event_secretgarden_01_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_01_e_4,True,,1,delight,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_01_e_5,40063,event_secretgarden_01_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_01_e_5,True,,1,delight,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_01_e_6,40063,event_secretgarden_01_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_01_e_6,True,,1,delight,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_01_e_7,40063,event_secretgarden_01_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_01_e_7,True,,1,delight,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_01_e_8,40063,event_secretgarden_01_e,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_01_e_8,True,,1,delight,,13,delight,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_01_e_9,40063,event_secretgarden_01_e,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_01_e_9,True,,1,delight,,13,delight,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_01_e_10,40063,event_secretgarden_01_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_01_e_10,True,,1,delight,,13,delight,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
