id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,fade
event_icedragonsaga2_06_s_1,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_1,False,DragonCastleIn,6,1,1.4,event_bgm_icedragonsaga_castle,,,,,,,,,,,,
event_icedragonsaga2_06_s_2,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_2,True,,1,1,1.0,,guillotine_w,guillotine_w,maiden_w,2,shy,guillotine_w,12,idle,,,,
event_icedragonsaga2_06_s_3,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_3,True,,1,1,1.0,,guillotine_w,guillotine_w,,2,shy,,12,no,,,,
event_icedragonsaga2_06_s_4,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_4,True,,1,1,1.0,,maiden_w,maiden_w,,2,shy,,12,no,,,,
event_icedragonsaga2_06_s_5,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_5,True,,1,1,1.0,,maiden_w,maiden_w,,2,shy,,12,no,,,,
event_icedragonsaga2_06_s_6,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_6,True,,1,1,1.0,,guillotine_w,guillotine_w,,2,shy,,12,idle,,,,
event_icedragonsaga2_06_s_7,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_7,True,,1,1,1.0,,guillotine_w,guillotine_w,,2,shy,,12,idle,,,,
event_icedragonsaga2_06_s_8,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_8,True,,1,1,1.0,,maiden_w,maiden_w,,2,idle,,12,idle,,,,
event_icedragonsaga2_06_s_9,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_9,True,,1,1,1.0,,maiden_w,maiden_w,,2,idle,,12,idle,,,,
event_icedragonsaga2_06_s_10,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_10,True,,1,1,1.0,,guillotine_w,guillotine_w,,2,idle,,12,idle,,,,
event_icedragonsaga2_06_s_11,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_11,False,,black,black,1.0,,,,,2,idle,,12,idle,sfx_scn_bookpage,,,
event_icedragonsaga2_06_s_12,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_12,False,,black,black,1.0,,,,,2,idle,,12,idle,sfx_scn_retromessage,,,
event_icedragonsaga2_06_s_13,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_13,False,,black,black,1.0,,,,,2,idle,,12,idle,sfx_scn_retromessage,,,
event_icedragonsaga2_06_s_14,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_14,False,,black,black,1.0,,,maiden_w,,2,idle,,12,idle,,maiden_w,guillotine_w,
event_icedragonsaga2_06_s_15,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_15,False,EventScene_icedragonsaga_11,black,black,1.0,event_bgm_icedragonsaga_icedragon,,,,,,,,,sfx_scn_groundbreak,,,black
event_icedragonsaga2_06_s_16,40065,event_icedragonsaga2_06_s,Narration,Locale_MainScenario:event_icedragonsaga2_06_s_16,False,,black,black,1.0,,,,,,,,,,,,,
event_icedragonsaga2_06_s_17,40065,event_icedragonsaga2_06_s,Speech,Locale_MainScenario:event_icedragonsaga2_06_s_17,False,,EventScene_icedragonsaga_11_1,EventScene_icedragonsaga_11_1,1.0,,,guillotine_w,,,,,,,,,,
