id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/4/hide_char_id,fade
event_romanticvalentine_06_s_1,40069,event_romanticvalentine_06_s,Narration,Locale_SubScenario:event_romanticvalentine_06_s_1,False,mast_m,1,delight,anchor_m,13,delight,sin_m,3,delight,trony_m,5,delight,elegg,7,delight,CommanderRoom,black,black,1.0,none,,,,
event_romanticvalentine_06_s_2,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_2,True,,1,delight,,13,delight,,3,delight,,5,delight,,7,delight,,S_70,S_70,1.0,bgm_story_orangepop,elegg,elegg,,
event_romanticvalentine_06_s_3,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_3,True,,1,delight,,13,delight,,3,delight,,5,delight,,7,delight,,S_70,S_70,1.0,,elegg,elegg,,
event_romanticvalentine_06_s_4,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_4,True,,1,delight,,13,delight,,3,delight,,5,delight,,7,delight,,12,12,1.0,,mast_m,mast_m,elegg,
event_romanticvalentine_06_s_5,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_5,True,,1,delight,,13,delight,,3,delight,,5,delight,,,,,12,12,1.0,,anchor_m,anchor_m,,
event_romanticvalentine_06_s_6,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_6,True,,1,delight,,13,delight,,3,delight,,5,delight,,,,,12,2,1.0,,sin_m,sin_m,,
event_romanticvalentine_06_s_7,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_7,True,,1,delight,,13,delight,,3,delight,,5,delight,,,,,2,2,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_8,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_8,True,,1,delight,,13,delight,,3,delight,,5,delight,,,,,2,4,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_9,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_9,True,,1,delight,,13,delight,,3,smile,,5,delight,,,,,4,4,1.0,,sin_m,sin_m,,
event_romanticvalentine_06_s_10,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_10,True,,1,idle,,13,delight,,3,smile,,5,delight,,,,,S_10,S_10,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_11,40069,event_romanticvalentine_06_s,Narration,Locale_SubScenario:event_romanticvalentine_06_s_11,False,,1,idle,,13,delight,,3,smile,,5,delight,,,,,S_10,S_10,1.0,,mast_m,,,
event_romanticvalentine_06_s_12,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_12,True,,1,idle,,13,delight,,3,smile,,5,delight,,,,,S_10,S_10,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_13,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_13,True,,1,idle2,,13,delight,,3,smile,,5,delight,sweetjohnny214,7,idle,,S_10,S_10,1.0,,mast_m,mast_m,,
event_romanticvalentine_06_s_14,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_14,True,,1,idle,,13,surprise,,3,smile,,5,delight,,7,idle,,70,700,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_15,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_15,True,,1,idle,,13,surprise,,3,smile,,5,shy,,7,idle,,700,6,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_16,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_16,True,,1,idle,,13,surprise,,3,smile,,5,shy,,7,idle,,6,6,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_17,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_17,True,,1,idle,,13,surprise,,3,smile,,5,shy,,7,idle,,6,6,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_18,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_18,True,,1,idle,,13,surprise,,3,smile,,5,shy,,7,idle,,6,6,1.0,,sweetjohnny214,sweetjohnny214,,
event_romanticvalentine_06_s_19,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_19,True,,1,idle,,13,surprise,,3,smile,,5,no,,7,idle,,6,6,1.0,,trony_m,trony_m,,
event_romanticvalentine_06_s_20,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_20,True,,1,idle,,13,surprise,,3,idle,,5,no,,7,idle,,6,4,1.0,,sin_m,sin_m,,
event_romanticvalentine_06_s_21,40069,event_romanticvalentine_06_s,Speech,Locale_SubScenario:event_romanticvalentine_06_s_21,True,,1,idle,,13,surprise,,3,idle,,5,no,,7,idle,,4,4,1.0,,sin_m,sin_m,,
