id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_absolute2_02_s_1,40086,event_absolute2_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_02_s_1,True,RuinTechIndoor,100,100,1.0,bgm_recognition_underworld,,,,eunhwa_t,1,idle,,,,
event_absolute2_02_s_2,40086,event_absolute2_02_s,Narration,eunhwa_t,,Locale_MainScenario:event_absolute2_02_s_2,False,,100,100,1.0,,,,,,1,idle,,,,
event_absolute2_02_s_3,40086,event_absolute2_02_s,Narration,eunhwa_t,,Locale_MainScenario:event_absolute2_02_s_3,False,,100,100,1.0,,,,,,1,idle,,,,
event_absolute2_02_s_4,40086,event_absolute2_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_02_s_4,True,,100,100,1.0,,,,,,1,idle,,,,
event_absolute2_02_s_5,40086,event_absolute2_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_02_s_5,True,,100,10,1.0,,,,,,1,angry,,,,
event_absolute2_02_s_6,40086,event_absolute2_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_02_s_6,True,,10,10,1.0,,,,,,1,angry,,,,
event_absolute2_02_s_7,40086,event_absolute2_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_02_s_7,True,,10,10,1.0,,,,,,1,angry,,,,
event_absolute2_02_s_8,40086,event_absolute2_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_02_s_8,True,,10,10,1.0,,,,,,1,angry,,,,
event_absolute2_02_s_9,40086,event_absolute2_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_02_s_9,True,,10,10,1.0,,,,,,1,angry,,,,
event_absolute2_02_s_10,40086,event_absolute2_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_02_s_10,False,,10,10,1.0,,,,,,1,angry,,,,
event_absolute2_02_s_11,40086,event_absolute2_02_s,Narration,eunhwa_t,,Locale_MainScenario:event_absolute2_02_s_11,False,RuinIndoor,black,black,1.0,,,,,,1,idle,,,,
event_absolute2_02_s_12,40086,event_absolute2_02_s,Narration,eunhwa_t,,Locale_MainScenario:event_absolute2_02_s_12,False,,black,black,1.0,,,,,,1,idle,,,,
event_absolute2_02_s_13,40086,event_absolute2_02_s,Narration,eunhwa_t,,Locale_MainScenario:event_absolute2_02_s_13,False,,black,black,1.0,,,,,,1,idle,,,,
event_absolute2_02_s_14,40086,event_absolute2_02_s,Narration,eunhwa_t,,Locale_MainScenario:event_absolute2_02_s_14,False,,black,black,1.0,,,,,,1,idle,,,,
event_absolute2_02_s_15,40086,event_absolute2_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_02_s_15,True,,10,100,1.0,,,,,,1,idle,,,,
