id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_alonesurvivor_05_s_1,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_1,False,IceLand_05,17,17,1.0,none,,,tove,1,special
event_alonesurvivor_05_s_2,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_2,True,,1,S_10,0.5,bgm_secondhand,Low_2,,,1,special
event_alonesurvivor_05_s_3,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_3,True,,S_10,S_100,0.5,,Low_2,,,1,surprise
event_alonesurvivor_05_s_4,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_4,True,,S_100,S_10,1.0,,,,,1,sad
event_alonesurvivor_05_s_5,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_5,True,,S_10,S_10,1.0,,,,,1,idle
event_alonesurvivor_05_s_6,40033,event_alonesurvivor_05_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_05_s_6,False,,S_10,S_10,1.0,,Low_2,,,1,idle
event_alonesurvivor_05_s_7,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_7,False,,S_10,S_10,1.0,,,,,1,surprise
event_alonesurvivor_05_s_8,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_8,True,,S_10,S_10,1.0,,,,,1,surprise
event_alonesurvivor_05_s_9,40033,event_alonesurvivor_05_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_05_s_9,False,,S_10,S_10,1.0,,,,,1,surprise
event_alonesurvivor_05_s_10,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_10,True,,S_10,S_10,1.0,,,,,1,surprise
event_alonesurvivor_05_s_11,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_11,True,,S_10,S_10,1.0,,,,,1,no
event_alonesurvivor_05_s_12,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_12,True,,S_10,S_10,1.0,,,,,1,no
event_alonesurvivor_05_s_13,40033,event_alonesurvivor_05_s,Choice,,,Locale_SubScenario:event_alonesurvivor_05_s_13,False,,S_10,S_10,1.0,,,event_alonesurvivor_05_s_15,,1,no
event_alonesurvivor_05_s_14,40033,event_alonesurvivor_05_s,Choice,,,Locale_SubScenario:event_alonesurvivor_05_s_14,False,,S_10,S_10,1.0,,,event_alonesurvivor_05_s_16,,1,no
event_alonesurvivor_05_s_15,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_15,True,,S_10,S_10,1.0,,,event_alonesurvivor_05_s_17,,1,no
event_alonesurvivor_05_s_16,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_16,True,,S_10,S_10,1.0,,Low_2,,,1,no
event_alonesurvivor_05_s_17,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_17,True,,S_10,S_100,1.0,,,,,1,sad
event_alonesurvivor_05_s_18,40033,event_alonesurvivor_05_s,Monologue,,Monologue,Locale_SubScenario:event_alonesurvivor_05_s_18,False,,S_100,S_100,1.0,,,,,1,think
event_alonesurvivor_05_s_19,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_19,True,,S_100,S_10,1.0,,Low_2,,,1,sad
event_alonesurvivor_05_s_20,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_20,True,,S_10,S_10,1.0,,,,,1,special
event_alonesurvivor_05_s_21,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_21,True,,S_10,S_10,1.0,,,,,1,no
event_alonesurvivor_05_s_22,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_22,True,,S_10,S_10,1.0,,,,,1,no
event_alonesurvivor_05_s_23,40033,event_alonesurvivor_05_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_05_s_23,False,,S_10,S_10,1.0,,,,,1,no
event_alonesurvivor_05_s_24,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_24,True,,S_10,1,1.0,,,,,1,sad
event_alonesurvivor_05_s_25,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_25,True,,1,1,1.0,,,,,1,think
event_alonesurvivor_05_s_26,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_26,True,,1,1,1.0,,,,,1,think
event_alonesurvivor_05_s_27,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_27,False,,1,1,1.0,,,,,1,think
event_alonesurvivor_05_s_28,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_28,True,,1,1,1.0,,,,,1,surprise
event_alonesurvivor_05_s_29,40033,event_alonesurvivor_05_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_05_s_29,False,,1,1,1.0,,,,,1,surprise
event_alonesurvivor_05_s_30,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_30,True,,1,S_10,1.0,,,,,1,surprise
event_alonesurvivor_05_s_31,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_31,True,,S_10,S_10,1.0,,,,,1,surprise
event_alonesurvivor_05_s_32,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_32,True,,S_10,S_10,1.0,,,,,1,surprise
event_alonesurvivor_05_s_33,40033,event_alonesurvivor_05_s,Choice,,,Locale_SubScenario:event_alonesurvivor_05_s_33,False,,S_10,S_10,1.0,,,event_alonesurvivor_05_s_35,,1,surprise
event_alonesurvivor_05_s_34,40033,event_alonesurvivor_05_s,Choice,,,Locale_SubScenario:event_alonesurvivor_05_s_34,False,,S_10,S_10,1.0,,,event_alonesurvivor_05_s_38,,1,surprise
event_alonesurvivor_05_s_35,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_35,True,,S_10,S_10,1.0,,,,,1,idle
event_alonesurvivor_05_s_36,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_36,True,,S_10,S_10,1.0,,,,,1,idle
event_alonesurvivor_05_s_37,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_37,True,,S_10,S_10,1.0,,,event_alonesurvivor_05_s_41,,1,idle
event_alonesurvivor_05_s_38,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_38,True,,S_10,S_10,1.0,,,,,1,idle
event_alonesurvivor_05_s_39,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_39,True,,S_10,S_10,1.0,,,,,1,idle
event_alonesurvivor_05_s_40,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_40,True,,S_10,S_10,1.0,,,,,1,idle
event_alonesurvivor_05_s_41,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_41,True,,S_10,1,1.0,,,,,1,special
event_alonesurvivor_05_s_42,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_42,True,,1,1,1.0,,,,,1,special
event_alonesurvivor_05_s_43,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_43,True,,1,1,1.0,,Low_2,,,1,surprise
event_alonesurvivor_05_s_44,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_44,True,,1,S_10,0.5,,Low_2,,,1,surprise
event_alonesurvivor_05_s_45,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_45,True,,S_10,S_10,1.0,,,,,1,surprise
event_alonesurvivor_05_s_46,40033,event_alonesurvivor_05_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_05_s_46,False,,S_10,S_10,1.0,,,,,1,surprise
event_alonesurvivor_05_s_47,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_47,True,,S_10,S_10,1.0,,,,,1,idle
event_alonesurvivor_05_s_48,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_48,True,,S_10,S_10,1.0,,,,,1,delight
event_alonesurvivor_05_s_49,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_49,True,,S_10,S_10,1.0,,,,,1,delight
event_alonesurvivor_05_s_50,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_50,True,,S_10,S_10,1.0,,,,,1,delight
event_alonesurvivor_05_s_51,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_51,True,,S_10,S_10,1.0,,,,,1,delight
event_alonesurvivor_05_s_52,40033,event_alonesurvivor_05_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_05_s_52,False,,S_10,S_10,1.0,,,,,1,delight
event_alonesurvivor_05_s_53,40033,event_alonesurvivor_05_s,Self,,Self,Locale_SubScenario:event_alonesurvivor_05_s_53,False,,S_10,S_10,1.0,,,,,1,delight
event_alonesurvivor_05_s_54,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_54,True,,S_10,S_10,1.0,,,,,1,no
event_alonesurvivor_05_s_55,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_55,True,,S_10,S_10,1.0,,,,,1,sad
event_alonesurvivor_05_s_56,40033,event_alonesurvivor_05_s,Speech,tove,tove,Locale_SubScenario:event_alonesurvivor_05_s_56,True,,S_10,S_10,1.0,,Low_2,,,1,no
